u,v,length,traffic_id,volume,Name,CS_id,geometry,Level,PowerKW_list,Number_Of_Chargers,1,2,3,4,5,6,7,8,9,10,11,12
794436,735703,11865.763083331209,04525V625637,5893,Circle K Lørenskog,157375,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0]",10,5893.0,5939.0,5674.0,6298.0,6274.0,6745.0,4703.0,6350.0,6523.0,6650.0,6532.0,5181.0
794436,735703,11865.763083331209,04525V625637,5893,Recharge Solli P-Hus,243244,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[22.0],1,5893.0,5939.0,5674.0,6298.0,6274.0,6745.0,4703.0,6350.0,6523.0,6650.0,6532.0,5181.0
794436,735703,11865.763083331209,04525V625637,5893,VIA Ruseløkkveien 26,243232,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",9,5893.0,5939.0,5674.0,6298.0,6274.0,6745.0,4703.0,6350.0,6523.0,6650.0,6532.0,5181.0
794436,735703,11865.763083331209,44756V1863949,34383,Frydenlund P-hus,243271,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,34383.0,35607.0,35162.0,38483.0,38396.0,41584.0,31136.0,39999.0,38930.0,39518.0,39801.0,34413.0
794436,735703,11865.763083331209,44756V1863949,34383,Tjuvholmen Parkering,215792,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,34383.0,35607.0,35162.0,38483.0,38396.0,41584.0,31136.0,39999.0,38930.0,39518.0,39801.0,34413.0
794436,735703,11865.763083331209,44756V1863949,34383,"Recharge Filipstad, Oslo",243223,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0]",16,34383.0,35607.0,35162.0,38483.0,38396.0,41584.0,31136.0,39999.0,38930.0,39518.0,39801.0,34413.0
794436,735703,11865.763083331209,44756V1863949,34383,Recharge K89,243329,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",11,34383.0,35607.0,35162.0,38483.0,38396.0,41584.0,31136.0,39999.0,38930.0,39518.0,39801.0,34413.0
794436,735703,11865.763083331209,44756V1863949,34383,Idas vei,173544,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",8,34383.0,35607.0,35162.0,38483.0,38396.0,41584.0,31136.0,39999.0,38930.0,39518.0,39801.0,34413.0
794436,735703,11865.763083331209,44756V1863949,34383,Circle K Lørenskog,157375,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0]",10,34383.0,35607.0,35162.0,38483.0,38396.0,41584.0,31136.0,39999.0,38930.0,39518.0,39801.0,34413.0
794436,735703,11865.763083331209,44756V1863949,34383,Recharge Solli P-Hus,243244,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[22.0],1,34383.0,35607.0,35162.0,38483.0,38396.0,41584.0,31136.0,39999.0,38930.0,39518.0,39801.0,34413.0
