u,v,diff_hour_00_nov,diff_hour_01_nov,diff_hour_02_nov,diff_hour_03_nov,diff_hour_04_nov,diff_hour_05_nov,diff_hour_06_nov,diff_hour_07_nov,diff_hour_08_nov,diff_hour_09_nov,diff_hour_10_nov,diff_hour_11_nov,diff_hour_12_nov,diff_hour_13_nov,diff_hour_14_nov,diff_hour_15_nov,diff_hour_16_nov,diff_hour_17_nov,diff_hour_18_nov,diff_hour_19_nov,diff_hour_20_nov,diff_hour_21_nov,diff_hour_22_nov,diff_hour_23_nov
794436,735703,249.17701522448368,250.26655500591735,250.7826378089992,250.93123306376503,250.64657066158262,248.46040807329513,240.22996985035508,233.51841096356125,234.54628826083686,235.01344683093907,231.82184618201478,228.27463700300646,226.50317558596583,225.3284735447843,222.9119717161391,219.37405796464043,222.2138159787374,226.7499738016551,230.16360318987918,233.7120899255313,237.2322661630741,240.7564675387282,244.05140887060537,247.13367679150355
794436,1394577,149.47595220451808,149.7008706044387,149.8074078050749,149.8380829649059,149.77931887651974,149.32801989716816,147.62897500932263,146.2434789388585,146.45566808601725,146.55210564606517,145.89324974802986,145.16098404619703,144.79529361962295,144.55279480683214,144.05394590386786,143.3235990972582,143.90982260150878,144.84624124055614,145.55093148959972,146.2834609229649,147.01014609800725,147.73766219968383,148.41785116095608,149.0541370320262
794436,1613461,54.04198423657489,55.2162335452514,55.772440748572855,55.93258898561272,55.62579465403808,53.269662320280524,44.39932407464541,37.16595497949496,38.27374766985635,38.777226879457125,35.33748569750652,31.514488137288442,29.60529915699264,28.339266394110656,25.73488640720622,21.92190697529611,24.9824504650199,29.871285437708707,33.55031764700115,37.37469209132327,41.16855495323264,44.966755899648085,48.51787229486155,51.83978034901989
794436,1337200,113.62643959040452,115.34691929888827,116.16185970375477,116.3965047575271,115.94699763987173,112.4948534991175,99.49826338300039,88.90011811672272,90.52322730732685,91.26091201990113,86.22109222843619,80.61973510662412,77.82244080464844,75.96748235356014,72.15161217374245,66.56493335435178,71.04916249725554,78.21215702191651,83.60257983602907,89.20595433280948,94.76462404839312,100.32964981316599,105.53265368575487,110.39982742679781
794436,492484,84.07112499578315,84.76632732281054,85.09562412477698,85.19043825516376,85.00880380015191,83.61387968215614,78.36228639245178,74.07984399283534,74.73570135678064,75.03378108783781,72.99731740300139,70.73395068824541,69.60363482428919,68.85409303929936,67.31219643013702,65.05476084607085,66.86672440466353,69.76110928899173,71.93924278603552,74.20342467098244,76.44954248474968,78.69822861720459,80.80063086113695,82.76733264444462
1394577,1492778,77.72249789483651,78.43522633094861,78.77282473296462,78.87002913554603,78.68381566065993,77.25372538842898,71.8697389905808,67.47933585820093,68.15172744140534,68.45732178753119,66.36951868206864,64.04909230223478,62.89028108036369,62.12184328398756,60.541075331737105,58.22672960689614,60.08437291906681,63.05172548955454,65.28476991509523,67.60603201562904,69.90877464823076,72.21415034705008,74.36955432822442,76.38583682875834
1394577,1337200,19.08666964195353,19.235641569173684,19.306205169595064,19.326522483249374,19.287600814318264,18.98868850331917,17.863347084096805,16.94568085560757,17.08622171931013,17.150095947393815,16.713710872071722,16.228703718909728,15.986493176633394,15.825877079849858,15.495470663600788,15.011734467015177,15.400012372427897,16.02023770478394,16.48698059700761,16.972162429496233,17.453473389589217,17.935334703686696,18.385849470243627,18.807285566666703
1492778,1757353,169.95177153154046,170.2935306586926,170.45541185965928,170.50202216745444,170.4127312799066,169.72699127232045,167.14532566351622,165.04009137462913,165.36250865018206,165.50904364402112,164.5079249418116,163.3952614727929,162.83960199345307,162.47112977142027,161.7131385812018,160.60339083609364,161.49414603086402,162.91701591097492,163.98777901666452,165.10084322060902,166.20502718788114,167.31047373198714,168.34400760820597,169.31083159411773
1492778,1337200,71.00602310619622,71.50843823329164,71.74641743471277,71.81493857095867,71.68367333456357,70.67557691315486,66.88030781303237,63.78543347381377,64.25941442590869,64.47483339121051,63.00310333326151,61.36739293436222,60.55052600746949,60.00884034772894,58.894528512536,57.26310447699237,58.57259074622742,60.66433108280074,62.23844436637861,63.87474387986966,65.49798868645775,67.12308958890416,68.64247272317459,70.06378661699358
1492778,344649,68.58968119505164,68.98986068581951,69.17941388695145,69.23399176872871,69.12943748160005,68.3264769598966,65.30350099061299,62.838397592514454,63.215928932264475,63.38751264299907,62.215262538702476,60.912400186090835,60.26175618036814,59.83029725371433,58.94273491986878,57.64328670551136,58.68630774554161,60.35240324618431,61.60620278019691,62.909534369431064,64.20246773281809,65.49687949813878,66.70708583183092,67.8391788751635
1492778,892553,62.93294957728057,63.35357619531394,63.552814596503715,63.61018112917471,63.500284652192754,62.65629695054825,59.47886235509687,56.88780476877432,57.28462603099332,57.464976792641366,56.23283069761428,54.86339873574512,54.17951014578841,53.726005872517256,52.79309363840223,51.427250259807565,52.52356434567878,54.274788813507605,55.592651097433254,56.962576271518785,58.32157192354603,59.68212151629186,60.954163210099665,62.14410042352952
1613461,1405705,71.75713025025817,72.06091614106006,72.20481054191934,72.24624192662617,72.16687224880586,71.55732557539595,69.26251170090329,67.39119233300366,67.6777854668285,67.80803879468542,66.91815550383252,65.92912130914924,65.43520177195829,65.10767090792912,64.43390096106828,63.44745852097212,64.23924091632355,65.50401414308881,66.45580357036845,67.44519397387467,68.42669083367213,69.40930998398855,70.32800676284975,71.18740586143798
