u,v,diff_hour_00_oct,diff_hour_01_oct,diff_hour_02_oct,diff_hour_03_oct,diff_hour_04_oct,diff_hour_05_oct,diff_hour_06_oct,diff_hour_07_oct,diff_hour_08_oct,diff_hour_09_oct,diff_hour_10_oct,diff_hour_11_oct,diff_hour_12_oct,diff_hour_13_oct,diff_hour_14_oct,diff_hour_15_oct,diff_hour_16_oct,diff_hour_17_oct,diff_hour_18_oct,diff_hour_19_oct,diff_hour_20_oct,diff_hour_21_oct,diff_hour_22_oct,diff_hour_23_oct
794436,735703,249.476882346988,250.45834445573252,250.92323405850868,251.05708930140764,250.80066418844976,248.83135955127926,241.41734549522604,235.37154446047342,236.29746073898443,236.71827918282986,233.84327162776665,230.64793038340528,229.05219034017296,227.99401370254026,225.8172184896052,222.63025060621766,225.1883168065838,229.27450723151773,232.34951922734427,235.5460113002105,238.71700115494073,241.89161687134765,244.85971415689923,247.63623432156888
794436,1394577,149.54889285593802,149.74752209223158,149.8416068927934,149.8686966443325,149.81680108575767,149.41825133775887,147.91779611212908,146.69424114081008,146.88162895908016,146.9667945965251,146.38494782942897,145.73827162521297,145.41532423551118,145.2011694397998,144.7606275514677,144.11564595602022,144.63334982990386,145.4603169397119,146.08264079601014,146.729549905995,147.3712978527856,148.01377960491558,148.61446596032482,149.17638075555558
794436,1613461,54.366164909552516,55.42357349099753,55.92443669398849,56.06864978306419,55.79238225065121,53.670690945128236,45.682973420451845,39.16934254372432,40.166907105691536,40.620288881501196,37.522810503724784,34.080210710692576,32.36099078316252,31.22093142952253,28.875693729872268,25.442115236460673,28.198127035664687,32.60051076728993,35.91347011993636,39.357309793679164,42.77367386335875,46.19394436734479,49.39171584761165,52.383085786928355
794436,1337200,114.09650156622207,115.64756222022015,116.38225382460745,116.59379291383173,116.18854965496077,113.07634500514668,101.3595549344197,91.8050300848553,93.26830848928788,93.93335192286503,89.38981319745267,84.34003283806013,81.81819366259477,80.14589665490738,76.70578279160823,71.6692353330404,75.71189352469048,82.16953374980928,87.02915092178512,92.08075000122552,97.09204646807596,102.10907309132621,106.79972683724252,111.18762031176509
794436,492484,84.39530566876078,84.97366726855667,85.24762007019261,85.32649905261523,85.17539139676504,84.01490830700385,79.6459357382582,76.08323155706469,76.62886079261582,76.87684308988187,75.18264220921964,73.29967326164954,72.35932645045906,71.73575807471123,70.45300375280307,68.5749691072354,70.08240097530832,72.49033461857296,74.30239525897073,76.18604237333834,78.0546613948758,79.92541708490131,81.67447441388704,83.3106380823531
1394577,1492778,77.93321533227196,78.56999729568359,78.87162209748479,78.95846865388948,78.79209759845847,77.51439399457999,72.70411106535498,68.78153777495001,69.38228107469821,69.65531208885983,67.78997980611051,65.71681197494746,64.68148063737412,63.99492555700528,62.58260009147004,60.514864976653115,62.17456268998592,64.82572195378233,66.82081902250312,68.89473352216038,70.95210193981272,73.01182285105294,74.93755263751198,76.73898536339884
1394577,1337200,19.135296742900174,19.266742561035603,19.32900456140741,19.346931602867095,19.312588953810234,19.048842797046326,18.05589448596777,17.246188990241972,17.370195634685413,17.426555247700424,17.041509593004463,16.613562104920348,16.399846920558875,16.25812683516164,15.966591762000697,15.539765706189861,15.882363858024615,16.429621504221124,16.84145346794789,17.269555084849618,17.69424122610813,18.119412973841204,18.516926003156144,18.88878138235297
1492778,1757353,170.05713025025818,170.36091614106007,170.50481054191934,170.54624192662618,170.46687224880588,169.85732557539595,167.5625117009033,165.69119233300367,165.97778546682852,166.10803879468543,165.21815550383255,164.22912130914926,163.7352017719583,163.40767090792912,162.7339009610683,161.74745852097215,162.53924091632356,163.80401414308884,164.75580357036847,165.74519397387468,166.72669083367214,167.70930998398856,168.62800676284976,169.487405861438
1492778,1337200,71.1600089258606,71.60692470752106,71.8186155087852,71.87956744974812,71.7628024429548,70.86606550995752,67.49004125229042,64.73704256682271,65.1586651579304,65.35028784218144,64.04113261621518,62.58611115672919,61.859479529900185,61.37763123954958,60.38641199080237,58.93520340104554,60.1000371172837,61.960713114351826,63.36094179102283,64.81648728848872,66.26042016876765,67.7060041110601,69.05754841073089,70.32185670000011
1492778,344649,68.71124894741826,69.06761316547431,69.23641236648231,69.28501456777302,69.19190783032997,68.47686269421449,65.7848694952904,63.589667929100465,63.92586372070267,64.0786608937656,63.034759341034324,61.874546151117386,61.29514054018185,60.91092164199378,60.120537665868554,58.96336480344807,59.892186459533406,61.37586274477727,62.492384957547614,63.65301600781453,64.80438732411538,65.95707517352504,67.03477716411221,68.04291841437917
1492778,892553,63.062621846471615,63.43651217361239,63.61361297466997,63.6646054481553,63.566919690838006,62.816708400487336,59.992322093419446,57.689159794466065,58.0418898053274,58.202201593458994,57.10696062010159,55.88968776510677,55.28178679625637,54.87867188668201,54.049416567468654,52.8353335642734,53.80983497393669,55.36647894534009,56.53791208660734,57.75562335246114,58.96361948759647,60.17299690337054,61.3037006311997,62.361422598692904
