u,v,diff_hour_00_apr,diff_hour_01_apr,diff_hour_02_apr,diff_hour_03_apr,diff_hour_04_apr,diff_hour_05_apr,diff_hour_06_apr,diff_hour_07_apr,diff_hour_08_apr,diff_hour_09_apr,diff_hour_10_apr,diff_hour_11_apr,diff_hour_12_apr,diff_hour_13_apr,diff_hour_14_apr,diff_hour_15_apr,diff_hour_16_apr,diff_hour_17_apr,diff_hour_18_apr,diff_hour_19_apr,diff_hour_20_apr,diff_hour_21_apr,diff_hour_22_apr,diff_hour_23_apr
794436,735703,249.48498686381242,250.4635279543762,250.92703395714406,251.06049082134393,250.80482887836507,248.84138526690046,241.4494367288712,235.42162914957913,236.3447897248803,236.76435573288094,233.89790474792213,230.71207344774038,229.1210826308272,228.06605532842556,225.89573867267185,222.71825581274678,225.26870872084993,229.34273786475728,232.40859803916766,235.5955767427694,238.75712912769387,241.9222965830401,244.88156024571796,247.64981695751658
794436,1394577,149.54889285593802,149.74752209223158,149.8416068927934,149.8686966443325,149.81680108575767,149.41825133775887,147.91779611212908,146.69424114081008,146.88162895908016,146.9667945965251,146.38494782942897,145.73827162521297,145.41532423551118,145.2011694397998,144.7606275514677,144.11564595602022,144.63334982990386,145.4603169397119,146.08264079601014,146.729549905995,147.3712978527856,148.01377960491558,148.61446596032482,149.17638075555558
794436,1613461,54.374269426376955,55.42875698964119,55.92823659262388,56.07205130300047,55.796546940566536,53.680716660749425,45.715064654097006,39.21942723283006,40.214236091587416,40.66636543155229,37.57744362388024,34.14435377502768,32.42988307381677,31.292973055407828,28.95421391293892,25.530120442989787,28.278518949930806,32.66874140052946,35.972548931759746,39.40687523623806,42.8138018361119,46.22462407903721,49.4135619364304,52.39666842287607
794436,1337200,114.11271059987095,115.65792921750746,116.38985362187823,116.60059595370431,116.19687903479142,113.09639643638906,101.42373740171003,91.90519946306677,93.36296646107964,94.02550502296722,89.49907943776358,84.46831896673032,81.95597824390326,80.28997990667796,76.86282315774153,71.84524574609861,75.87267735322271,82.30599501628834,87.14730854543188,92.17988088634331,97.17230241358227,102.17043251471105,106.84341901488001,111.21478558366051
794436,492484,84.22511081544752,84.86481379703996,85.16782219884941,85.2550671339532,85.08793290854315,83.8043682789588,78.97201983170983,75.03145308584428,75.63495208880235,75.90923553880874,74.03534668595506,71.95266891061237,70.91258834671989,70.22288393112,68.8040799084034,66.72685977012401,68.3941707757198,71.05749132054282,73.06174021067974,75.14516807960149,77.21197396705958,79.28114313936054,81.21570654869325,83.02540272745115
1394577,1492778,77.90890178179863,78.55444679975264,78.86022240157861,78.94826409408063,78.77960352871249,77.48431684771641,72.6078373644195,68.6312837076328,69.24029411701058,69.51708243870652,67.62608044564413,65.52438278194215,64.47480376541138,63.77880067934939,62.34703954227008,60.250849357065775,61.93338694718756,64.62103005406374,66.64358258703297,68.74603719448369,70.83171802155327,72.91978371597568,74.87201437105573,76.69823745555571
1394577,1337200,19.135296742900174,19.266742561035603,19.32900456140741,19.346931602867095,19.312588953810234,19.048842797046326,18.05589448596777,17.246188990241972,17.370195634685413,17.426555247700424,17.041509593004463,16.613562104920348,16.399846920558875,16.25812683516164,15.966591762000697,15.539765706189861,15.882363858024615,16.429621504221124,16.84145346794789,17.269555084849618,17.69424122610813,18.119412973841204,18.516926003156144,18.88878138235297
1492778,1757353,169.99229411566267,170.31944815191085,170.47441135283623,170.5190297671359,170.43355472948326,169.77711985042643,167.30578183174202,165.2905148201578,165.59915357966148,165.73942639427662,164.78109054258888,163.71597679446842,163.1840634467243,162.83133790084676,162.10573949653508,161.04341686873923,161.8961056021946,163.25816907717257,164.28317307578143,165.3486704334035,166.4056670516469,167.46387229044922,168.45323805229975,169.37874477385628
1492778,1337200,71.07085924079175,71.54990622244087,71.7768166237959,71.84215073044898,71.71699085388619,70.7557826381244,67.13703768219365,64.18611098665964,64.63804631307573,64.84344579161933,63.440168294505156,61.88053744904305,61.101664332703464,60.58517335481132,59.522689977069206,57.967146129225284,59.21572606035638,61.21017614871699,62.71107486096565,64.27126742034083,65.81901246848297,67.3685272824435,68.81724143372462,70.17244770457528
1492778,344649,68.64641281282273,69.02614517632509,69.20601317739919,69.25780240828271,69.15859031100734,68.39665696924494,65.52813962612912,63.18899041625459,63.54723183353563,63.71004849335678,62.59769437979067,61.36140163643656,60.74400221494787,60.334588634911405,59.49237620133535,58.259323151215156,59.24905114540445,60.830017678861026,62.01975446296058,63.25649246734335,64.48336354209016,65.7116374799857,66.86000845356219,67.93425732679748
