u,v,diff_hour_00_jun,diff_hour_01_jun,diff_hour_02_jun,diff_hour_03_jun,diff_hour_04_jun,diff_hour_05_jun,diff_hour_06_jun,diff_hour_07_jun,diff_hour_08_jun,diff_hour_09_jun,diff_hour_10_jun,diff_hour_11_jun,diff_hour_12_jun,diff_hour_13_jun,diff_hour_14_jun,diff_hour_15_jun,diff_hour_16_jun,diff_hour_17_jun,diff_hour_18_jun,diff_hour_19_jun,diff_hour_20_jun,diff_hour_21_jun,diff_hour_22_jun,diff_hour_23_jun
794436,735703,249.66328623395012,250.57756492453655,251.01063172712267,251.13532425994225,250.8964520565023,249.0619510105667,242.15544386906473,236.5234923099053,237.38602741458965,237.7780398340052,235.09983339134214,232.12322086311266,230.63671302522064,229.6509710979021,227.6231827001382,224.6543703563873,227.03733083470456,230.84381179602696,233.708331899282,236.68601647906513,239.63994452826324,242.59725024027327,245.36217419973053,247.94863494836625
794436,1394577,149.5651018895869,149.75788908951887,149.8492066900642,149.87549968420507,149.82513046558833,149.43830276900127,147.98197857941938,146.79441051902157,146.97628693087194,147.05894769662729,146.49421406973988,145.86655775388317,145.55310881681967,145.3452526915704,144.91766791760102,144.29165636907845,144.7941336584361,145.59677820619098,146.2007984196569,146.82868079111276,147.4515537982919,148.0751390283004,148.65815813796235,149.203546027451
794436,1613461,54.56067331333909,55.54797745844521,56.01563426123788,56.15028626153507,55.89233480861908,53.91130812003686,46.453163027935695,40.371375082261935,41.302802767192645,41.72612608272763,38.83400538745573,35.61964425473506,34.014405758864456,32.949930450769656,30.760178123471896,27.554240193159416,30.12753297805156,34.238045965038665,37.33136160369749,40.5468804150927,43.73674520943441,46.930257447962816,49.9160219792617,52.70906904967344
794436,1337200,114.38826417190194,115.83416817139167,116.51905017548151,116.71624763153805,116.33847849191258,113.43727076750962,102.51483934564548,93.60807889266172,94.97215198153954,95.59210772470469,91.3566055230491,86.64918315412385,84.29831612614767,82.73939518677807,79.53250938200767,74.83742276808852,78.60600243827079,84.62583654643238,89.15598814742681,93.86510593334583,98.53665348718945,103.21354271225326,107.5861860347176,111.6765952058827
794436,492484,84.35478308463858,84.94774977533841,85.22862057701566,85.3094914529338,85.1545679471884,83.9647797288979,79.4854795700324,75.83280811153602,76.39221586313643,76.64646033962637,74.90947660844236,72.97895793997402,72.01486499718784,71.37554994528475,70.06040283746982,68.13494307458984,69.68044140397772,72.1491814523753,74.00700119985383,75.93821516054385,77.85402153111002,79.77201852643921,81.56524396979329,83.24272490261453
1394577,1492778,78.03046953416525,78.63219927940743,78.91722088110947,78.99928689312492,78.8420738774424,77.6347025820343,73.0892058690969,69.38255404421881,69.95022890544877,70.20823068947306,68.44557724797598,66.4865287469687,65.50818812522509,64.85942506762885,63.52484228826985,61.57092745500248,63.13926566117935,65.6444895526567,67.52976476438369,69.48951883286715,71.43363761285056,73.37997939136196,75.19970570333702,76.90197699477139
1394577,1337200,19.151505776549055,19.27710955832291,19.33660435867819,19.353734642739667,19.32091833364089,19.068894228288713,18.120076953258092,17.34635836845344,17.46485360647717,17.518708347802626,17.150775833315375,16.741848233590552,16.53763150186737,16.402210086932232,16.123632128134,15.71577611924809,16.043147686556853,16.566082770700184,16.959611091594653,17.368685969967412,17.774497171614435,18.18077239722604,18.560618180793647,18.915946654248394
1492778,1757353,170.06523476708261,170.36609963970372,170.50861044055475,170.54964344656247,170.4710369387212,169.86735129101714,167.59460293454845,165.74127702210941,166.02511445272438,166.15411534473654,165.272788623988,164.29326437348436,163.80409406261253,163.47971253381442,162.81242114413493,161.83546372750124,162.6196328305897,163.87224477632836,164.81488238219185,165.79475941643358,166.76681880642528,167.73998969568098,168.6498528516685,169.5009884973857
1492778,1337200,71.17621795950947,71.61729170480837,71.82621530605597,71.8863704896207,71.77113182278545,70.8861169411999,67.55422371958075,64.83721194503418,65.25332312972216,65.44244094228365,64.1503988565261,62.71439728539939,61.99726411120868,61.521714491320175,60.543452356935674,59.11121381410376,60.26082094581594,62.097174380830886,63.47909941466959,64.9156181736065,66.34067611427396,67.76736353444493,69.1012405883684,70.34902197189554
1492778,344649,68.72745798106713,69.07798016276162,69.2440121637531,69.29181760764558,69.20023721016062,68.49691412545687,65.84905196258072,63.68983730731193,64.02052169249443,64.1708139938678,63.14402558134523,62.0028322797876,61.43292512149034,61.05500489376438,60.277578032001855,59.1393752165063,60.052970288065644,61.51232401125633,62.61054258119438,63.752146892932316,64.88464326962169,66.01843459690988,67.07846934174972,68.0700836862746
1492778,892553,63.07072636329605,63.441695672256046,63.61741287330536,63.66800696809159,63.571084380753334,62.82673411610853,60.0244133270646,57.739244483571795,58.08921879122328,58.24827814351009,57.16159374025705,55.95383082944188,55.35067908691062,54.950713512567305,54.127936750535305,52.92333877080251,53.89022688820281,55.43470957857962,56.59699089843072,57.805188795020044,59.00374746034962,60.20367661506296,61.32554672001846,62.37500523464062
1613461,1405705,71.8624889689759,72.12830162342755,72.25420922417942,72.2904616857979,72.22101321770513,71.68765987847145,69.67969773829037,68.0422932913782,68.29306228347494,68.40703394534974,67.62838606585346,66.76298114550559,66.3308015504635,66.04421204443798,65.45466334093473,64.5915262058506,65.2843358017831,66.3910123752027,67.2238281240724,68.08954472714034,68.9483544794631,69.80814623598998,70.61200591749353,71.36398012875823
1613461,735703,133.54353413722026,133.78013660986406,133.89220821053328,133.92447688516074,133.86266011685836,133.38791703468334,131.60061007474195,130.1431401824355,130.3663521424337,130.46779944586072,129.774717267408,129.00441178885657,128.61972445700593,128.3646283032909,127.83986517160122,127.07157827114172,127.68825494444427,128.67331870759799,129.41461624230615,130.18519915272927,130.9496342069946,131.71494335291413,132.43046680568102,133.09980648823532
1405705,1499351,79.60823739432016,79.7133940488285,79.76320364912594,79.7775452822937,79.7500711630482,79.53907423763708,78.74471558877424,78.0969511921936,78.19615650774836,78.24124419816036,77.93320767440359,77.5908496839363,77.41987753644712,77.30650146812933,77.07327340960057,76.73181256495191,77.00589108641971,77.44369720337691,77.77316277435833,78.11564406787971,78.45539298088653,78.79553037907299,79.11354080252494,79.4110251058824
1499351,1499032,54.42812236854563,55.31903291368577,55.74103091620577,55.86253641943254,55.629769575824916,53.84215673553622,47.112173738226005,41.624169822751156,42.46465930175668,42.846652234413995,40.2368983525858,37.33636537779347,35.88785135045462,34.92730410498446,32.95134416467138,30.058412008620184,32.380466148833506,36.089656861943176,38.88096239386904,41.78254001953631,44.66096831028845,47.5426879338126,50.23694291028053,52.75729603594793
1499351,1543821,65.0814438007315,65.37646663699103,65.51621023782552,65.55644648643504,65.47936631855185,64.88740272225954,62.65878540183878,60.841446400320876,61.11977242451615,61.246268444838734,60.38205486429891,59.42155050215456,58.941878643921044,58.62379578558502,57.96946151026823,57.01147414055947,57.78041665912192,59.00870604280742,59.933040005838606,60.89389030155137,61.847074751931586,62.80134911906582,63.693545029306016,64.52815376928112
