u,v,diff_hour_00_jan,diff_hour_01_jan,diff_hour_02_jan,diff_hour_03_jan,diff_hour_04_jan,diff_hour_05_jan,diff_hour_06_jan,diff_hour_07_jan,diff_hour_08_jan,diff_hour_09_jan,diff_hour_10_jan,diff_hour_11_jan,diff_hour_12_jan,diff_hour_13_jan,diff_hour_14_jan,diff_hour_15_jan,diff_hour_16_jan,diff_hour_17_jan,diff_hour_18_jan,diff_hour_19_jan,diff_hour_20_jan,diff_hour_21_jan,diff_hour_22_jan,diff_hour_23_jan
794436,735703,249.4606733133391,250.44797745844522,250.9156342612379,251.0502862615351,250.7923348086191,248.81130812003687,241.35316302793572,235.27137508226195,236.20280276719265,236.62612608272764,233.73400538745574,230.51964425473506,228.91440575886446,227.84993045076968,225.6601781234719,222.45424019315942,225.02753297805157,229.13804596503869,232.2313616036975,235.44688041509272,238.63674520943442,241.83025744796282,244.8160219792617,247.60906904967345
794436,1394577,149.53268382228916,149.73715509494426,149.83400709552262,149.8618936044599,149.80847170592702,149.3981999065165,147.85361364483876,146.59407176259862,146.7869709872884,146.87464149642287,146.27568158911805,145.60998549654275,145.27753965420268,145.05708618802922,144.60358718533442,143.939635542962,144.4725660013716,145.32385567323286,145.96448317236337,146.63041902087718,147.29104190727932,147.95242018153075,148.57077378268733,149.14921548366019
794436,1613461,54.34185135907919,55.408022995066574,55.91303699808232,56.058445223255326,55.779888180905225,53.64061379826465,45.58669971951636,39.01908847640712,40.0249201480039,40.48205923134789,37.35891114325841,33.887781517687266,32.15431391119978,31.00480655186664,28.640133180672315,25.178099616873332,27.95695129286633,32.395818867571336,35.73623368446623,39.20861346600247,42.65328994509929,46.10190523226754,49.32617758115539,52.34233787908522
794436,1337200,114.06408349892432,115.62682822564554,116.36705423006588,116.58018683408659,116.17189089529946,113.0362421426619,101.23118999983906,91.60469132843237,93.07899254570435,93.74904572266061,89.17128071683084,84.0834605807197,81.54262449997778,79.85773015136618,76.39170205934163,71.31721450692393,75.390325867626,81.89661121685116,86.7928356744916,91.88248823098994,96.93153457706336,101.98635424455654,106.7123424819675,111.13328976797425
794436,492484,84.16837919767644,84.82852930653438,85.14122290840167,85.2312564943992,85.05878007913584,83.73418826961046,78.7473811961937,74.68086026210415,75.30364918753119,75.58669968845103,73.65291484486687,71.50366746026666,70.43034231214016,69.71859254992292,68.25443862693685,66.11082332442021,67.83142737585698,70.5798768878661,72.64818852791609,74.79820998168921,76.93107815778751,79.06638515751361,81.06278392696198,82.93032427581716
1394577,1492778,77.85217016402756,78.51816230924706,78.83362311113088,78.92445345452661,78.75045069930518,77.41413683836807,72.38319872890337,68.28069088389266,68.90899121573942,69.19454658834881,67.24364860455594,65.07538133159643,63.99255773083165,63.27450929815231,61.79739826080353,59.634812911361976,61.37064354732472,64.14341562138702,66.23003090426931,68.3990790965714,70.5508222122812,72.70502573412877,74.71909174932446,76.60315900392173
1394577,1337200,19.127192226075735,19.26155906239195,19.325204662772016,19.34353008293081,19.308424263894903,19.038817081425133,18.023803252322608,17.196104301136238,17.32286664878953,17.380478697649323,16.986876472849005,16.549419040585242,16.33095462990463,16.186085209276342,15.888071578934046,15.451760499660748,15.801971943758495,16.361390870981595,16.78237465612451,17.21998964229072,17.65411325335498,18.088733262148786,18.495079914337392,18.87519874640526
1492778,1757353,170.016607666136,170.33499864784181,170.4858110487424,170.52923432694476,170.44604879922923,169.80719699729,167.40205553267748,165.440768887475,165.7411405373491,165.87765604442993,164.94498990305524,163.90840598747374,163.39074031868705,163.04746277850265,162.341300045735,161.30743248832655,162.13728134499297,163.46286097689116,164.46040951125156,165.4973667610802,166.52605096990638,167.55591142552646,168.518776318756,169.41949268169944
1492778,1337200,71.10327730808952,71.57064021701548,71.79201621833747,71.85575681019412,71.7336496135475,70.79588550060917,67.2654026167743,64.38644974308258,64.82736225665924,65.02775199182373,63.65870077512698,62.13710970638346,61.37723349532045,60.8733398583525,59.83677070933581,58.31916695534174,59.53729371742086,61.48309868167511,62.94739010825917,64.46952919057642,65.97952435949558,67.49124612921317,68.90462578899962,70.22677824836613
1492778,344649,68.67072636329605,69.04169567225604,69.21741287330536,69.26800696809158,69.17108438075333,68.42673411610852,65.6244133270646,63.33924448357179,63.689218791223276,63.848278143510086,62.76159374025704,61.55383082944187,60.95067908691061,60.5507135125673,59.7279367505353,58.5233387708025,59.490226888202805,61.034709578579616,62.19699089843071,63.40518879502004,64.60374746034962,65.80367661506295,66.92554672001845,67.97500523464062
1492778,892553,63.01399474552497,63.40541118175047,63.59081358285763,63.64419632853758,63.54193155134603,62.756554106760184,59.79977469154848,57.38865165983166,57.75791588995212,57.92574229315238,56.77916189916885,55.50482937909615,54.868433052330886,54.44642213137023,53.57829546906875,52.30730232509871,53.32748348833997,54.95709514590291,56.18343921566706,57.458230697107766,58.722851651077555,59.98891863321603,61.17262409828719,62.27992678300664
1613461,1405705,71.87059348580034,72.1334851220712,72.25800912281481,72.29386320573418,72.22517790762046,71.69768559409265,69.71178897193553,68.09237798048395,68.34039126937081,68.45311049540084,67.68301918600892,66.82712420984069,66.39969384111775,66.11625367032327,65.53318352400139,64.67953141237972,65.36472771604923,66.45924300844224,67.28290693589578,68.13911016969924,68.98848245221626,69.8388259476824,70.63385200631228,71.37756276470594
