u,v,diff_hour_00_sep,diff_hour_01_sep,diff_hour_02_sep,diff_hour_03_sep,diff_hour_04_sep,diff_hour_05_sep,diff_hour_06_sep,diff_hour_07_sep,diff_hour_08_sep,diff_hour_09_sep,diff_hour_10_sep,diff_hour_11_sep,diff_hour_12_sep,diff_hour_13_sep,diff_hour_14_sep,diff_hour_15_sep,diff_hour_16_sep,diff_hour_17_sep,diff_hour_18_sep,diff_hour_19_sep,diff_hour_20_sep,diff_hour_21_sep,diff_hour_22_sep,diff_hour_23_sep
794436,735703,249.80916753679006,250.67086790012232,251.0790299025597,251.1965516187954,250.9714164749782,249.24241389174816,242.73308607467763,237.4250167138085,238.2379491607155,238.607417734925,236.08322955414036,233.27779602114452,231.8767742569971,230.94772036383745,229.03654599533792,226.23846407391133,228.48438529149473,232.07196319433848,234.77175051210284,237.5781944451253,240.36224803782,243.14948505073679,245.75540379846808,248.19312239542506
794436,1394577,149.59751995688467,149.77862308409348,149.86440628460576,149.88910576395023,149.84178922524964,149.47840563148605,148.11034351400002,146.9947492754445,147.16560287445546,147.2432538968317,146.7127465503617,146.1231300112236,145.82867797943666,145.6334191951116,145.23174864986763,144.64367719519493,145.1157013155006,145.8697007391491,146.4371136669504,147.02694256134836,147.61206568930453,148.1978578750701,148.74554249323734,149.25787657124187
794436,1613461,54.722763649827904,55.651647431318274,56.091632233945695,56.218316660260804,55.975628606925646,54.11182243246071,47.094987700838914,41.37306886437661,42.249382485110246,42.647657083749664,39.92666779056486,36.90250554143712,35.3922515719494,34.39076296847559,32.33058178480492,29.314344323741697,31.735371263373953,35.60265862982928,38.512937840165094,41.53818926627064,44.539304664497465,47.54385168181117,50.35294375563675,52.980721768627674
794436,1337200,114.62329515981071,115.9844896320576,116.62924723590785,116.81489170969037,116.45925449945709,113.7280165205242,103.44548512135515,95.06053487672801,96.34469257252006,96.92832767618663,92.94096600755734,88.50933201984184,86.29619255512083,84.82860233745167,81.80959469094056,77.38957375743281,80.93736795198825,86.60452491037876,90.86927369030484,95.30250376755384,99.70036469703089,104.10325435133336,108.21972261046142,112.07049164836636
794436,492484,84.50066438747851,85.04105275092417,85.2970187524527,85.37071881178696,85.2295323656643,84.14524261007936,80.06312177564529,76.73433251543923,77.24413760926225,77.47583824054621,75.89287277124058,74.13353309800588,73.25492622896428,72.67229921122009,71.47376613266954,69.7190367921139,71.12749586076788,73.37733285068686,75.07041981267467,76.83039312660401,78.57632504066677,80.32425333690274,81.95847356853082,83.48721234967334
1394577,1492778,78.1034101855852,78.67885076720032,78.95141996882799,79.02990057255151,78.87955608668035,77.72493402262504,73.37802697190335,69.83331624617041,70.37618977851169,70.62291963993297,68.9372753293751,67.06381632598463,66.1282187411133,65.50779970059652,64.23152393586972,62.36297431376451,63.86279288957443,66.25856525181248,68.0614740707941,69.93560781589723,71.79478936762894,73.65609679659372,75.39632050270579,77.0242207183008
1394577,1337200,19.167714810197936,19.287476555610215,19.344204155948972,19.360537682612243,19.329247713471545,19.0889456595311,18.18425942054841,17.44652774666491,17.559511578268932,17.61086144790483,17.260042073626288,16.87013436226076,16.675416083175865,16.546293338702828,16.2806724942673,15.89178653230632,16.203931515089096,16.702544037179244,17.07776871524141,17.467816855085207,17.85475311712074,18.242131820610872,18.604310358431153,18.943111926143818
1492778,1757353,170.10575735120483,170.39201713292198,170.5276099337317,170.5666510462439,170.49186038829785,169.91747986912313,167.75505910277425,165.99170046763808,166.2617593822038,166.38449809499204,165.54595422476527,164.61397969515988,164.14855551588377,163.83992066324092,163.20502205946818,162.27548976014683,163.0215924019203,164.213397942526,165.11027644130874,166.04258662922805,166.96745867019104,167.89338825414308,168.75908329576228,169.56890167712424
1492778,1337200,71.22484506045612,71.64839269667029,71.84901469786833,71.90677960923843,71.79611996227742,70.94627123492705,67.7467711214517,65.13772007966858,65.53729704509745,65.71890024259027,64.47819757745883,63.09925567141001,62.41061785513416,61.953964246631955,61.01457345533558,59.63924505327845,60.74317243141265,62.50655818026807,63.833572285609876,65.2130108289599,66.58144395079287,67.95144180459944,69.23231712128091,70.4305177875818
1492778,344649,68.76798056518933,69.10389765597988,69.26301165693005,69.30882520732702,69.22106065973726,68.54704270356284,66.00950813080652,63.9402607528406,64.25716662197384,64.40119674412331,63.417191182122515,62.32354760146311,61.77738657476158,61.41521302319086,60.67017894733512,59.57940124915187,60.454929859396245,61.85347717745398,62.905936640311275,63.99997410572681,65.08528313338745,66.17183315537197,67.18769978584348,68.13799686601315
1492778,892553,63.1193534642427,63.472796664117965,63.64021226511771,63.68841608770931,63.5960725202453,62.886888409835684,60.21696072893557,58.0397526182062,58.37319270659856,58.524737443816704,57.48939246118978,56.3386892154525,55.7640328308361,55.382963267879084,54.59905784893521,53.4513700099772,54.37257837379953,55.84409337801681,56.951463769371,58.10258145037343,59.24451529686854,60.38775488521746,61.456623252930974,62.45650105032689
1613461,1405705,71.93542962039587,72.17495311122043,72.28840831189794,72.32107536522447,72.25849542694309,71.77789131906219,69.96851884109682,68.4930554933298,68.71902315653786,68.82172289580966,68.12008414725257,67.34026872452152,66.95083216635173,66.69258667740564,66.1613449885346,65.38357306461263,66.00786303017819,67.00508807435848,67.75553743048282,68.53563371017042,69.30950623424148,70.08426364122174,70.8086207168623,71.48622385228764
