u,v,diff_hour_00_may,diff_hour_01_may,diff_hour_02_may,diff_hour_03_may,diff_hour_04_may,diff_hour_05_may,diff_hour_06_may,diff_hour_07_may,diff_hour_08_may,diff_hour_09_may,diff_hour_10_may,diff_hour_11_may,diff_hour_12_may,diff_hour_13_may,diff_hour_14_may,diff_hour_15_may,diff_hour_16_may,diff_hour_17_may,diff_hour_18_may,diff_hour_19_may,diff_hour_20_may,diff_hour_21_may,diff_hour_22_may,diff_hour_23_may
160015,193942,14.57568644952668,14.584449504069042,14.588600304093829,14.589795440191141,14.587505930254016,14.569922853136424,14.50372629906452,14.4497459326828,14.458013042312363,14.461770349846697,14.436100639533633,14.407570806994691,14.39332312803726,14.383875122344111,14.364439450800047,14.33598438041266,14.358824257201642,14.39530810028141,14.42276356452986,14.45130367232331,14.479616081740543,14.507960864922747,14.534461733543745,14.559252092156866
193942,82574,14.29202836067126,14.403027051541178,14.455603851855146,14.470742242421103,14.44174178321753,14.219022806394678,13.380533121483897,12.696781813982112,12.80149853595657,12.849091098058137,12.523941434092658,12.162563555266072,11.982092955138608,11.86241821635872,11.616233043467256,11.255802151893663,11.545107257887455,12.007235936897839,12.355005150711554,12.716513182761902,13.075137035380202,13.434170955688128,13.76984862488741,14.083859833986956
193942,75831,14.29202836067126,14.403027051541178,14.455603851855146,14.470742242421103,14.44174178321753,14.219022806394678,13.380533121483897,12.696781813982112,12.80149853595657,12.849091098058137,12.523941434092658,12.162563555266072,11.982092955138608,11.86241821635872,11.616233043467256,11.255802151893663,11.545107257887455,12.007235936897839,12.355005150711554,12.716513182761902,13.075137035380202,13.434170955688128,13.76984862488741,14.083859833986956
75831,207921,5.46222321398451,5.511880523057894,5.535401723198354,5.542174161083124,5.529200271439421,5.429562834439723,5.054449028032268,4.748560285202522,4.795407239770044,4.816698649131271,4.671236957357241,4.509567906303242,4.4288310588777975,4.3752923599499525,4.2651568878669295,4.103911489005059,4.233337457475965,4.44007923492798,4.595660199002536,4.757387476498744,4.917824463196405,5.078444901228899,5.228616490081209,5.3690951888889
207921,604505,19.85411869716007,19.906697024414246,19.931601824562968,19.93877264114684,19.925035581524096,19.819537118818534,19.42235779438711,19.098475596096794,19.148078253874168,19.170622099080173,19.01660383720179,18.845424841968143,18.759938768223556,18.70325073406466,18.58663670480028,18.415906282475948,18.552945543209848,18.771848601688454,18.93658138717916,19.10782203393985,19.277696490443255,19.447765189536483,19.606770401262462,19.75551255294119
604505,604003,14.270327730808953,14.317064021701551,14.339201621833748,14.345575681019413,14.333364961354752,14.239588550060919,13.886540261677432,13.59864497430826,13.642736225665926,13.662775199182375,13.5258700775127,13.373710970638347,13.297723349532047,13.247333985835251,13.143677070933583,12.991916695534176,13.113729371742087,13.308309868167512,13.454739010825918,13.606952919057644,13.75795243594956,13.90912461292132,14.050462578899964,14.182677824836615
118220,213247,1.4541186971600697,1.5066970244142417,1.5316018245629637,1.5387726411468379,1.525035581524093,1.4195371188185308,1.022357794387108,0.6984755960967892,0.7480782538741646,0.7706220990801698,0.6166038372017847,0.44542484196813903,0.35993876822355086,0.30325073406465597,0.18663670480027839,0.015906282475945055,0.1529455432098461,0.37184860168844946,0.536581387179156,0.7078220339398476,0.8776964904432525,1.0477651895364812,1.2067704012624574,1.3555125529411889
213247,956934,5.821700629862307,5.885963029839629,5.9164022300214,5.92516656140169,5.90837682186278,5.77943425633376,5.293992859806465,4.898136839673853,4.958762310290646,4.9863158988757625,4.798071356579959,4.588852584627725,4.484369605606562,4.415084230523469,4.272555972533674,4.063885456359488,4.231377886145367,4.498926068730327,4.700266139885635,4.909560263704258,5.117184599430642,5.32504634276681,5.5193860459874475,5.701182009150342
956934,1233018,4.2054915962134265,4.275596032552323,4.3088024327506185,4.318363521529117,4.300047442032124,4.159382825091375,3.629810392516144,3.197967461462386,3.2641043384988864,3.2941627987735598,3.0888051162690466,2.8605664559575192,2.746585024298068,2.671000978752875,2.5155156064003714,2.28787504330126,2.4705940576131287,2.7624648022512663,2.982108516238875,3.210429378586464,3.436928653924337,3.663686919381975,3.8756938683499436,4.074016737254919
946172,1233297,4.46235609148021,4.620091073242725,4.694805473688891,4.7163179234405135,4.67510674457228,4.358611356455593,3.1670733831613243,2.1954267882903675,2.344234761622494,2.4118662972405094,1.949811511605354,1.4362745259044174,1.179816304670653,1.0097522021939684,0.6599101144008355,0.1477188474278348,0.5588366296295382,1.2155458050653487,1.7097441615374684,2.2234661018195427,2.7330894713297575,3.243295568609444,3.7203112037873725,4.166537658823566
1233297,1841573,4.75411869716007,4.806697024414242,4.831601824562964,4.838772641146838,4.8250355815240935,4.719537118818531,4.322357794387108,3.9984755960967897,4.048078253874165,4.07062209908017,3.916603837201785,3.7454248419681395,3.659938768223551,3.6032507340646562,3.4866367048002784,3.3159062824759453,3.4529455432098466,3.67184860168845,3.836581387179156,4.007822033939847,4.177696490443253,4.3477651895364815,4.506770401262457,4.65551255294119
1233297,294485,4.737909663511189,4.796330027126936,4.824002027292182,4.831969601274265,4.816706201693437,4.6994856875761455,4.258175327096787,3.8983062178853216,3.9534202820824054,3.9784689989779665,3.8073375968908723,3.6171387132979325,3.5221541869150568,3.4591674822940623,3.3295963386669762,3.139895869417717,3.292161714677607,3.5353873352093883,3.718423763532396,3.908691148822053,4.097440544936948,4.286405766151646,4.463078223624953,4.628347281045766
1841989,944766,29.905624473709125,30.08380658273715,30.168206183241153,30.192507283886506,30.14595391516498,29.78843134710724,28.442434747645198,27.34483396455023,27.512931860351333,27.589330446882794,27.06737967051716,26.48727307555869,26.19757027009092,26.005460820996888,25.610268832934274,25.031682401724034,25.4960932297667,26.237931372388633,26.796192478773804,27.37650800390726,27.952193662057688,28.528537586762518,29.067388582056104,29.571459207189584
1841989,1222115,1.073206406411363,1.2630725881625393,1.3530065886995906,1.3789012041413589,1.3292951555036694,0.9483284846224723,-0.48593018693544376,-1.6555047918727057,-1.4763840832321837,-1.3949757533216096,-1.951152810104667,-2.56929918178172,-2.8779988925260667,-3.0827056825442978,-3.503811899332328,-4.120338424392422,-3.6254744272977777,-2.8349911605694884,-2.240122768519714,-1.6217537663283283,-1.0083182289549217,-0.3941812600071515,0.18000422678109596,0.7171286633987375
