u,v,diff_hour_00_aug,diff_hour_01_aug,diff_hour_02_aug,diff_hour_03_aug,diff_hour_04_aug,diff_hour_05_aug,diff_hour_06_aug,diff_hour_07_aug,diff_hour_08_aug,diff_hour_09_aug,diff_hour_10_aug,diff_hour_11_aug,diff_hour_12_aug,diff_hour_13_aug,diff_hour_14_aug,diff_hour_15_aug,diff_hour_16_aug,diff_hour_17_aug,diff_hour_18_aug,diff_hour_19_aug,diff_hour_20_aug,diff_hour_21_aug,diff_hour_22_aug,diff_hour_23_aug
794436,735703,249.95504883962997,250.76417087570806,251.14742807799672,251.25777897764857,251.0463808934541,249.42287677292964,243.3107282802905,238.3265411177117,239.08987090684133,239.43679563584485,237.0666257169386,234.43237117917639,233.11683548877355,232.24446962977277,230.44990929053762,227.8225577914354,229.93143974828487,233.30011459265003,235.8351691249237,238.47037241118545,241.08455154737675,243.7017198612003,246.1486333972056,248.43760984248388
794436,1394577,149.6461470578313,149.80972407595542,149.8872056764181,149.90951488356794,149.8667773647416,149.5385599252132,148.302890915871,147.2952574100789,147.44957678983073,147.5197131971383,147.04054527129443,146.50798839723421,146.24203172336215,146.06566895042337,145.70286974826752,145.1717084343696,145.59805280109728,146.2790845385863,146.7915865378907,147.32433521670174,147.85283352582346,148.3819361452246,148.87661902614985,149.33937238692815
794436,1613461,54.876749469492275,55.750133905547685,56.16383030801812,56.28294553905025,56.05475771531688,54.30231102926338,47.704721140096964,42.32467795738556,43.14863321713196,43.5231115347206,40.964697073518536,38.121223763804096,36.7012050943801,35.759553860296236,33.822465263071294,30.986443247794867,33.26281763443022,36.899040661380354,39.63543526480932,42.479932674889696,45.301736146807364,48.12676620396711,50.76801944319305,53.2387918516342
794436,1337200,114.85022163089505,116.1296275940799,116.73564439769879,116.9101342679064,116.57586581708628,114.0087365579176,104.34403966341965,96.46290617168856,97.66990417760469,98.21847107761748,94.47069337191012,90.30533782122474,88.22517669343975,86.84576786223998,84.0081598168068,79.85371954024802,83.1883415514396,88.51498264108562,92.52348042135948,96.69033615920297,100.82394793411916,104.96228627872107,108.83141309738647,112.45080545490228
794436,492484,84.58170955572291,85.0928877373607,85.3350177388066,85.40473401114983,85.27117926481759,84.24549976629129,80.3840341120969,77.23517940649657,77.71742746822106,77.93660374105721,76.43920397279514,74.77496374135691,73.94384913550675,73.39271547007306,72.25896796333605,70.59908885740504,71.93141500342907,74.05963918308217,75.66120793090847,77.32604755219297,78.9776047681983,80.63105045382692,82.17693445671834,83.62303870915046
1394577,1492778,78.2411869716007,78.76697024414241,79.01601824562964,79.08772641146838,78.95035581524094,77.89537118818531,73.92357794387108,70.68475596096789,71.18078253874165,71.4062209908017,69.86603837201785,68.1542484196814,67.2993876822355,66.73250734064656,65.56636704800279,63.85906282475945,65.22945543209846,67.4184860168845,69.06581387179156,70.77822033939847,72.47696490443252,74.17765189536482,75.76770401262458,77.25512552941188
1394577,1337200,19.200132877495697,19.308210550184832,19.359403750490536,19.374143762357388,19.345906473132857,19.129048522015868,18.312624355129056,17.646866503087843,17.748827521852448,17.79516764810924,17.478574554248112,17.126706619601176,16.950985245792854,16.834459842244016,16.594753226533904,16.243807358422774,16.525499172153573,16.975466570137367,17.31408396253493,17.666078625320797,18.01526500813335,18.364850667380544,18.691694713706163,18.997442469934665
1492778,1757353,170.15438445215148,170.4231181247839,170.55040932554405,170.58706016586163,170.51684852778982,169.97763416285028,167.94760650464522,166.2922086022725,166.54573329757906,166.66095739529865,165.87375294569802,164.9988380811705,164.56190925980925,164.2721704185527,163.6761431578681,162.8035209993215,163.50394388751698,164.6227817419632,165.464749312249,166.33997928458146,167.20822650670996,168.07746652429756,168.8901598286748,169.65039749281053
1492778,1337200,71.30589022870053,71.70022768310682,71.88701368422223,71.94079480860128,71.83776686143071,71.04652839113899,68.06768345790331,65.63856697072592,66.01058690405624,66.17966574310128,65.0245287790134,63.74068631476105,63.099540761676636,62.674380505484926,61.799775286002095,60.5192971185696,61.54709157407385,63.18886451266337,64.42436040384368,65.70866525454886,66.9827236783244,68.25823892152361,69.45077800946844,70.56634414705893
1492778,344649,68.83281669978486,69.1453656451291,69.29341084601317,69.33603736681732,69.25437817905988,68.62724842853238,66.26623799996781,64.34093826568648,64.63579850914087,64.76980914453212,63.854256143366165,62.83669211614394,62.32852489999556,61.991546030273234,61.298340411868324,60.28344290138479,61.0980651735252,62.39932224337023,63.37856713489832,64.39649764619799,65.40630691541267,66.4172708489113,67.3624684963935,68.24665795359485
1492778,892553,63.18418959883822,63.51426465326719,63.67061145420084,63.715628247199604,63.62939003956792,62.96709413480523,60.47369059809685,58.440430131052075,58.7518245937656,58.89334984422552,57.92645742243344,56.85183373013332,56.31517115607008,55.95929627496146,55.227219313468424,54.155411662210106,55.01571368792849,56.389938443933055,57.42409426395805,58.49910499084461,59.565539078893764,60.633192578756805,61.63139196348099,62.56516213790858
1613461,1405705,71.90301155309811,72.15421911664582,72.27320871735638,72.30746928547933,72.24183666728177,71.73778845657742,69.84015390651618,68.29271673690687,68.52970721295434,68.63741669560525,67.90155166663074,67.0836964671811,66.67526300373474,66.40442017386447,65.84726425626799,65.03155223849618,65.68629537311371,66.73216554140036,67.5192221831893,68.33737193993483,69.14899434322886,69.96154479445207,70.72123636158729,71.43189330849678
