u,v,diff_hour_00_mar,diff_hour_01_mar,diff_hour_02_mar,diff_hour_03_mar,diff_hour_04_mar,diff_hour_05_mar,diff_hour_06_mar,diff_hour_07_mar,diff_hour_08_mar,diff_hour_09_mar,diff_hour_10_mar,diff_hour_11_mar,diff_hour_12_mar,diff_hour_13_mar,diff_hour_14_mar,diff_hour_15_mar,diff_hour_16_mar,diff_hour_17_mar,diff_hour_18_mar,diff_hour_19_mar,diff_hour_20_mar,diff_hour_21_mar,diff_hour_22_mar,diff_hour_23_mar
794436,735703,249.3958371787436,250.406509469296,250.88523507215476,251.0230741020448,250.75901728929648,248.73110239506732,241.09643315877443,234.87069756941608,235.82417088002563,236.25751368231883,233.2969404262121,230.00649974005424,228.36326743363048,227.2735974436873,225.0320166589387,221.7501985409265,224.3843976639226,228.59220089912242,231.75873110911047,235.05035687462154,238.31572142740922,241.58481975442348,244.6412532687117,247.50040796209177
794436,1394577,149.5651018895869,149.75788908951887,149.8492066900642,149.87549968420507,149.82513046558833,149.43830276900127,147.98197857941938,146.79441051902157,146.97628693087194,147.05894769662729,146.49421406973988,145.86655775388317,145.55310881681967,145.3452526915704,144.91766791760102,144.29165636907845,144.7941336584361,145.59677820619098,146.2007984196569,146.82868079111276,147.4515537982919,148.0751390283004,148.65815813796235,149.203546027451
794436,1613461,54.27701522448367,55.36655500591735,55.88263780899919,56.03123306376503,55.746570661582595,53.560408073295115,45.32996985035507,38.618410963561246,39.646288260836855,40.113446830939075,36.92184618201476,33.37463700300644,31.603175585965808,30.428473544784264,28.011971716139104,24.474057964640416,27.31381597873737,31.849973801655096,35.26360318987918,38.81208992553129,42.33226616307407,45.8564675387282,49.151408870605366,52.23367679150353
794436,1337200,113.97493381385547,115.56980974056535,116.32525534507658,116.54277011478743,116.12607930623084,112.92595927082878,100.8781864297423,91.05375974826929,92.55837370084967,93.2422036720985,88.57031639512081,83.37788687303356,80.78480930278107,79.06527226662791,75.52798004560846,70.34915723510369,74.50601481069869,81.14607425121632,86.14296874443443,91.33726836284205,96.49012687677867,101.64887741593995,106.47203550496123,110.98388077254941
794436,492484,84.17648371450089,84.83371280517804,85.14502280703705,85.23465801433548,85.06294476905117,83.74421398523165,78.77947242983886,74.73094495120988,75.35097817342707,75.63277623850213,73.70754796502231,71.56781052460175,70.4992346027944,69.79063417580821,68.33295881000349,66.19882853094933,67.91181929012309,70.64810752110563,72.70726733973946,74.84777542424811,76.97120613054066,79.09706486920602,81.08463001578073,82.94390691176487
1394577,1492778,77.85217016402756,78.51816230924706,78.83362311113088,78.92445345452661,78.75045069930518,77.41413683836807,72.38319872890337,68.28069088389266,68.90899121573942,69.19454658834881,67.24364860455594,65.07538133159643,63.99255773083165,63.27450929815231,61.79739826080353,59.634812911361976,61.37064354732472,64.14341562138702,66.23003090426931,68.3990790965714,70.5508222122812,72.70502573412877,74.71909174932446,76.60315900392173
1394577,1337200,19.143401259724616,19.271926059679256,19.332804460042798,19.35033312280338,19.316753643725562,19.05886851266752,18.08798571961293,17.296273679347706,17.41752462058129,17.472631797751525,17.096142713159917,16.67770516925545,16.468739211213123,16.330168461046938,16.045111945067347,15.627770912718976,15.962755772290734,16.497852137460654,16.90053227977127,17.319120527408515,17.734369198861284,18.15009268553362,18.538772091974895,18.902364018300684
1492778,1757353,170.02471218296043,170.34018214648546,170.4896109473778,170.53263584688102,170.45021348914457,169.8172227129112,167.43414676632264,165.49085357658075,165.788469523245,165.923732594481,164.99962302321072,163.97254905180884,163.4596326093413,163.11950440438795,162.41982022880168,161.39543769485567,162.21767325925907,163.53109161013072,164.51948832307494,165.5469322036391,166.56617894265952,167.5865911372189,168.54062240757474,169.43307531764714
1492778,1337200,71.11138182491395,71.57582371565914,71.79581611697284,71.85915833013041,71.73781430346283,70.80591121623036,67.29749385041946,64.43653443218831,64.87469124255513,65.07382854187483,63.71333389528244,62.20125277071857,61.4461257859747,60.9453814842378,59.91529089240247,58.407172161870854,59.61768563168698,61.55132931491464,63.006468920082554,64.51909463313532,66.01965233224874,67.5219258409056,68.92647187781837,70.24036088431384
1492778,344649,68.67883088012049,69.0468791708997,69.22121277194074,69.27140848802787,69.17524907066866,68.43675983172972,65.65650456070976,63.38932917267753,63.736547777119156,63.89435469356119,62.8162268604125,61.61797389377698,61.01957137756486,60.6227551384526,59.80645693360195,58.611343977331614,59.57061880246893,61.102940211819146,62.256069710254096,63.45475423757894,64.64387543310276,65.83435632675537,66.94739280883721,67.98858787058832
1492778,892553,63.022099262349414,63.41059468039413,63.59461348149301,63.647597848473865,63.54609624126136,62.766579822381374,59.83186592519364,57.4387363489374,57.805244875848004,57.971818843203486,56.833795019324306,55.56897244343126,54.93732534298513,54.518463757255525,53.6568156521354,52.39530753162782,53.407875402606095,55.02532577914244,56.24251802749044,57.50779613966666,58.76297962383071,60.01959834490845,61.19447018710594,62.29350941895435
