u,v,diff_hour_00_feb,diff_hour_01_feb,diff_hour_02_feb,diff_hour_03_feb,diff_hour_04_feb,diff_hour_05_feb,diff_hour_06_feb,diff_hour_07_feb,diff_hour_08_feb,diff_hour_09_feb,diff_hour_10_feb,diff_hour_11_feb,diff_hour_12_feb,diff_hour_13_feb,diff_hour_14_feb,diff_hour_15_feb,diff_hour_16_feb,diff_hour_17_feb,diff_hour_18_feb,diff_hour_19_feb,diff_hour_20_feb,diff_hour_21_feb,diff_hour_22_feb,diff_hour_23_feb
355270,467676,1.5513728990533566,1.5688990081380807,1.5772006081876546,1.5795908803822793,1.575011860508031,1.5398457062728437,1.407452598129036,1.2994918653655965,1.3160260846247216,1.3235406996933898,1.2722012790672617,1.2151416139893798,1.186646256074517,1.1677502446882189,1.1288789016000929,1.071968760825315,1.1176485144032822,1.1906162005628165,1.2455271290597187,1.302607344646616,1.3592321634810842,1.4159217298454938,1.4689234670874858,1.5185041843137297
1123454,400882,4.967581932702238,4.979266005425387,4.9848004054584365,4.986393920254853,4.983341240338687,4.959897137515229,4.871635065419357,4.799661243577065,4.810684056416481,4.815693799795593,4.781467519378174,4.743427742659587,4.724430837383011,4.711833496458812,4.685919267733395,4.647979173883543,4.678432342935522,4.727077467041878,4.763684752706479,4.8017382297644104,4.839488108987389,4.877281153230329,4.9126156447249905,4.945669456209153
400882,477116,1.4379096635111885,1.4963300271269353,1.5240020272921817,1.5319696012742643,1.5167062016934367,1.3994856875761454,0.9581753270967867,0.5983062178853213,0.6534202820824051,0.6784689989779664,0.5073375968908718,0.3171387132979322,0.2221541869150565,0.1591674822940623,0.029596338666975974,-0.16010413058228323,-0.007838285322393279,0.23538733520938826,0.41842376353239574,0.6086911488220529,0.7974405449369473,0.9864057661516458,1.1630782236249526,1.3283472810457655
477116,1124019,1.4622232139845104,1.5118805230578949,1.5354017231983546,1.5421741610831248,1.5292002714394213,1.4295628344397235,1.0544490280322687,0.7485602852025232,0.7954072397700443,0.8166986491312714,0.6712369573572411,0.5095679063032426,0.42883105887779793,0.3752923599499529,0.2651568878669295,0.1039114890050592,0.2333374574759659,0.44007923492798007,0.5956601990025363,0.7573874764987449,0.9178244631964052,1.0784449012288988,1.2286164900812098,1.3690951888889007
1124019,426353,1.4784322476333915,1.5222475203452015,1.5430015204691363,1.5489772009556984,1.5375296512700776,1.4496142656821092,1.11863149532259,0.848729663413991,0.8900652115618038,0.9088517492334748,0.7805031976681539,0.6378540349734493,0.5666156401862925,0.5193756117205468,0.4221972540002321,0.2799219020632875,0.39412128600820506,0.5765405014070413,0.7138178226492968,0.8565183616165397,0.9980804087027104,1.1398043246137344,1.2723086677187145,1.396260460784324
478377,426353,1.31634191114458,1.4185775474721367,1.4670035477613181,1.4809468022299626,1.4542358529635142,1.2490999532582543,0.47680682241937666,-0.15296411870068782,-0.05651450635579103,-0.012679251788558998,-0.3121592054409743,-0.6450072517286185,-0.8112301728986511,-0.9214569059853912,-1.148206407332792,-1.4801822285189958,-1.213716999314188,-0.7880721633835703,-0.4677584138183075,-0.1347904895614076,0.1955209536396576,0.52621009076538,0.8353868913436671,1.1246077418300895
478612,425017,1.5351638654044755,1.558532010850774,1.5696008109168729,1.5727878405097058,1.5666824806773747,1.5197942750304583,1.3432701308387147,1.1993224871541286,1.221368112832962,1.2313875995911867,1.1629350387563488,1.086855485319173,1.0488616747660227,1.023666992917625,0.9718385354667904,0.8959583477670867,0.9568646858710428,1.0541549340837553,1.1273695054129584,1.2034764595288212,1.278976217974779,1.3545623064606584,1.425231289449981,1.4913389124183063
392720,479509,1.7432683822289161,1.7637155094944275,1.7734007095522637,1.7761893604459926,1.770847170592703,1.729819990651651,1.5753613644838753,1.4494071762598626,1.4686970987288417,1.4774641496422882,1.4175681589118052,1.3509985496542765,1.3177539654202697,1.2957086188029219,1.2503587185334415,1.1839635542962008,1.2372566001371625,1.3223855673232858,1.3864483172363384,1.4530419020877186,1.5191041907279317,1.585242018153076,1.6470773782687336,1.7049215483660178
481815,380472,21.470327730808954,21.51706402170155,21.539201621833747,21.545575681019415,21.53336496135475,21.43958855006092,21.08654026167743,20.79864497430826,20.842736225665924,20.862775199182373,20.7258700775127,20.57371097063835,20.497723349532045,20.44733398583525,20.34367707093358,20.191916695534175,20.313729371742088,20.508309868167512,20.654739010825917,20.806952919057643,20.957952435949558,21.109124612921317,21.250462578899963,21.382677824836613
380472,977633,11.970992118287445,12.558116772625699,12.836220374286425,12.916294492806355,12.762897327019038,11.58483116014026,7.149662037322704,3.532977489747479,4.08687383492817,4.33861343972856,2.6187428487532607,0.7072440686442185,-0.24735042150368258,-0.8803668029446747,-2.1825567963968933,-4.089046512351947,-2.5587747674900516,-0.11435728114564903,1.7251588235005748,3.63734604566163,5.534277476616319,7.433377949824039,9.208936147430773,10.86989017450994
1013052,972821,1.4784322476333915,1.5222475203452015,1.5430015204691363,1.5489772009556984,1.5375296512700776,1.4496142656821092,1.11863149532259,0.848729663413991,0.8900652115618038,0.9088517492334748,0.7805031976681539,0.6378540349734493,0.5666156401862925,0.5193756117205468,0.4221972540002321,0.2799219020632875,0.39412128600820506,0.5765405014070413,0.7138178226492968,0.8565183616165397,0.9980804087027104,1.1398043246137344,1.2723086677187145,1.396260460784324
972821,424900,10.710850314931154,10.742981514919816,10.758201115010701,10.762583280700847,10.754188410931391,10.689717128166881,10.446996429903233,10.249068419836927,10.279381155145323,10.293157949437882,10.199035678289981,10.094426292313864,10.042184802803282,10.007542115261735,9.936277986266838,9.831942728179746,9.915688943072684,10.049463034365164,10.150133069942818,10.25478013185213,10.35859229971532,10.462523171383406,10.559693022993725,10.65059100457517
470915,424475,2.094641281282273,2.132614517632508,2.1506013177399184,2.155780240828272,2.145859031100734,2.0696656969244946,1.7828139626129116,1.548899041625459,1.5847231833535633,1.6010048493356783,1.4897694379790667,1.366140163643656,1.3044002214947867,1.2634588634911406,1.1792376201335344,1.0559323151215159,1.1549051145404445,1.3130017678861026,1.4319754462960574,1.5556492467343346,1.6783363542090157,1.8011637479985698,1.9160008453562194,2.0234257326797476
