,source,target,length,Name_2,ID_2,geometry,unique_id,traffic_id,volume,1,2,3,4,5,6,7,8,9,10,11,12
83,268177,288587,19814.036,,,"MULTILINESTRING ((8.421950210775634 58.72869308651428, 8.570531328247121 58.8889978333845))",268177_288587,18304V22179,757.0,757.0,819.0,898.0,902.0,1013.0,1125.0,1485.0,1449.0,1197.0,972.0,841.0,686.0
87,622916,931938,10768.07649,,,"MULTILINESTRING ((8.260846682688317 58.63186015431526, 8.436248312035445 58.60069576741624))",622916_931938,74801V22176,265.0,265.0,278.0,314.0,316.0,363.0,432.0,547.0,523.0,412.0,341.0,263.0,230.0
88,622916,1827783,15102.50477,,,"MULTILINESTRING ((8.260846682688317 58.63186015431526, 8.02148781668743 58.579144318531604))",622916_1827783,34095V22185,480.0,480.0,563.0,637.0,695.0,878.0,966.0,1219.0,1099.0,884.0,753.0,635.0,529.0
89,622916,287126,23675.53231,,,"MULTILINESTRING ((8.260846682688317 58.63186015431526, 8.296607356111744 58.420132561740694))",622916_287126,26773V21770,876.0,876.0,899.0,885.0,914.0,1021.0,1090.0,1155.0,1202.0,1083.0,998.0,851.0,784.0
92,1827783,1279138,15927.02257,,,"MULTILINESTRING ((8.02148781668743 58.579144318531604, 7.755110272072027 58.54639920171845))",1827783_1279138,50730V121765,790.0,790.0,912.0,977.0,933.0,1073.0,1130.0,990.0,369.0,1021.0,943.0,864.0,772.0
96,1827783,1556327,14013.71265,,,"MULTILINESTRING ((8.02148781668743 58.579144318531604, 7.809164759454095 58.63874498733487))",1827783_1556327,46503V22163,1469.0,1469.0,1754.0,1833.0,1545.0,1518.0,1828.0,2607.0,,,,1352.0,1394.0
99,1279138,1123430,19608.64086,,,"MULTILINESTRING ((7.755110272072027 58.54639920171845, 7.440877609688643 58.483492064703654))",1279138_1123430,50730V121765,790.0,790.0,912.0,977.0,933.0,1073.0,1130.0,990.0,369.0,1021.0,943.0,864.0,772.0
103,1279138,1556327,10755.80383,,,"MULTILINESTRING ((7.755110272072027 58.54639920171845, 7.809164759454095 58.63874498733487))",1279138_1556327,50730V121765,790.0,790.0,912.0,977.0,933.0,1073.0,1130.0,990.0,369.0,1021.0,943.0,864.0,772.0
107,1279138,1122276,23662.09991,,,"MULTILINESTRING ((7.755110272072027 58.54639920171845, 7.813077398186331 58.336150298036436))",1279138_1122276,77879V121762,2617.0,2617.0,2730.0,2990.0,3694.0,4334.0,5710.0,9592.0,7277.0,4365.0,3580.0,2910.0,2677.0
108,214991,1093133,15041.11634,,,"MULTILINESTRING ((7.162635672425765 58.496487187242, 6.907392480457432 58.51622359782285))",214991_1093133,00091V121407,718.0,718.0,1065.0,879.0,704.0,831.0,859.0,923.0,894.0,857.0,797.0,688.0,619.0
112,1093133,460596,10477.02711,,,"MULTILINESTRING ((6.907392480457432 58.51622359782285, 6.735121181820974 58.54322625253501))",1093133_460596,00091V121407,718.0,718.0,1065.0,879.0,704.0,831.0,859.0,923.0,894.0,857.0,797.0,688.0,619.0
116,460596,215924,14460.83693,,,"MULTILINESTRING ((6.735121181820974 58.54322625253501, 6.630619778183344 58.66103684394553))",460596_215924,00091V121407,718.0,718.0,1065.0,879.0,704.0,831.0,859.0,923.0,894.0,857.0,797.0,688.0,619.0
120,215924,1250349,19921.15214,,,"MULTILINESTRING ((6.630619778183344 58.66103684394553, 6.317866780899977 58.58773349893198))",215924_1250349,00091V121407,718.0,718.0,1065.0,879.0,704.0,831.0,859.0,923.0,894.0,857.0,797.0,688.0,619.0
124,1250349,1173779,10076.39081,,,"MULTILINESTRING ((6.317866780899977 58.58773349893198, 6.166666803104279 58.54365739261926))",1250349_1173779,20571V320577,3571.0,3571.0,3946.0,4418.0,4856.0,5876.0,6290.0,7842.0,6295.0,4757.0,4694.0,4100.0,3885.0
127,1250349,359194,13844.36719,,,"MULTILINESTRING ((6.317866780899977 58.58773349893198, 6.407586390409412 58.47264081469726))",1250349_359194,00894V319698,631.0,631.0,997.0,802.0,632.0,668.0,732.0,803.0,795.0,717.0,683.0,586.0,524.0
128,1757237,1795859,14568.92224,,,"MULTILINESTRING ((6.661397009073949 59.88286522047728, 6.401834610667297 59.874164856033715))",1757237_1795859,58420V805630,1541.0,1541.0,2007.0,2421.0,1909.0,2213.0,2982.0,4910.0,3536.0,2332.0,1907.0,1463.0,1508.0
132,358507,358799,17549.24798,,,"MULTILINESTRING ((5.548978434751737 59.48815678039793, 5.274904889818147 59.41506190642743))",358507_358799,65533V319820,16810.0,16810.0,17257.0,16933.0,18141.0,18085.0,18190.0,14822.0,17475.0,17541.0,17770.0,17985.0,16830.0
134,358507,1622547,12642.74688,,,"MULTILINESTRING ((5.548978434751737 59.48815678039793, 5.443418445249007 59.58818222697835))",358507_1622547,81157V319534,3216.0,3216.0,3563.0,3815.0,4072.0,4520.0,4576.0,5029.0,4680.0,4040.0,3946.0,3679.0,3503.0
135,227045,771454,15100.22592,,,"MULTILINESTRING ((8.787191594268114 60.66794867343125, 8.705387519528387 60.797412937201905))",227045_771454,74937V180956,791.0,791.0,969.0,1268.0,1224.0,1391.0,1551.0,2532.0,1885.0,1295.0,1164.0,903.0,939.0
141,631488,1264979,20308.13528,,,"MULTILINESTRING ((8.480103545943189 60.598574664439816, 8.112059320020276 60.62070913765581))",631488_1264979,98792V181304,124.0,124.0,197.0,216.0,190.0,258.0,407.0,773.0,540.0,262.0,165.0,115.0,138.0
146,633349,228595,14606.56031,,,"MULTILINESTRING ((7.898267869882554 60.50536957599831, 7.69857035357396 60.4189895197702))",633349_228595,62909V181278,460.0,460.0,715.0,1125.0,1070.0,1327.0,1784.0,3367.0,2577.0,1257.0,896.0,584.0,557.0
155,228595,471754,17383.33666,,,"MULTILINESTRING ((7.69857035357396 60.4189895197702, 7.389493350415951 60.387959038075905))",228595_471754,62909V181278,460.0,460.0,715.0,1125.0,1070.0,1327.0,1784.0,3367.0,2577.0,1257.0,896.0,584.0,557.0
164,1712596,1799911,13773.78789,,,"MULTILINESTRING ((6.006989664222506 60.37461393910798, 5.761487087234725 60.39733479507519))",1712596_1799911,06074V805644,2130.0,2130.0,2589.0,2805.0,2123.0,2440.0,2844.0,3352.0,2959.0,2356.0,2145.0,1874.0,1781.0
166,264548,1360672,13076.07198,,,"MULTILINESTRING ((10.697566332010716 60.212993142730284, 10.91749641691013 60.25557087095621))",264548_1360672,00000V443437,3412.0,3412.0,3733.0,3925.0,4093.0,4210.0,4689.0,4612.0,4784.0,4658.0,4504.0,4160.0,3714.0
168,264548,1617560,17181.38585,,,"MULTILINESTRING ((10.697566332010716 60.212993142730284, 10.388187720771576 60.222342188382605))",264548_1617560,62963V1060678,7557.0,7557.0,8043.0,8253.0,8672.0,9037.0,10222.0,9607.0,10218.0,9526.0,9115.0,8640.0,7525.0
175,264548,294323,12109.85599,,,"MULTILINESTRING ((10.697566332010716 60.212993142730284, 10.528225306432695 60.28175302818981))",264548_294323,62963V1060678,7557.0,7557.0,8043.0,8253.0,8672.0,9037.0,10222.0,9607.0,10218.0,9526.0,9115.0,8640.0,7525.0
182,210723,251243,18216.02049,,,"MULTILINESTRING ((10.651990220348736 60.52275579524095, 10.609884747238555 60.68492595809241))",210723_251243,02637V1060053,4454.0,4454.0,4558.0,4369.0,4850.0,5041.0,5155.0,4009.0,4788.0,4935.0,5055.0,4959.0,4455.0
184,331508,283883,16752.25152,,,"MULTILINESTRING ((10.624690308902055 60.95522546854228, 10.338372609575885 60.89879615681353))",331508_283883,13124V1060174,1220.0,1220.0,1261.0,1237.0,1324.0,1337.0,1545.0,1306.0,1481.0,1412.0,1384.0,1309.0,1141.0
187,407721,1687134,18865.13377,,,"MULTILINESTRING ((8.248850195749085 60.90004237327238, 8.027239795825954 61.030649990956086))",407721_1687134,74937V180956,791.0,791.0,969.0,1268.0,1224.0,1391.0,1551.0,2532.0,1885.0,1295.0,1164.0,903.0,939.0
193,1687134,1660676,15906.76799,,,"MULTILINESTRING ((8.027239795825954 61.030649990956086, 7.736101195407529 61.0517311811359))",1687134_1660676,74937V180956,791.0,791.0,969.0,1268.0,1224.0,1391.0,1551.0,2532.0,1885.0,1295.0,1164.0,903.0,939.0
199,1687134,341373,16659.26599,,,"MULTILINESTRING ((8.027239795825954 61.030649990956086, 8.07147170718949 61.17861263027136))",1687134_341373,74937V180956,791.0,791.0,969.0,1268.0,1224.0,1391.0,1551.0,2532.0,1885.0,1295.0,1164.0,903.0,939.0
205,983396,983236,10521.80204,,,"MULTILINESTRING ((7.252077627199125 61.18565873671875, 7.42977162414939 61.14630415658294))",983396_983236,67664V384034,1564.0,1564.0,1787.0,1898.0,2076.0,2474.0,3106.0,3909.0,,2345.0,2088.0,1867.0,1681.0
207,983396,1644196,17535.37706,,,"MULTILINESTRING ((7.252077627199125 61.18565873671875, 7.259905922659837 61.34297539553006))",983396_1644196,29481V384100,1715.0,1715.0,1834.0,1859.0,1990.0,2263.0,2754.0,2923.0,2842.0,2167.0,2062.0,1914.0,1644.0
209,1678938,1644196,15356.71939,,,"MULTILINESTRING ((7.000309797192912 61.28453110592995, 7.259905922659837 61.34297539553006))",1678938_1644196,83708V384493,1055.0,1055.0,1227.0,1301.0,1368.0,1659.0,2029.0,2693.0,2271.0,1622.0,1448.0,1251.0,1053.0
212,1678938,1755117,14376.4061,,,"MULTILINESTRING ((7.000309797192912 61.28453110592995, 6.919891525542575 61.16148140510422))",1678938_1755117,43761V1724813,1971.0,1971.0,2016.0,2063.0,2209.0,2393.0,2650.0,2447.0,2631.0,2317.0,2225.0,2199.0,1898.0
215,1678938,1679124,17570.09755,,,"MULTILINESTRING ((7.000309797192912 61.28453110592995, 6.762546129152436 61.39322954394285))",1678938_1679124,83708V384493,1055.0,1055.0,1227.0,1301.0,1368.0,1659.0,2029.0,2693.0,2271.0,1622.0,1448.0,1251.0,1053.0
218,1679124,1665576,10729.4198,,,"MULTILINESTRING ((6.762546129152436 61.39322954394285, 6.718069018697456 61.48712773206511))",1679124_1665576,52148V1797330,1008.0,1008.0,1169.0,1249.0,1346.0,1620.0,1986.0,2626.0,2206.0,1597.0,1417.0,1244.0,1036.0
220,1665576,1758324,10867.17944,,,"MULTILINESTRING ((6.718069018697456 61.48712773206511, 6.549159293224706 61.54190079492473))",1665576_1758324,52148V1797330,1008.0,1008.0,1169.0,1249.0,1346.0,1620.0,1986.0,2626.0,2206.0,1597.0,1417.0,1244.0,1036.0
222,1758324,1663744,12832.31022,,,"MULTILINESTRING ((6.549159293224706 61.54190079492473, 6.517242999522345 61.65604364292855))",1758324_1663744,09537V384484,1657.0,1657.0,1891.0,2137.0,2252.0,2690.0,3118.0,4131.0,3387.0,2463.0,2284.0,1992.0,1786.0
223,982293,1647058,13740.7507,,,"MULTILINESTRING ((6.244052716002504 61.52894962797991, 6.169632400257792 61.41089509000023))",982293_1647058,35485V384501,29.0,29.0,41.0,57.0,37.0,198.0,323.0,425.0,307.0,148.0,69.0,50.0,31.0
229,1662985,1647058,11554.96883,,,"MULTILINESTRING ((5.959860152114905 61.43644295220999, 6.169632400257792 61.41089509000023))",1662985_1647058,35485V384501,29.0,29.0,41.0,57.0,37.0,198.0,323.0,425.0,307.0,148.0,69.0,50.0,31.0
