u,v,diff_hour_00_avg,diff_hour_01_avg,diff_hour_02_avg,diff_hour_03_avg,diff_hour_04_avg,diff_hour_05_avg,diff_hour_06_avg,diff_hour_07_avg,diff_hour_08_avg,diff_hour_09_avg,diff_hour_10_avg,diff_hour_11_avg,diff_hour_12_avg,diff_hour_13_avg,diff_hour_14_avg,diff_hour_15_avg,diff_hour_16_avg,diff_hour_17_avg,diff_hour_18_avg,diff_hour_19_avg,diff_hour_20_avg,diff_hour_21_avg,diff_hour_22_avg,diff_hour_23_avg,edge_classification,TimeServed
794436,735703,233.124114402632,234.0525113477589,234.4922655503849,234.6188835802502,234.37632272191158,232.51349338506427,225.50033623977978,219.78141631256094,220.6572706494262,221.0553365087582,218.33577331059084,215.3131960521596,213.80373362039177,212.8027699061231,210.7436684819827,207.72901185816326,210.14876991575167,214.01403040203584,216.9227843088024,219.94645017336384,222.94599265995635,225.94896496709327,228.7565847704399,231.38298554128565,1,0
794436,1394577,138.8799601704317,139.06739217036557,139.15617317089576,139.18173580408828,139.1327657304331,138.7566832476401,137.34081250776885,136.18623244904873,136.36305673834772,136.443421371721,135.8943747900249,135.28415337183088,134.97941134968582,134.77732900569347,134.36162158655657,133.7529992477152,134.24151883459066,135.02186770046347,135.60910957466646,136.2195507691374,136.82512174833937,137.4313851664032,137.99820930079673,138.5284475266885,1,0
794436,1613461,50.82285223482501,51.823787798108135,52.29790140093936,52.43441250183238,52.17289958901421,50.16452144713795,42.603403937591594,36.43764653310182,37.3819341663452,37.81110218248914,34.87905082673026,31.62030995450456,29.99290840247795,28.91373619663825,26.693750602494173,23.443549229356865,26.052370711476318,30.219636343254177,33.35566048185503,36.61557501648449,39.84948133658635,43.08708546006485,46.11407356477418,48.94568341525078,1,0
794436,1337200,107.03018180132675,108.49701976444545,109.19181756859452,109.39187007199466,109.00863154751936,106.06541980555771,94.98485217118848,85.94913862073729,87.3329609159524,87.96189244933844,83.66506816193497,78.88949119305558,76.50458804312554,74.9230968679334,71.6697814033633,66.90671878796317,70.72986038603024,76.83685034154905,81.4325899960259,86.20988692834037,90.94906968245851,95.69367144512421,100.12962239818319,104.27925298159074,1,0
794436,492484,78.53992480379375,79.13824669449171,79.4216540961841,79.5032553330506,79.34693268234362,78.14639925025902,73.62664564168291,69.94098618150885,70.50544605566064,70.76198666453267,69.00931588815735,67.06136232202634,66.0885624643217,65.4434736311617,64.11644916851428,62.17360019595311,63.73305622782316,66.22409195810282,68.09869004484429,70.04734518251918,71.98045358106256,73.91577238833644,75.7251928069589,77.41782340337706,1,0
1394577,1492778,74.19129770284711,74.80714570262977,75.09885470437175,75.18284621343287,75.02194454285164,73.78624495653186,69.13409823981196,65.34047804687442,65.92147214028535,66.18552736422605,64.38151716722459,62.376503936015695,61.375208720396216,60.711223875849896,59.345328070114356,57.345568956778415,58.95070474222643,61.51470815866563,63.444217173903986,65.44995252716579,67.43968574454364,69.43169411818192,71.29411627404637,73.03632758769078,1,0
1394577,1337200,17.657584164167385,17.78099718230565,17.83945428265473,17.85628578269188,17.824041851077386,17.576413515004607,16.64414537849196,15.883921885282739,16.000350345899083,16.053265760340953,15.691750673431963,15.289955531841885,15.089300719858054,14.956241306346206,14.682522265433988,14.281780024144924,14.603441622256442,15.117255745629834,15.503920200462185,15.905860051886586,16.3045931511793,16.70378218099535,17.07700274740771,17.42613363120918,1,0
1492778,1757353,164.7503764862378,165.05659655885702,165.20164395972319,165.24340732667926,165.16340167387645,164.54897081237831,162.23576900619898,160.3494550920822,160.63834464524862,160.76964166964285,159.87262790370298,158.87566875553662,158.37779152974642,158.04763621969138,157.3684674751794,156.37412084886452,157.17224765443513,158.44715528205586,159.40657122718233,160.40388943840892,161.39325085637785,162.3837435575782,163.3098016888341,164.1760869981482,1,0
1492778,1337200,68.25190440903616,68.7017412088774,68.9148156101498,68.97616592981181,68.85863775303947,67.95603979433632,64.55795001864526,61.786957877716965,62.21133617203452,62.404211292130334,61.08649949605971,59.62196809239408,58.890587239245924,58.40558961366429,57.40789180773572,55.947198194516425,57.119645203017576,58.99248248111228,60.40186297919945,61.86692184592982,63.32029219601449,64.77532439936768,66.13570232191213,67.4082740640524,1,0
1492778,344649,65.40787206540806,65.76545337437277,65.93482907538422,65.98359726779954,65.89017254286523,65.17268531270565,62.47149814793824,60.268799308639736,60.60614330991271,60.75946233124429,59.71199554096953,58.547819874311074,57.9664354190759,57.580904297874895,56.787820922924105,55.62669596739426,56.55868982858917,58.04743331426079,59.167768785954536,60.33236374008163,61.48766733546822,62.644291960319855,63.72567462710439,64.73725898273428,1,0
1492778,892553,61.154517329647156,61.53132867496874,61.70981307603458,61.761203928219004,61.662755000922665,60.906682684866155,58.060230859774265,55.739075105360335,56.094560819431514,56.256125043407884,55.152327499946125,53.92554470077167,53.312894505602124,52.90663026079671,52.070896384402,50.84732835774428,51.829443059670574,53.398248312100556,54.57883327478395,55.80605790990223,57.02349151484332,58.24231719167812,59.38185454238095,60.4478399627452,1,0
1613461,1405705,65.9496568173372,66.22009441724178,66.34819271800673,66.38507594589878,66.3144191253392,65.77178582873792,63.72888661835221,62.06299253362747,62.31812472247313,62.43407940776885,61.64188362560733,60.76142129364168,60.321722090260955,60.03014613678627,59.43033971774588,58.55218462884617,59.25704860419509,60.38298053924012,61.230286672018714,62.111066109755434,62.984818522603945,63.859570025810335,64.67741627686385,65.44247428850768,1,0
