,Name,Latitude,Longitude
542,Tesla superladestasjon Hamarøy Hotel,67.96253,15.92924
543,Storjord Supercharger,66.81404,15.4005
544,Mosjøen Supercharger,65.83516,13.1914
545,Grong Supercharger,64.464932,12.315369
546,Steinkjer Bil Hurtigladestasjon,64.00914,11.4894
547,"Fortum hurtigladestasjon Brekstad, Ørland",63.68496,9.66531
548,Fortum hurtigladestasjon Meråker,63.41374,11.73943
549,Orkanger,63.29745,9.85239
550,"Valsøytunet, Halsa",63.14201,8.53254
551,Aspøya Supercharger,63.0115,7.97571
552,Amfi Surnadal,62.97002,8.71288
553,Molde fergekai,62.7373,7.17019
554,Extra Volda,62.17263,6.04338
555,Alvdal Supercharger,62.11486,10.61639
556,"Grønn Kontakt, Hurtigladestasjon i Sandane",61.7773444377927,6.21324062347412
557,Ringebu skysstasjon,61.52934,10.14027
558,"Best Jølstraholmen Hurtigladestasjon, Vassenden",61.48805,6.08102
559,"Strandtorget Hurtigladestasjon, Lillehammer",61.11537,10.44906
560,"Oppedal Hurtigladestasjon, Gulen",61.05457,5.50737
561,"Grønn Kontakt, Hurtigladestasjon på Rudshøgda",60.90957,10.81549
562,Grønn Kontakt Elverum Hurtigladestasjon,60.88233,11.5363
563,Fortum hurtigladestasjon Brumunddal,60.88003,10.93102
564,"Skogveien Auto Hurtigladestasjon, Hamar",60.8061,11.14853
565,Grønn kontakt Gjøvik hurtigladestasjon,60.79553,10.69873
566,"Grønn Kontakt, Hurtiglader på Geilo",60.53338833106655,8.205244723873202
567,Kiwi Rødberg,60.26698,8.94735
568,Kiwi Kløfta,60.07273,11.13572
569,"Fortum Hurtigladestasjon, Møller Bil Romerike, Skjetten",59.97965,11.00361
570,"Fortum - Birger N. Haug Hurtigladestasjon, Lillestrøm",59.9561,11.03461
571,Vestby,59.62357,10.73852
572,Vinje Supercharger,59.56987,7.99189
573,"Sølvgarden hotell, Rysstad",59.09105,7.54048
574,Sundebru Supercharger,58.820786,9.073735
575,Gol Supercharger,60.702333,8.986
576,Dombås Supercharger,62.074928,9.128281
577,Lyngdal Supercharger,58.15652,7.10296
578,Aurland Supercharger,60.898649,7.210826
579,Lillehammer Supercharger,61.130464,10.434918
580,Fortum Hurtigladestasjon Værnes Lufthavn,63.451216,10.919549
581,Maxi Storsenter,60.79857,11.04712
