,Name,Latitude,Longitude
139,Sørkjosen Supercharger,69.792427,20.939286
140,Ørskog Supercharger,62.5203,6.916356
141,Nes I Ådal – Valdresporten Supercharger,60.584991,9.984288
142,Hokksund Supercharger,59.761249,9.905515
143,Hovden Supercharger,59.561444,7.356644
144,Åsane Supercharger,60.484345,5.375959
145,Rygge Supercharger,59.38753,10.751039
146,Gulsvik Supercharger,60.381223,9.609859
147,Voss Supercharger,60.658184,6.436238
148,"Eidsvoll Verk, Norway - Nebbenes Supercharger",60.312153,11.144888
149,Skarnes Supercharger,60.248841,11.743848
150,Lærdal Supercharger,61.064746,7.510429
151,"Skjåk, Norway - Bismo Supercharger",61.88317,8.267157
152,Vinstra Supercharger,61.591747,9.722741
153,Norheimsund Supercharger,60.372334,6.141234
154,Porsgrunn Supercharger,59.122085,9.707432
155,Gol West,60.697258,8.953551
156,Vikeså Supercharger,58.631861,6.077764
157,Os Supercharger,60.193018,5.465142
158,Røldal Supercharger,59.816851,6.752166
159,Øyer Supercharger,61.243354,10.434287
160,Lavik Supercharger,61.103661,5.513039
161,Holmestrand Supercharger,59.490326,10.294542
162,Mosjøen North Supercharger,65.841627,13.187939
163,Brumunddal Supercharger,60.878539,10.929584
164,Eidfjord Supercharger,60.467438,7.068209
165,Ringdalskogen Supercharger,59.112402,10.108727
166,"Jaren, Spydeberg Supercharger",59.617769,11.00302
167,Åndalsnes Supercharger,62.557776,7.685321
168,Skei Supercharger,61.575358,6.483264
169,Bygland Supercharger,58.827659,7.796338
170,Dombås,62.07417889953439,9.127585247680145
171,Vitaminveien,59.94609513678833,10.777006219237819
172,Svolvær,68.233132,14.559828
173,Hvervenmoen ladepark - Hvervenmoveien 2,60.14595386718787,10.250290744350423
174,Hvervenmoveien 2,60.14316150743727,10.32556915173268
175,Bamble Supercharger,58.971301,9.513025
176,Tesla Supercharger Liertoppen,59.8090147632474,10.2991707709778
177,Hammerfest lufthavn,70.67823,23.6684
178,Grieg Seafood avd. settefisk,70.41265,26.69634
179,ABC Thai AS,70.37006,31.11
180,Lakselv Lufthavn,70.06689,24.98284
181,Alta lufthavn,69.97774,23.34683
182,Tromsø taxi,69.6927,19.0139
183,Stakkevollvegen,69.66038,18.96813
184,Kåfjord Helsetun,69.49942,20.82322
185,Sortland Storsenter,68.69395,15.41677
186,Svebjørn Auto Narvik,68.4115,17.42844
187,Storgata 46,68.23347,14.56573
188,Extra Tverlandet,67.30556,14.73832
189,Esso Rønvik,67.29327,14.40789
190,Haaland AS,66.3173,14.14577
191,Trekanten parkering,66.30708,14.13173
192,Sulland Mo AS,66.30417,14.12859
193,Sandnessjøen lufthavn,65.95684,12.46732
194,Rørvik Lufthavn,64.83952,11.14423
195,Rådhusgata Verdal Kommune,63.79349,11.48776
196,Extra Verdal,63.78879,11.47987
197,Sulland Verdal (Madsen Bil),63.78537,11.45517
198,Hitra Rådhus,63.60171,8.9742
199,"Trondheim lufthavn, Værnes",63.45401,10.9161
200,TrP Losgata,63.43789,10.41348
201,Sirkus Shopping,63.43623,10.45546
202,TrP Munkegata,63.43163,10.39431
203,Meldal Næringssenter,63.140718,9.710069
204,Smia Restaurant U+0026amp; Catering,63.11682,7.73198
205,Kirketomta,63.11178,7.72643
206,Tydal kommune,63.0446785,11.65691
207,Bud,62.90666,6.91776
208,Rema 1000 Elnesvågen,62.85427,7.16538
209,Ålen sentrum,62.84234,11.30244
210,Kviltorp Camping,62.742643,7.23335
211,Esso Vigra,62.53255,6.12368
212,Amfi Moa Øst,62.46579,6.35518
213,Rema 1000 Flisnes,62.43239,6.41347
214,Ørsta/Volda lufthavn,62.18004,6.0795
215,"Rema 1000 Stokkenes, Nordfjordeid",61.90981,6.00345
216,TOCN - Stryn Torg,61.90386,6.71758
217,Engerdal,61.75895,11.96257
218,Amfi Florø,61.60145,5.03671
219,"Rema 1000 Evja, Florø",61.59897,5.04765
220,Rema 1000 Førde,61.44946,5.87215
221,Extra Bygg Førde,61.44892,5.88882
222,Gaupne hurtigladestasjon,61.40322,7.29432
223,Blåswixbutikken,61.14848,10.41554
224,Vik i Sogn,61.0859484,6.5814388
225,Kiwi Røn,61.03372,9.05456
226,Valdres Auto AS,60.9906,9.22115
227,Fagernes Kjøpesenter,60.98654,9.23831
228,Kiwi Næroset,60.97491,10.77644
229,"Kiwi, Aurdal",60.91995,9.42217
230,Heggedalsvegen,60.71694,11.19479
231,Evanger,60.64877,6.11544
232,Extra Flisa,60.61283,12.00852
233,Kiwi Nesbyen,60.56939,9.10478
234,Hjellvikåsen  48,60.55377,5.41532
235,Granvin,60.52419,6.71977
236,Frekhaug,60.51808,5.23941
237,Bergen,60.48466,5.37211
