source,target,length_m,length_km,geometry,trafficPoint_ID,gradient_per_meter,volume
293924,1854847,5969.365094,5.969365094,"LINESTRING (13.565231112951903 68.1341302590444, 13.44341094269305 68.1054782195722)",85320V885198,-0.000134185,1293
294257,1210066,8715.36886,8.71536886,"LINESTRING (11.255671577044753 60.56309845138863, 11.237593459770816 60.48522567532779)",57808V2282277,-0.003478109,11840
320750,943010,4074.142204,4.074142204,"LINESTRING (6.061330708056268 62.14641336174978, 6.079289544247725 62.18208048695495)",22331V248904,-0.015426069,8846
323285,1854825,14563.90333,14.56390333,"LINESTRING (20.281437561101775 69.37043240905946, 20.525027364221465 69.27166220276601)",47985V2491853,-0.034006062,506
323285,1854795,15428.45865,15.42845865,"LINESTRING (20.281437561101775 69.37043240905946, 20.353522012103674 69.50685467578417)",74376V2491855,-5.41E-05,1325
326002,332126,6791.804944,6.791804944,"LINESTRING (10.65499939159914 60.92912844311867, 10.581434685275983 60.97867751302972)",16184V1060614,-0.005467619,11315
328043,328308,6294.309687,6.294309687,"LINESTRING (9.674767595639848 61.6606673214788, 9.558961831760888 61.67421870340785)",88480V2562065,-0.014435419,2747
328308,235735,8149.693881,8.149693881,"LINESTRING (9.558961831760888 61.67421870340785, 9.555694768289518 61.74749430483938)",32268V1060625,0.004176108,4148
328559,1053393,6585.495483,6.585495483,"LINESTRING (9.845778361114656 61.570438940872435, 9.729158207664865 61.591106001967866)",93565V2411267,0.001023765,2818
329937,1703037,20102.03764,20.10203764,"LINESTRING (6.238298168777537 60.63689097993368, 5.87101848306044 60.621614300744476)",74461V805599,0.004664303,3945
331452,431864,2715.335849,2.715335849,"LINESTRING (17.558019563993618 68.54893555571269, 17.493215694364125 68.54306029173976)",14770V885184,-0.036563433,1998
331534,917559,12050.17779,12.05017779,"LINESTRING (17.558119141946488 68.55357524745362, 17.68924290655567 68.65081430606094)",39464V1126283,-0.014760363,1624
331992,232649,6506.363071,6.506363071,"LINESTRING (10.434165960787608 61.04596637231013, 10.441589615197381 61.10436923438541)",59018V1060615,-0.000622929,11850
332126,331992,10906.97021,10.90697021,"LINESTRING (10.581434685275983 60.97867751302972, 10.434165960787608 61.04596637231013)",04474V1060615,0.004194657,10013
338653,341391,18753.89563,18.75389563,"LINESTRING (8.42694243757241 61.16076303564081, 8.079245577100332 61.17904497770818)",48559V2741763,-0.026007077,489
343979,120302,14977.36935,14.97736935,"LINESTRING (9.457926093013816 60.89742999806718, 9.247136023175235 60.984954725615886)",96154V1060634,0.009650627,3774
344396,918793,5918.223597,5.918223597,"LINESTRING (10.418551548396097 59.73565787626339, 10.314269949976332 59.72729955011307)",39256V181280,0.014267457,10548
345153,345690,2729.239053,2.729239053,"LINESTRING (7.21736922097683 62.740711075632426, 7.267909332350908 62.74888080700154)",40330V249527,-0.005025577,12694
345690,1854797,15082.04867,15.08204867,"LINESTRING (7.267909332350908 62.74888080700154, 7.546122095000506 62.79572554987923)",99015V249528,0,4683
345756,960480,12194.52031,12.19452031,"LINESTRING (8.353433005144517 63.0879621626898, 8.561587407635585 63.14424476398649)",50903V249536,0.002331375,933
352537,677129,7335.517457,7.335517457,"LINESTRING (5.702037406940451 59.105578669215504, 5.588557581074579 59.136563221892985)",50233V320584,-0.000244836,4072
356032,355924,4648.322829,4.648322829,"LINESTRING (11.002724594893431 60.85327658066187, 10.93273513033326 60.87749220620337)",41542V705184,0.020252896,17367
356803,1790694,11379.68362,11.37968362,"LINESTRING (5.474275031280178 59.46249744338462, 5.416862484742675 59.560604343579364)",81157V319534,0.001611029,3216
356803,1714915,4187.462268,4.187462268,"LINESTRING (5.474275031280178 59.46249744338462, 5.459258662753564 59.425620573254285)",42954V320585,0.002406231,7645
356907,1244249,26781.02561,26.78102561,"LINESTRING (6.1022934664753095 58.52060286031392, 5.930622538021201 58.74426010393179)",95509V319514,-0.000669915,5632
358102,326002,8191.200447,8.191200447,"LINESTRING (10.803297314165896 60.91389928545407, 10.65499939159914 60.92912844311867)",53953V704480,0.012402211,13348
360832,974682,8685.674806,8.685674806,"LINESTRING (5.781669315278977 58.80069930508012, 5.718194382426881 58.87156927253416)",64040V320581,0.004149706,59316
363094,1169582,13266.96088,13.26696088,"LINESTRING (7.844741776371103 58.11742596891251, 7.623670547025358 58.093093941857255)",28020V121748,-0.001984629,7614
373466,1767627,5691.123311,5.691123311,"LINESTRING (5.379284810406431 59.422441091807244, 5.29857356377392 59.391908255859605)",39245V319652,-0.00074133,13877
424527,972167,2116.914677,2.116914677,"LINESTRING (23.350183966722614 69.97445679300615, 23.393652623954946 69.962593379559)",02250V930593,0.006577497,10941
429135,619605,10820.03059,10.82003059,"LINESTRING (13.40724102513997 65.53246824263054, 13.306102434108052 65.62033078644598)",19085V885118,-0.001089553,1530
429248,1095056,11528.09009,11.52809009,"LINESTRING (15.395441511883105 67.27166248252975, 15.576680920512333 67.34821769294518)",23265V885928,-0.004555221,3214
439557,931408,8828.154361,8.828154361,"LINESTRING (9.074651946369483 58.82068134996879, 9.037726022529313 58.74362911082902)",24748V22148,-0.002437542,17461
