source,target,length_m,length_km,geometry,trafficPoint_ID,gradient_per_meter,volume
236965,1854867,9418.902361565339,9.418902361565339,"LINESTRING (9.128168302134789 62.071886315412286, 9.27150322143151 62.12361644675889)",,-0.0022433611889027347,0
120302,239563,11677.130676782079,11.67713067678208,"LINESTRING (9.247136023175235 60.984954725615886, 9.056247852569172 61.034643435747064)",45876V1060635,-0.0028395674346548905,3021
239563,240306,17637.506495502577,17.637506495502578,"LINESTRING (9.056247852569172 61.034643435747064, 8.80543493345436 61.13688711202945)",,-0.0013520051718240637,0
240306,338653,20481.00287914274,20.48100287914274,"LINESTRING (8.80543493345436 61.13688711202945, 8.42694243757241 61.16076303564081)",,-0.0031551677611357663,0
249770,1621813,6944.5273310227585,6.944527331022758,"LINESTRING (10.610866412138295 60.29503647484047, 10.498162199850322 60.26713108518985)",,-0.022345653289717247,0
253044,990173,4920.409993496043,4.920409993496043,"LINESTRING (17.414697793593238 68.40607337751233, 17.45676198422443 68.44753270184225)",98841V885940,-0.007129690421402119,8989
255966,1244855,3478.1497871857205,3.4781497871857203,"LINESTRING (10.88198779958223 63.44504837411619, 10.90418506004768 63.47471402332472)",,0.004987709288402098,0
263259,343979,19222.74181066661,19.22274181066661,"LINESTRING (9.665678226395839 60.757321021346, 9.457926093013816 60.89742999806718)",38203V2433139,-0.01488575369832099,1817
264384,733439,25195.899348018735,25.195899348018735,"LINESTRING (10.747482827404443 60.15233648924957, 10.946340912880771 59.94865008248658)",,0.002362963876686611,0
264633,212063,4529.061139954843,4.529061139954844,"LINESTRING (10.680883876277063 60.248169857731085, 10.698419987437997 60.208380663710074)",,0.01757119136633988,0
264633,249770,6485.648244714061,6.485648244714061,"LINESTRING (10.680883876277063 60.248169857731085, 10.610866412138295 60.29503647484047)",58042V1060046,0.012894316318828822,9286
273005,264633,4910.4691493510245,4.910469149351025,"LINESTRING (10.751135924796511 60.27529589076481, 10.680883876277063 60.248169857731085)",,0.019567173131043624,0
278721,1306939,6684.432441075433,6.684432441075433,"LINESTRING (9.988049466434681 59.754556846224546, 9.86923728495378 59.7489377002652)",89755V180856,-0.0031842643616539473,15762
281536,461376,5218.709562176149,5.218709562176149,"LINESTRING (19.005626534183044 69.54585208237307, 18.939789683716448 69.58677136447679)",,0.01462258036988345,0
283367,293924,1957.121518129803,1.957121518129803,"LINESTRING (13.607178887358863 68.14224212428616, 13.565231112951903 68.1341302590444)",19425V885198,0.002714701131627752,7192
290493,253044,2959.722201819815,2.959722201819815,"LINESTRING (17.359961948384505 68.42348053917472, 17.414697793593238 68.40607337751233)",,0.0012582261935631194,0
293304,293574,6623.579052236506,6.623579052236506,"LINESTRING (10.437708589019334 61.23887676403181, 10.343650785423998 61.2776403026774)",45136V2237107,-0.00563713359583027,6635
293574,293678,3609.018907402657,3.6090189074026573,"LINESTRING (10.343650785423998 61.2776403026774, 10.305613385302312 61.30446534542221)",57449V2237119,-0.0035796432026169527,5601
293678,233289,17204.42783728004,17.20442783728004,"LINESTRING (10.305613385302312 61.30446534542221, 10.192088330034643 61.44931588413995)",81103V1059995,0.002830899141816501,5336
293924,1854847,5969.365093903924,5.9693650939039244,"LINESTRING (13.565231112951903 68.1341302590444, 13.44341094269305 68.1054782195722)",85320V885198,-0.00013418512478286892,1293
294257,1210066,8715.36886045672,8.715368860456719,"LINESTRING (11.255671577044753 60.56309845138863, 11.237593459770816 60.48522567532779)",57808V2282277,-0.003478108670481615,11840
320750,943010,4074.142203738486,4.074142203738486,"LINESTRING (6.061330708056268 62.14641336174978, 6.079289544247725 62.18208048695495)",22331V248904,-0.015426069306645668,8846
322944,717788,2506.4934790497023,2.5064934790497024,"LINESTRING (10.759170086648156 59.89315838806627, 10.77917060911221 59.87297415318677)",,0.008900880926472024,0
323285,1854825,14563.903327685022,14.563903327685022,"LINESTRING (20.281437561101775 69.37043240905946, 20.525027364221465 69.27166220276601)",47985V2491853,-0.03400606203273414,506
323285,1854795,15428.458651975125,15.428458651975125,"LINESTRING (20.281437561101775 69.37043240905946, 20.353522012103674 69.50685467578417)",74376V2491855,-5.412076597120773e-05,1325
326002,332126,6791.804943925607,6.791804943925607,"LINESTRING (10.65499939159914 60.92912844311867, 10.581434685275983 60.97867751302972)",16184V1060614,-0.005467618741497053,11315
328043,328308,6294.309686866355,6.294309686866355,"LINESTRING (9.674767595639848 61.6606673214788, 9.558961831760888 61.67421870340785)",88480V2562065,-0.01443541937404028,2747
328308,235735,8149.693880869311,8.149693880869311,"LINESTRING (9.558961831760888 61.67421870340785, 9.555694768289518 61.74749430483938)",32268V1060625,0.004176107777482515,4148
328559,1053393,6585.495482723171,6.5854954827231715,"LINESTRING (9.845778361114656 61.570438940872435, 9.729158207664865 61.591106001967866)",93565V2411267,0.001023765032970933,2818
329937,1703037,20102.037638940466,20.102037638940466,"LINESTRING (6.238298168777537 60.63689097993368, 5.87101848306044 60.621614300744476)",74461V805599,0.004664303275324182,3945
331452,431864,2715.335848795094,2.7153358487950943,"LINESTRING (17.558019563993618 68.54893555571269, 17.493215694364125 68.54306029173976)",14770V885184,-0.03656343286008451,1998
331452,331534,515.9260704942972,0.5159260704942972,"LINESTRING (17.558019563993618 68.54893555571269, 17.558119141946488 68.55357524745362)",,-0.03025239640448161,0
331534,917559,12050.17779297949,12.05017779297949,"LINESTRING (17.558119141946488 68.55357524745362, 17.68924290655567 68.65081430606094)",39464V1126283,-0.014760363129548619,1624
