x,y,osmid,roadclass,isBridge,isTunnel,elevation,OD,CS,merged_nodes,geometry
10.43684098601874,61.12737561219518,232792,0,1,0,142.669,1,0,"[232792, 232643, 1513686, 232612, 1513690]",POINT (10.43684098601874 61.12737561219518)
6.729422157601342,60.558100285282194,1116061,1,0,0,31.804,0,0,"[1116061, 1763466, 1719377, 1797887, 1116073]",POINT (6.729422157601342 60.558100285282194)
6.395745076153872,60.625874088218374,1823117,0,0,0,99.071,1,0,"[1823117, 1802814, 1791968, 1788705, 1802698, 1791946]",POINT (6.395745076153872 60.625874088218374)
8.705387519528387,60.797412937201905,771454,1,0,0,571.386,0,0,"[771454, 1293738, 1549241, 1548899]",POINT (8.705387519528387 60.797412937201905)
8.560599922891766,60.86190265926503,672610,1,0,0,620.747,1,0,"[672610, 1293738, 1549709, 407067, 621948]",POINT (8.560599922891766 60.86190265926503)
8.248850195749085,60.90004237327238,407721,1,0,0,929.647,0,0,"[407721, 407067, 408135]",POINT (8.248850195749085 60.90004237327238)
8.027239795825954,61.030649990956086,1687134,1,0,0,1008.34,0,0,"[1687134, 408135, 592052, 591994, 1687141, 408177, 941383]",POINT (8.027239795825954 61.030649990956086)
7.736101195407529,61.0517311811359,1660676,0,0,1,504.629,0,0,"[1660676, 592052, 1802794, 591994]",POINT (7.736101195407529 61.0517311811359)
7.5466328395994005,61.05294871807307,980627,0,0,0,112.686,0,0,"[980627, 1667444, 983223, 980749, 980716, 1802794, 1651290]",POINT (7.5466328395994005 61.05294871807307)
7.2520776271991245,61.18565873671875,983396,1,0,0,153.693,0,0,"[983396, 1668029, 1678870, 1678915, 983402]",POINT (7.2520776271991245 61.18565873671875)
7.000309797192912,61.28453110592995,1678938,1,0,0,404.361,0,0,"[1678938, 1668029, 1678870, 1678915, 1665467, 1668680, 1665399, 1684848, 1665491, 1678966]",POINT (7.000309797192912 61.28453110592995)
6.762546129152436,61.39322954394285,1679124,1,0,1,444.304,0,0,"[1679124, 1665467, 1655343, 1665491]",POINT (6.762546129152436 61.39322954394285)
6.718069018697456,61.48712773206511,1665576,1,0,1,912.654,0,0,"[1665576, 1655343]",POINT (6.718069018697456 61.48712773206511)
6.549159293224706,61.54190079492473,1758324,1,0,1,564.353,0,0,"[1758324, 1262940, 1242779, 1663376, 1262951, 324351]",POINT (6.549159293224706 61.54190079492473)
6.244052716002504,61.52894962797991,982293,0,0,0,218.37,0,0,"[982293, 1262940, 1663266, 1580023, 1262951]",POINT (6.244052716002504 61.52894962797991)
5.959860152114905,61.43644295220999,1662985,0,0,0,64.004,0,0,"[1662985, 1663266, 1580023, 1662666, 1662636, 1747783, 1655933, 1647614, 1662364, 1663249]",POINT (5.959860152114905 61.43644295220999)
6.548064632354983,60.063793531536874,1725418,1,0,0,22.936,1,0,"[1725418, 1800663, 1801200, 1768105, 1786348, 1681318]",POINT (6.548064632354983 60.063793531536874)
11.18161516343743,60.24496726743741,1451397,0,0,0,189.203,0,0,"[1451397, 1407325, 1547432, 1606061, 1378895, 1382793, 777880, 1363538, 1256026, 1547420, 1407374]",POINT (11.18161516343743 60.24496726743741)
11.238005390648594,60.4070708934097,1819002,0,0,0,134.422,0,0,"[1819002, 1547432, 1045990, 1547420, 1819018, 1819007]",POINT (11.238005390648594 60.4070708934097)
11.281695891645262,60.58577414471456,1536149,0,0,0,189.685,0,0,"[1536149, 241488, 27138, 241509, 1046009]",POINT (11.281695891645262 60.58577414471456)
11.289034863829196,60.72139997105538,157100,1,0,0,169.037,0,0,"[157100, 200273, 351419, 157143, 241509]",POINT (11.289034863829196 60.72139997105538)
11.288155418273039,60.81403336060002,342866,1,0,0,214.912,0,0,"[342866, 342965, 343305, 343479, 351419, 166854, 343375, 166855, 343012, 157143]",POINT (11.288155418273039 60.81403336060002)
11.537272393358052,60.88268322212163,1533628,1,0,0,188.701,0,1,"[1533628, 200701, 200752, 343479, 342104, 163142, 28476, 1533716, 192065, 343012, 343487]",POINT (11.537272393358052 60.88268322212163)
6.517242999522345,61.65604364292855,1663744,0,0,0,186.256,0,0,"[1663744, 1242779, 1663376, 1654341, 324351]",POINT (6.517242999522345 61.65604364292855)
6.314730737804904,61.755259718865375,982518,0,0,0,106.61,0,0,"[982518, 1654341, 1655657, 982550]",POINT (6.314730737804904 61.755259718865375)
