u,v,diff_hour_00_oct,diff_hour_01_oct,diff_hour_02_oct,diff_hour_03_oct,diff_hour_04_oct,diff_hour_05_oct,diff_hour_06_oct,diff_hour_07_oct,diff_hour_08_oct,diff_hour_09_oct,diff_hour_10_oct,diff_hour_11_oct,diff_hour_12_oct,diff_hour_13_oct,diff_hour_14_oct,diff_hour_15_oct,diff_hour_16_oct,diff_hour_17_oct,diff_hour_18_oct,diff_hour_19_oct,diff_hour_20_oct,diff_hour_21_oct,diff_hour_22_oct,diff_hour_23_oct
1799911,1748966,3.7380425410068865,3.9045405773117645,3.983405777782717,4.006113363631652,3.962612674826294,3.6285342095920132,2.370799682225841,1.345172720973165,1.5022478039348535,1.573636647087203,1.085912151138984,0.5438453328991062,0.27313943270790997,0.09362732453807698,-0.2756504347991191,-0.8162967721595082,-0.38233911316882185,0.3108539053467556,0.8325077260673268,1.37476977414285,1.9127055530702988,2.4512564335321896,2.9547729373311142,3.4257897509804307
1799911,1761106,10.359876048364894,10.698714157336225,10.859211758294654,10.905423687390734,10.816895969821934,10.137016987941644,7.577416897161363,5.490176063734864,5.809837636077949,5.955120194072205,4.962558061967057,3.8594045371280075,3.3084942841073275,2.943171397305562,2.1916587642684604,1.0913960426227565,1.9745379451301197,3.3852465442144526,4.446857828487895,5.550408663167907,6.645155160634294,7.741153443679545,8.765853697024726,9.72441423006544
1761106,1602213,64.55177153154045,64.89353065869257,65.05541185965926,65.10202216745445,65.0127312799066,64.32699127232046,61.7453256635162,59.64009137462913,59.96250865018207,60.1090436440211,59.1079249418116,57.995261472792905,57.43960199345308,57.07112977142026,56.31313858120181,55.20339083609364,56.094146030863996,57.51701591097492,58.58777901666451,59.70084322060901,60.80502718788114,61.910473731987125,62.94400760820597,63.910831594117724
1761106,1244123,25.535562497891572,25.883163661405263,26.04781206238848,26.09521912758187,26.004401900075948,25.306939841078066,22.68114319622588,20.53992199641766,20.86785067839031,21.016890543918898,19.998658701500688,18.866975344122697,18.301817412144587,17.92704651964967,17.156098215068507,16.027380423035414,16.93336220233176,18.38055464449586,19.469621393017754,20.601712335491214,21.724771242374835,22.849114308602292,23.90031543056847,24.883666322222304
492484,264548,1.7220992623494038,2.1105946803941187,2.294613481493008,2.347597848473857,2.2460962412613537,1.466579822381366,-1.4681340748063691,-3.8612636510626137,-3.4947551241520065,-3.328181156796524,-4.466204980675703,-5.73102755656875,-6.362674657014876,-6.781536242744486,-7.643184347864611,-8.904692468372186,-7.892124597393916,-6.274674220857569,-5.05748197250957,-3.792203860333349,-2.537020376169302,-1.2804016550915565,-0.1055298128940656,0.9935094189543394
264548,732070,46.659876048364886,46.99871415733622,47.159211758294646,47.20542368739073,47.116895969821925,46.43701698794164,43.87741689716135,41.79017606373486,42.10983763607794,42.2551201940722,41.26255806196705,40.159404537128,39.60849428410732,39.24317139730556,38.49165876426845,37.39139604262275,38.27453794513011,39.68524654421444,40.74685782848789,41.8504086631679,42.945155160634286,44.04115344367954,45.06585369702472,46.02441423006543
732070,210723,30.34353413722031,30.580136609864084,30.692208210533334,30.724476885160765,30.662660116858415,30.187917034683384,28.400610074741984,26.94314018243555,27.166352142433738,27.26779944586076,26.574717267408026,25.804411788856623,25.419724457005977,25.164628303290947,24.63986517160125,23.87157827114175,24.488254944444304,25.47331870759802,26.2146162423062,26.98519915272931,27.74963420699463,28.514943352914162,29.230466805681054,29.899806488235345
732070,1617560,29.970726363296045,30.341695672256034,30.51741287330535,30.568006968091574,30.471084380753318,29.72673411610852,26.924413327064592,24.639244483571787,24.98921879122327,25.148278143510083,24.06159374025703,22.85383082944187,22.250679086910605,21.85071351256729,21.027936750535293,19.823338770802497,20.7902268882028,22.334709578579613,23.49699089843071,24.70518879502003,25.90374746034961,27.103676615062945,28.225546720018446,29.275005234640606
732070,294323,30.45699737276248,30.65270559087523,30.745406791428806,30.772098164268783,30.720965775673008,30.328277053380084,28.84988734577423,27.64432582991582,27.828957944976054,27.912871146576183,27.339580949584416,26.70241468954807,26.384216526165435,26.173211065685106,25.739147734534367,25.103651162549347,25.613741744169978,26.428547572951448,27.04171960783352,27.67911534855387,28.31142582553877,28.94445931660801,29.53631204914359,30.08996339150331
251243,267203,39.71098319242685,39.85119206510465,39.91760486550124,39.936727043058234,39.90009488406425,39.61876565018275,38.55962078503229,37.69593492292477,37.828208676997775,37.88832559754712,37.47761023253809,37.02113291191504,36.79317004859614,36.64200195750575,36.331031212800745,35.87575008660252,36.24118811522626,36.824929604502536,37.26421703247775,37.72085875717293,38.17385730784868,38.62737383876395,39.05138773669989,39.44803347450984
267203,331508,27.63033665666954,28.123988729222603,28.357817130618937,28.425143130767534,28.29616740430954,27.305654060018426,23.576581513967845,20.535687541130965,21.001401383596324,21.213063041363814,19.767002693727868,18.159822127367526,17.35720287943223,16.824965225384826,15.730089061735946,14.127120096579706,15.413766489025777,17.46902298251933,19.015680801848745,20.623440207546345,22.218372604717203,23.815128723981406,25.308010989630848,26.704534524836717
331508,232792,29.47099211828744,30.058116772625695,30.336220374286423,30.416294492806355,30.262897327019036,29.084831160140258,24.649662037322702,21.032977489747477,21.58687383492817,21.838613439728558,20.118742848753257,18.207244068644215,17.252649578496317,16.61963319705532,15.317443203603105,13.410953487648051,14.941225232509947,17.38564271885435,19.22515882350057,21.13734604566163,23.034277476616317,24.933377949824038,26.70893614743077,28.36989017450994
331508,355581,182.65478308463852,183.24774977533835,183.5286205770156,183.60949145293372,183.45456794718834,182.26477972889782,177.78547957003235,174.13280811153595,174.69221586313637,174.9464603396263,173.20947660844232,171.27895793997396,170.31486499718778,169.67554994528467,168.36040283746976,166.43494307458977,167.98044140397766,170.44918145237526,172.30700119985377,174.2382151605438,176.15402153110998,178.07201852643917,179.86524396979323,181.54272490261448
331508,357850,73.42759085856282,73.88619071294643,74.10341591424361,74.16596137000296,74.04614368329347,73.12596264747273,69.66167631770976,66.83670381039975,67.26934921434687,67.46598164197702,66.12260013559333,64.62953889938876,63.88391036728318,63.38946473600838,62.37233125853575,60.883182574929066,62.0784694602192,63.98779058139368,65.42462654372929,66.91822551825311,68.39990827775502,69.88328526429041,71.27016405545587,72.56752615620924
