u,v,diff_hour_00_dec,diff_hour_01_dec,diff_hour_02_dec,diff_hour_03_dec,diff_hour_04_dec,diff_hour_05_dec,diff_hour_06_dec,diff_hour_07_dec,diff_hour_08_dec,diff_hour_09_dec,diff_hour_10_dec,diff_hour_11_dec,diff_hour_12_dec,diff_hour_13_dec,diff_hour_14_dec,diff_hour_15_dec,diff_hour_16_dec,diff_hour_17_dec,diff_hour_18_dec,diff_hour_19_dec,diff_hour_20_dec,diff_hour_21_dec,diff_hour_22_dec,diff_hour_23_dec
794436,735703,226.7930913806368,227.7687114530198,228.2308338557794,228.36389234128018,228.10899356828037,226.1514109825216,218.7815279625163,212.77171383868483,213.69211871077613,214.110432282932,211.25253786807752,208.07621651207543,206.4899749214814,205.43809695431082,203.27425885573848,200.10626101927585,202.649100635116,206.71096849799676,209.76767685099097,212.94514218532825,216.097257100447,219.25297629473246,222.20340633453668,224.96339959346426
794436,1394577,135.35699737276246,135.5527055908752,135.6454067914288,135.67209816426876,135.620965775673,135.22827705338005,133.7498873457742,132.5443258299158,132.72895794497603,132.81287114657616,132.2395809495844,131.60241468954806,131.2842165261654,131.0732110656851,130.63914773453433,130.00365116254932,130.51374174416995,131.32854757295144,131.9417196078335,132.57911534855384,133.21142582553875,133.84445931660798,134.43631204914357,134.9899633915033
794436,1613461,49.282373943201385,50.333940488284824,50.83203649125926,50.975452822936745,50.70071163048185,48.590742376370606,40.647155887742144,34.16951192193577,35.161565077483274,35.61244198160338,32.53207674403568,29.10849683936277,27.398775364471003,26.26501468129311,23.932734096005554,20.518125649518886,23.25891086419691,27.636972033768977,30.93162774358311,34.35644067879694,37.75392980886504,41.15530379072961,44.33540802524914,47.310251058823766
794436,1337200,103.62891963351981,105.16829621479474,105.89745341914897,106.10739899357685,105.70520841462205,102.61644786763142,90.98791986900032,81.5053688412782,82.95762443287137,83.6176581230694,79.10834567807447,74.0966050954005,71.59376282521173,69.93406315844854,66.5198635238748,61.52125615915682,65.53346118175493,71.94245628276738,76.76546616907862,81.77901177146109,86.75255835908855,91.73179193809585,96.3871111925175,100.74195085555591
794436,492484,76.42511081544751,77.06481379703993,77.36782219884938,77.45506713395318,77.28793290854313,76.00436827895878,71.1720198317098,67.23145308584425,67.83495208880232,68.10923553880872,66.23534668595504,64.15266891061235,63.11258834671986,62.42288393111997,61.00407990840337,58.92685977012398,60.59417077571978,63.25749132054279,65.26174021067972,67.34516807960146,69.41197396705957,71.48114313936051,73.41570654869322,75.22540272745113
1394577,1492778,71.47648371450087,72.13371280517802,72.44502280703703,72.53465801433546,72.36294476905115,71.04421398523164,66.07947242983884,62.03094495120986,62.650978173427056,62.932776238502115,61.007547965022304,58.86781052460174,57.799234602794385,57.0906341758082,55.63295881000347,53.49882853094931,55.211819290123074,57.94810752110561,60.00726733973945,62.147775424248096,64.27120613054065,66.397064869206,68.38463001578071,70.24390691176485
1394577,1337200,17.243401259724614,17.371926059679254,17.432804460042796,17.45033312280338,17.41675364372556,17.158868512667517,16.18798571961293,15.396273679347704,15.51752462058129,15.572631797751523,15.196142713159915,14.777705169255448,14.568739211213122,14.430168461046936,14.145111945067345,13.727770912718974,14.062755772290732,14.597852137460652,15.000532279771267,15.419120527408515,15.834369198861282,16.25009268553362,16.638772091974893,17.002364018300682
1492778,1757353,158.1274579810671,158.47798016276158,158.64401216375305,158.69181760764556,158.6002372101606,157.89691412545685,155.2490519625807,153.08983730731188,153.4205216924944,153.57081399386777,152.5440255813452,151.40283227978756,150.8329251214903,150.45500489376434,149.67757803200183,148.53937521650627,149.45297028806561,150.9123240112563,152.01054258119433,153.15214689293228,154.28464326962165,155.41843459690983,156.47846934174967,157.47008368627456
1492778,1337200,65.27360503889847,65.78770423871703,66.0312178401712,66.10133249121353,65.96701457490225,64.93547405067008,61.051942878451726,57.88509471739083,58.37009848232517,58.5905271910061,57.08457085263967,55.4108206770218,54.5749568448525,54.020673844187755,52.88044778026939,51.211083650875906,52.55102308916294,54.69140854984262,56.30212911908508,57.97648210963407,59.63747679544514,61.30037074213448,62.85508836789958,64.30945607320274
1492778,344649,63.16536764457832,63.57431018988854,63.76801419104527,63.823787208919846,63.716943411854054,62.896399813033014,59.807227289677506,57.28814352519724,57.673941974576834,57.84928299284576,56.651363178236096,55.31997099308552,54.65507930840539,54.21417237605843,53.30717437066883,51.97927108592401,53.045132002743244,54.747711346465714,56.02896634472677,57.36083804175436,58.682083814558624,60.00484036306152,61.24154756537467,62.39843096732035
1492778,892553,58.5005315099828,58.93284220073932,59.137615001962146,59.196575049429555,59.08362589253144,58.216194088063475,54.95049742051622,52.28746601235138,52.6953100874098,52.88067059243696,51.61429821699245,50.2068264784047,49.50394098317142,49.037839368976066,48.079012906135624,46.67522943369111,47.801996688614295,49.60186628054947,50.95633585013973,52.3643145012832,53.761060032533415,55.15940266952218,56.46677885482465,57.68976987973867
1613461,1405705,64.65713025025818,64.96091614106007,65.10481054191935,65.14624192662617,65.06687224880586,64.45732557539596,62.16251170090329,60.29119233300367,60.57778546682851,60.70803879468542,59.818155503832536,58.829121309149244,58.335201771958296,58.007670907929125,57.333900961068274,56.347458520972125,57.13924091632356,58.404014143088816,59.35580357036846,60.34519397387467,61.326690833672124,62.309309983988555,63.22800676284975,64.08740586143799
1613461,735703,120.34353413722032,120.58013660986408,120.69220821053334,120.72447688516077,120.66266011685842,120.1879170346834,118.40061007474199,116.94314018243556,117.16635214243374,117.26779944586076,116.57471726740803,115.80441178885663,115.41972445700598,115.16462830329095,114.63986517160126,113.87157827114176,114.48825494444431,115.47331870759803,116.2146162423062,116.98519915272931,117.74963420699464,118.51494335291416,119.23046680568106,119.89980648823536
1405705,1499351,72.07581932702237,72.19266005425386,72.24800405458436,72.26393920254851,72.23341240338686,71.99897137515228,71.11635065419357,70.39661243577063,70.5068405641648,70.55693799795593,70.21467519378173,69.83427742659586,69.6443083738301,69.51833496458812,69.25919267733394,68.87979173883542,69.1843234293552,69.67077467041877,70.03684752706478,70.4173822976441,70.79488108987388,71.17281153230329,71.5261564472499,71.85669456209152
1499351,1499032,49.39570430124786,50.29829891911115,50.7258313216642,50.84893033968738,50.6131108161636,48.80205387305144,41.98380880364535,36.42383106632821,37.27534335817316,37.66234603420958,35.018365871963965,32.07979312045305,30.61228218783762,29.63913760144326,27.637263432404776,24.70639118250372,27.05889849176902,30.816734328985046,33.64464714657551,36.584278249300716,39.500456419275835,42.41996908704292,45.14955855500551,47.70296549215708
1499351,1543821,58.846279935327026,59.11793462614025,59.24660942690865,59.28365864592533,59.21268383787448,58.66760844722908,56.615515271000056,54.942123913166746,55.198404311683184,55.314880845247544,54.51911982554255,53.63469501683539,53.19301696915501,52.90012879266739,52.29762297480144,51.415515792792384,52.12355197325087,53.25455110872366,54.10567050042564,54.99041384202255,55.868098533956804,56.74678681260515,57.56831373985603,58.33681485686281
1499351,1512898,57.76536764457832,58.174310189888544,58.36801419104527,58.42378720891985,58.316943411854055,57.496399813033015,54.40722728967751,51.88814352519725,52.273941974576836,52.44928299284576,51.251363178236105,49.91997099308553,49.25507930840539,48.81417237605844,47.90717437066883,46.57927108592401,47.645132002743246,49.347711346465715,50.62896634472677,51.96083804175437,53.28208381455863,54.60484036306152,55.84154756537467,56.99843096732035
1499032,1512898,0.5958371787435621,1.6065094692959783,2.085235072154743,2.2230741020447713,1.9590172892964548,-0.06889760493268637,-7.703566841225593,-13.929302430583943,-12.975829119974394,-12.542486317681183,-15.503059573787917,-18.793500259945773,-20.436732566369525,-21.526402556312725,-23.767983341061317,-27.049801459073503,-24.415602336077406,-20.207799100877587,-17.041268890889558,-13.749643125378485,-10.484278572590814,-7.21518024557653,-4.158746731288321,-1.2995920379082597
1499032,1543821,18.73166543162653,20.306094231070904,21.051854635524297,21.266580754341422,20.855232135638122,17.696139280177118,5.8028250652584,-3.895647427990589,-2.410323397879182,-1.7352604775438074,-6.347251763791004,-11.473111676620725,-14.032944662639231,-15.730436352175019,-19.222378672924997,-24.334806319192538,-20.2312417894385,-13.676311316106982,-8.743479572801938,-3.6157735392456765,1.471022686050727,6.563635397786854,11.324958126692474,15.778959224183378
1512898,1514307,83.07595220451807,83.3008706044387,83.4074078050749,83.43808296490592,83.37931887651973,82.92801989716816,81.22897500932262,79.8434789388585,80.05566808601726,80.15210564606517,79.49324974802985,78.76098404619704,78.39529361962298,78.15279480683215,77.65394590386786,76.9235990972582,77.50982260150879,78.44624124055615,79.15093148959973,79.8834609229649,80.61014609800725,81.33766219968383,82.01785116095607,82.6541370320262
