u,v,diff_hour_00_jun,diff_hour_01_jun,diff_hour_02_jun,diff_hour_03_jun,diff_hour_04_jun,diff_hour_05_jun,diff_hour_06_jun,diff_hour_07_jun,diff_hour_08_jun,diff_hour_09_jun,diff_hour_10_jun,diff_hour_11_jun,diff_hour_12_jun,diff_hour_13_jun,diff_hour_14_jun,diff_hour_15_jun,diff_hour_16_jun,diff_hour_17_jun,diff_hour_18_jun,diff_hour_19_jun,diff_hour_20_jun,diff_hour_21_jun,diff_hour_22_jun,diff_hour_23_jun
794436,735703,226.96328623395007,227.8775649245365,228.31063172712263,228.4353242599422,228.19645205650227,226.36195101056666,219.45544386906468,213.82349230990525,214.6860274145896,215.07803983400515,212.3998333913421,209.42322086311262,207.9367130252206,206.95097109790206,204.92318270013814,201.95437035638724,204.33733083470452,208.1438117960269,211.00833189928196,213.98601647906509,216.9399445282632,219.89725024027322,222.6621741997305,225.2486349483662
794436,1394577,135.3651018895869,135.55788908951885,135.64920669006418,135.67549968420505,135.6251304655883,135.23830276900125,133.78197857941936,132.59441051902155,132.77628693087192,132.85894769662727,132.29421406973987,131.66655775388315,131.35310881681966,131.1452526915704,130.717667917601,130.09165636907844,130.59413365843608,131.39677820619096,132.0007984196569,132.62868079111274,133.2515537982919,133.8751390283004,134.45815813796233,135.003546027451
794436,1613461,49.46067331333907,50.447977458445195,50.91563426123786,51.05028626153506,50.79233480861907,48.81130812003684,41.35316302793568,35.27137508226192,36.20280276719264,36.626126082727616,33.734005387455724,30.51964425473504,28.914405758864444,27.84993045076964,25.66017812347188,22.4542401931594,25.027532978051543,29.13804596503865,32.23136160369748,35.44688041509268,38.636745209434395,41.8302574479628,44.816021979261684,47.60906904967342
794436,1337200,103.88826417190191,105.33416817139164,106.01905017548148,106.21624763153802,105.83847849191255,102.93727076750959,92.01483934564546,83.1080788926617,84.47215198153951,85.09210772470466,80.85660552304907,76.14918315412382,73.79831612614764,72.23939518677804,69.03250938200765,64.33742276808849,68.10600243827076,74.12583654643235,78.65598814742678,83.3651059333458,88.03665348718943,92.71354271225323,97.08618603471757,101.17659520588268
794436,492484,76.55478308463856,77.14774977533838,77.42862057701564,77.50949145293377,77.35456794718837,76.16477972889787,71.68547957003237,68.032808111536,68.5922158631364,68.84646033962635,67.10947660844234,65.178957939974,64.21486499718782,63.57554994528472,62.2604028374698,60.334943074589816,61.8804414039777,64.34918145237528,66.2070011998538,68.13821516054382,70.05402153111001,71.97201852643919,73.76524396979326,75.4427249026145
1394577,1492778,71.63046953416524,72.23219927940742,72.51722088110947,72.59928689312491,72.4420738774424,71.23470258203429,66.6892058690969,62.98255404421881,63.55022890544877,63.80823068947305,62.04557724797598,60.086528746968696,59.10818812522508,58.459425067628835,57.124842288269846,55.17092745500248,56.739265661179346,59.244489552656695,61.12976476438367,63.08951883286714,65.03363761285055,66.97997939136195,68.79970570333701,70.50197699477138
1394577,1337200,17.251505776549052,17.377109558322907,17.43660435867819,17.453734642739665,17.420918333640888,17.16889422828871,16.22007695325809,15.446358368453438,15.564853606477168,15.618708347802626,15.250775833315373,14.841848233590552,14.63763150186737,14.502210086932232,14.223632128133996,13.815776119248088,14.143147686556851,14.666082770700182,15.059611091594649,15.468685969967412,15.874497171614435,16.280772397226038,16.660618180793644,17.015946654248392
1492778,1757353,158.26523476708257,158.56609963970368,158.7086104405547,158.74964344656243,158.67103693872116,158.0673512910171,155.7946029345484,153.94127702210938,154.22511445272434,154.3541153447365,153.47278862398795,152.49326437348432,152.0040940626125,151.67971253381438,151.0124211441349,150.0354637275012,150.81963283058963,152.07224477632832,153.01488238219181,153.99475941643354,154.96681880642524,155.93998969568094,156.84985285166846,157.70098849738565
1492778,1337200,65.47621795950948,65.91729170480836,66.12621530605597,66.1863704896207,66.07113182278545,65.1861169411999,61.854223719580745,59.13721194503418,59.55332312972216,59.74244094228365,58.450398856526085,57.01439728539939,56.297264111208676,55.82171449132017,54.84345235693567,53.41121381410376,54.560820945815934,56.39717438083088,57.77909941466959,59.2156181736065,60.64067611427395,62.06736353444493,63.401240588368395,64.64902197189554
1492778,344649,63.32745798106713,63.67798016276161,63.844012163753085,63.891817607645585,63.80023721016062,63.09691412545687,60.44905196258072,58.28983730731193,58.62052169249443,58.7708139938678,57.74402558134523,56.60283227978759,56.03292512149034,55.65500489376437,54.87757803200185,53.739375216506296,54.65297028806564,56.11232401125633,57.210542581194375,58.35214689293231,59.48464326962168,60.61843459690987,61.67846934174971,62.67008368627459
