u,v,diff_hour_00_sep,diff_hour_01_sep,diff_hour_02_sep,diff_hour_03_sep,diff_hour_04_sep,diff_hour_05_sep,diff_hour_06_sep,diff_hour_07_sep,diff_hour_08_sep,diff_hour_09_sep,diff_hour_10_sep,diff_hour_11_sep,diff_hour_12_sep,diff_hour_13_sep,diff_hour_14_sep,diff_hour_15_sep,diff_hour_16_sep,diff_hour_17_sep,diff_hour_18_sep,diff_hour_19_sep,diff_hour_20_sep,diff_hour_21_sep,diff_hour_22_sep,diff_hour_23_sep
794436,735703,227.10916753679,227.97086790012227,228.37902990255967,228.49655161879537,228.27141647497817,226.5424138917481,220.03308607467758,214.72501671380846,215.53794916071544,215.90741773492496,213.3832295541403,210.57779602114448,209.17677425699705,208.2477203638374,206.33654599533787,203.53846407391129,205.7843852914947,209.37196319433843,212.0717505121028,214.87819444512525,217.66224803781995,220.44948505073674,223.05540379846803,225.49312239542502
794436,1394577,135.39751995688465,135.57862308409346,135.66440628460575,135.6891057639502,135.64178922524962,135.27840563148604,133.910343514,132.79474927544447,132.96560287445544,133.0432538968317,132.51274655036167,131.92313001122358,131.62867797943665,131.43341919511158,131.0317486498676,130.4436771951949,130.91570131550057,131.66970073914908,132.2371136669504,132.82694256134835,133.4120656893045,133.99785787507008,134.54554249323732,135.05787657124185
794436,1613461,49.62276364982789,50.55164743131826,50.99163223394568,51.11831666026079,50.87562860692563,49.0118224324607,41.99498770083889,36.2730688643766,37.14938248511023,37.547657083749655,34.826667790564855,31.80250554143711,30.292251571949386,29.290762968475576,27.230581784804905,24.21434432374168,26.635371263373937,30.502658629829263,33.41293784016508,36.438189266270626,39.43930466449745,42.443851681811154,45.252943755636736,47.88072176862766
794436,1337200,104.12329515981068,105.48448963205757,106.12924723590783,106.31489170969034,105.95925449945706,103.22801652052418,92.94548512135512,84.56053487672798,85.84469257252003,86.4283276761866,82.44096600755731,78.0093320198418,75.7961925551208,74.32860233745164,71.30959469094053,66.88957375743279,70.43736795198822,76.10452491037873,80.36927369030481,84.80250376755382,89.20036469703086,93.60325435133333,97.71972261046139,101.57049164836633
794436,492484,76.70066438747848,77.24105275092414,77.49701875245268,77.57071881178693,77.42953236566427,76.34524261007934,72.26312177564526,68.93433251543921,69.44413760926224,69.67583824054617,68.09287277124055,66.33353309800586,65.45492622896427,64.87229921122007,63.67376613266951,61.91903679211387,63.327495860767854,65.57733285068683,67.27041981267465,69.03039312660398,70.77632504066675,72.52425333690272,74.1584735685308,75.68721234967332
1394577,1492778,71.7034101855852,72.27885076720031,72.55141996882799,72.6299005725515,72.47955608668035,71.32493402262503,66.97802697190335,63.43331624617041,63.97618977851169,64.22291963993297,62.537275329375085,60.66381632598463,59.7282187411133,59.10779970059651,57.83152393586971,55.962974313764505,57.46279288957442,59.85856525181247,61.66147407079409,63.535607815897215,65.39478936762893,67.25609679659371,68.99632050270579,70.62422071830079
1394577,1337200,17.267714810197933,17.387476555610213,17.44420415594897,17.46053768261224,17.429247713471543,17.188945659531097,16.28425942054841,15.546527746664907,15.659511578268928,15.71086144790483,15.360042073626285,14.970134362260758,14.775416083175863,14.646293338702826,14.380672494267298,13.991786532306318,14.303931515089092,14.802544037179244,15.17776871524141,15.567816855085207,15.95475311712074,16.34213182061087,16.70431035843115,17.043111926143816
1492778,1757353,158.3057573512048,158.59201713292194,158.72760993373166,158.76665104624385,158.6918603882978,158.1174798691231,155.95505910277421,154.19170046763804,154.46175938220375,154.584498094992,153.74595422476523,152.81397969515984,152.34855551588373,152.03992066324088,151.40502205946814,150.4754897601468,151.22159240192025,152.41339794252596,153.3102764413087,154.24258662922801,155.167458670191,156.09338825414304,156.95908329576224,157.7689016771242
1492778,1337200,65.52484506045612,65.94839269667028,66.14901469786832,66.20677960923842,66.09611996227741,65.24627123492705,62.046771121451705,59.43772007966858,59.837297045097436,60.018900242590256,58.778197577458826,57.39925567141001,56.71061785513416,56.25396424663195,55.31457345533558,53.93924505327845,55.04317243141265,56.80655818026807,58.13357228560987,59.513010828959885,60.88144395079287,62.25144180459944,63.53231712128091,64.7305177875818
1492778,344649,63.367980565189335,63.70389765597987,63.86301165693004,63.90882520732702,63.821060659737256,63.14704270356283,60.60950813080652,58.540260752840595,58.857166621973825,59.001196744123305,58.01719118212251,56.923547601463106,56.37738657476157,56.01521302319085,55.27017894733511,54.179401249151866,55.05492985939624,56.453477177453976,57.50593664031127,58.5999741057268,59.68528313338744,60.77183315537196,61.78769978584347,62.73799686601315
1492778,892553,58.719353464242694,59.07279666411796,59.240212265117705,59.2884160877093,59.196072520245295,58.48688840983568,55.81696072893556,53.639752618206195,53.97319270659855,54.1247374438167,53.089392461189775,51.93868921545249,51.364032830836095,50.98296326787908,50.199057848935205,49.05137000997719,49.97257837379952,51.4440933780168,52.551463769371,53.70258145037342,54.844515296868536,55.987754885217456,57.05662325293097,58.05650105032689
1613461,1405705,64.83542962039587,65.07495311122044,65.18840831189794,65.22107536522448,65.15849542694309,64.6778913190622,62.86851884109682,61.39305549332982,61.619023156537864,61.72172289580966,61.020084147252575,60.24026872452152,59.85083216635173,59.592586677405656,59.0613449885346,58.28357306461264,58.90786303017819,59.90508807435849,60.65553743048282,61.435633710170414,62.20950623424148,62.984263641221744,63.708620716862306,64.38622385228764
1613461,735703,120.35163865404475,120.58532010850774,120.69600810916873,120.72787840509706,120.66682480677375,120.19794275030458,118.43270130838715,116.99322487154129,117.21368112832963,117.31387599591187,116.62935038756349,115.86855485319172,115.48861674766023,115.23666992917624,114.7183853546679,113.95958347767086,114.56864685871042,115.54154934083755,116.27369505412958,117.03476459528821,117.78976217974778,118.54562306460659,119.25231289449981,119.91338912418306
1405705,1499351,72.1001328774957,72.20821055018482,72.25940375049053,72.27414376235738,72.24590647313285,72.02904852201586,71.21262435512905,70.54686650308784,70.64882752185244,70.69516764810923,70.3785745542481,70.02670661960117,69.85098524579284,69.73445984224401,69.4947532265339,69.14380735842276,69.42549917215356,69.87546657013736,70.21408396253493,70.56607862532078,70.91526500813335,71.26485066738054,71.59169471370615,71.89744246993466
