u,v,diff_hour_00_jul,diff_hour_01_jul,diff_hour_02_jul,diff_hour_03_jul,diff_hour_04_jul,diff_hour_05_jul,diff_hour_06_jul,diff_hour_07_jul,diff_hour_08_jul,diff_hour_09_jul,diff_hour_10_jul,diff_hour_11_jul,diff_hour_12_jul,diff_hour_13_jul,diff_hour_14_jul,diff_hour_15_jul,diff_hour_16_jul,diff_hour_17_jul,diff_hour_18_jul,diff_hour_19_jul,diff_hour_20_jul,diff_hour_21_jul,diff_hour_22_jul,diff_hour_23_jul
794436,735703,227.74131984909636,228.3751807943272,228.67542199612015,228.76187017382574,228.59626228837377,227.32441971020114,222.5362022990001,218.6316224640557,219.22961006059407,219.5013886389109,217.64461292626592,215.58095503928254,214.55037292802834,213.86696718289053,212.46112027453665,210.4028701831822,212.054954604252,214.69395258702184,216.67989783432645,218.74429896471923,220.79222991256586,222.84250256274532,224.75939872633072,226.55256799934654
794436,1394577,135.60013287749567,135.70821055018482,135.75940375049052,135.77414376235737,135.74590647313283,135.52904852201584,134.71262435512904,134.0468665030878,134.14882752185244,134.19516764810922,133.8785745542481,133.52670661960116,133.35098524579283,133.23445984224398,132.99475322653387,132.64380735842275,132.92549917215354,133.37546657013735,133.71408396253491,134.06607862532078,134.41526500813333,134.76485066738053,135.09169471370615,135.39744246993465
794436,1613461,50.303543063080895,50.98706131738513,51.31082371931851,51.40404433490888,51.225462559813195,49.853982544640886,44.69065132703239,40.48018274925825,41.12501730036413,41.418087288042194,39.41584988362319,37.1905229455858,36.07920398690615,35.342259542840516,33.826277162403606,31.60678167218727,33.38829206172799,36.23403182194983,38.375558033329014,40.60168644121801,42.81005437576227,45.020947463974245,47.08801521641193,49.02166318823544
794436,1337200,105.12015072921687,106.12205996522692,106.59663476806091,106.73327866185362,106.47151135904244,104.46117954193089,96.89270685970988,90.72095163673325,91.66615783771323,92.09574333247211,89.16083978667844,85.89892893305952,84.26994430559321,83.18972232134315,80.96757720813864,77.71421416051383,80.32557340672095,84.496892798841,87.63596754458058,90.8990532022982,94.13610534566864,97.37685888950071,100.40679153516793,103.24115586993487
794436,492484,77.0815766782272,77.48467718717585,77.67561398831604,77.73059024879241,77.62527279168471,76.81645124427538,73.77140975696781,71.28831290340871,71.66859994636859,71.84143609294796,70.660629418547,69.34825712175572,68.69286388971388,68.25825562782902,67.36421473680213,66.05528149898223,67.10591583127547,68.78417261294477,70.04712396837351,71.35996892687216,72.66233976006492,73.96619978644634,75.18523974301216,76.32559623921577
1394577,1492778,72.06811344268503,72.5121082061647,72.72241540742058,72.7829689696844,72.66696713287011,71.7760912255787,68.42213248593558,65.68712725592844,66.10599414382628,66.29636439223255,64.99576573637063,63.55025422106428,62.82837182055442,62.34967286543487,61.364932173869015,59.923208607574644,61.08042903154981,62.92894374759135,64.3200206028462,65.7660527310476,67.2005481415208,68.6366838227525,69.97939449954964,71.23543933594782
1394577,1337200,17.405491596213423,17.47559603255232,17.508802432750617,17.518363521529114,17.500047442032123,17.359382825091373,16.82981039251614,16.397967461462382,16.464104338498885,16.49416279877356,16.288805116269042,16.060566455957517,15.946585024298066,15.871000978752873,15.71551560640037,15.487875043301258,15.670594057613126,15.962464802251263,16.182108516238873,16.41042937858646,16.636928653924336,16.863686919381973,17.07569386834994,17.274016737254918
1492778,1757353,158.4678476876936,158.695687105795,158.80360790643948,158.8346814449696,158.77515418660437,158.31799418154694,156.59688377567744,155.1933942497527,155.40833910012134,155.50602909601403,154.83861662787436,154.0968409818619,153.72640132896868,153.4807531809468,152.97542572080118,152.23559389072906,152.82943068724262,153.7780106073166,154.4918526777763,155.23389548040598,155.97001812525406,156.70698248799138,157.39600507213729,158.04055439607845
1492778,1337200,65.76798056518933,66.10389765597988,66.26301165693005,66.30882520732702,66.22106065973726,65.54704270356284,63.00950813080652,60.9402607528406,61.25716662197383,61.40119674412331,60.417191182122515,59.32354760146311,58.77738657476158,58.41521302319086,57.67017894733512,56.57940124915187,57.454929859396245,58.85347717745398,59.905936640311275,60.99997410572681,62.08528313338745,63.171833155371964,64.18769978584348,65.13799686601315
1492778,344649,63.562488968975906,63.82830162342755,63.95420922417942,63.9904616857979,63.92101321770513,63.38765987847146,61.379697738290375,59.74229329137821,59.99306228347494,60.10703394534974,59.328386065853465,58.46298114550559,58.0308015504635,57.74421204443798,57.15466334093474,56.29152620585061,56.98433580178311,58.091012375202716,58.9238281240724,59.78954472714034,60.64835447946311,61.50814623598998,62.31200591749353,63.06398012875823
