u,v,diff_hour_00_aug,diff_hour_01_aug,diff_hour_02_aug,diff_hour_03_aug,diff_hour_04_aug,diff_hour_05_aug,diff_hour_06_aug,diff_hour_07_aug,diff_hour_08_aug,diff_hour_09_aug,diff_hour_10_aug,diff_hour_11_aug,diff_hour_12_aug,diff_hour_13_aug,diff_hour_14_aug,diff_hour_15_aug,diff_hour_16_aug,diff_hour_17_aug,diff_hour_18_aug,diff_hour_19_aug,diff_hour_20_aug,diff_hour_21_aug,diff_hour_22_aug,diff_hour_23_aug
794436,735703,227.25504883962992,228.06417087570802,228.44742807799668,228.55777897764852,228.34638089345407,226.7228767729296,220.61072828029046,215.62654111771167,216.38987090684128,216.7367956358448,214.36662571693856,211.73237117917634,210.4168354887735,209.54446962977272,207.74990929053757,205.12255779143536,207.23143974828483,210.60011459265,213.13516912492366,215.7703724111854,218.3845515473767,221.00171986120026,223.44863339720555,225.73760984248383
794436,1394577,135.4461470578313,135.6097240759554,135.68720567641807,135.70951488356792,135.6667773647416,135.3385599252132,134.10289091587097,133.0952574100789,133.2495767898307,133.31971319713827,132.84054527129442,132.3079883972342,132.04203172336213,131.86566895042336,131.5028697482675,130.9717084343696,131.39805280109726,132.07908453858627,132.5915865378907,133.12433521670172,133.65283352582344,134.1819361452246,134.67661902614984,135.13937238692813
794436,1613461,49.77674946949226,50.65013390554767,51.063830308018105,51.18294553905024,50.954757715316866,49.20231102926336,42.60472114009695,37.22467795738554,38.04863321713194,38.42311153472058,35.86469707351852,33.02122376380407,31.60120509438008,30.659553860296217,28.72246526307128,25.88644324779485,28.16281763443021,31.799040661380342,34.5354352648093,37.37993267488968,40.20173614680735,43.02676620396709,45.66801944319303,48.13879185163418
794436,1337200,104.35022163089502,105.62962759407988,106.23564439769876,106.41013426790637,106.07586581708625,103.50873655791757,93.84403966341962,85.96290617168853,87.16990417760466,87.71847107761745,83.97069337191009,79.80533782122471,77.72517669343972,76.34576786223995,73.50815981680677,69.353719540248,72.68834155143958,78.0149826410856,82.02348042135945,86.19033615920294,90.32394793411913,94.46228627872104,98.33141309738645,101.95080545490225
794436,492484,76.78170955572288,77.29288773736067,77.53501773880657,77.6047340111498,77.47117926481756,76.44549976629126,72.58403411209687,69.43517940649654,69.91742746822104,70.1366037410572,68.63920397279512,66.9749637413569,66.14384913550673,65.59271547007303,64.45896796333602,62.79908885740501,64.13141500342905,66.25963918308213,67.86120793090845,69.52604755219295,71.17760476819828,72.83105045382689,74.37693445671832,75.82303870915044
1394577,1492778,71.84118697160069,72.36697024414241,72.61601824562963,72.68772641146838,72.55035581524093,71.4953711881853,67.52357794387108,64.28475596096789,64.78078253874165,65.0062209908017,63.46603837201784,61.75424841968139,60.899387682235506,60.33250734064656,59.16636704800278,57.45906282475944,58.829455432098456,61.018486016884495,62.665813871791556,64.37822033939847,66.07696490443251,67.77765189536481,69.36770401262457,70.85512552941188
1394577,1337200,17.300132877495695,17.40821055018483,17.459403750490534,17.474143762357386,17.445906473132855,17.229048522015866,16.412624355129054,15.746866503087842,15.848827521852447,15.895167648109236,15.57857455424811,15.226706619601172,15.050985245792852,14.934459842244014,14.694753226533903,14.343807358422774,14.625499172153571,15.075466570137365,15.41408396253493,15.766078625320796,16.11526500813335,16.464850667380542,16.79169471370616,17.097442469934663
1492778,1757353,158.35438445215144,158.62311812478387,158.750409325544,158.7870601658616,158.71684852778978,158.17763416285024,156.14760650464518,154.49220860227246,154.74573329757902,154.8609573952986,154.07375294569798,153.19883808117046,152.76190925980922,152.47217041855265,151.87614315786806,151.00352099932147,151.70394388751697,152.82278174196315,153.66474931224897,154.53997928458142,155.40822650670992,156.27746652429752,157.09015982867476,157.8503974928105
1492778,1337200,65.60589022870053,66.00022768310681,66.18701368422222,66.24079480860128,66.1377668614307,65.34652839113899,62.36768345790331,59.93856697072592,60.31058690405624,60.47966574310128,59.324528779013384,58.04068631476105,57.39954076167663,56.97438050548492,56.09977528600209,54.819297118569594,55.84709157407385,57.48886451266337,58.724360403843676,60.00866525454886,61.282723678324395,62.55823892152361,63.75077800946843,64.86634414705892
1492778,344649,63.43281669978486,63.7453656451291,63.89341084601317,63.93603736681731,63.854378179059886,63.22724842853238,60.86623799996781,58.94093826568647,59.235798509140864,59.36980914453212,58.45425614336616,57.43669211614393,56.92852489999555,56.59154603027323,55.89834041186832,54.88344290138478,55.698065173525194,56.99932224337022,57.97856713489831,58.99649764619798,60.006306915412665,61.0172708489113,61.96246849639349,62.84665795359484
1492778,892553,58.78418959883822,59.114264653267185,59.27061145420083,59.3156282471996,59.22939003956792,58.567094134805224,56.073690598096846,54.04043013105207,54.35182459376559,54.49334984422551,53.52645742243343,52.451833730133316,51.91517115607007,51.559296274961454,50.82721931346842,49.7554116622101,50.61571368792848,51.98993844393305,53.02409426395804,54.0991049908446,55.16553907889376,56.2331925787568,57.23139196348099,58.165162137908574
1613461,1405705,64.80301155309812,65.05421911664583,65.17320871735639,65.20746928547933,65.14183666728178,64.63778845657743,62.740153906516184,61.19271673690688,61.42970721295434,61.53741669560525,60.80155166663075,59.983696467181105,59.57526300373474,59.304420173864465,58.747264256268,57.93155223849618,58.58629537311371,59.63216554140037,60.419222183189305,61.237371939934825,62.04899434322887,62.86154479445208,63.62123636158729,64.33189330849679
1613461,735703,120.40837027181584,120.62160459901331,120.72260739961646,120.75168904465106,120.69597763618104,120.26812275965293,118.65733994390327,117.34381769528142,117.54498402960078,117.63641184626958,117.01178222865168,116.31755630353746,115.97086278223996,115.74096131037332,115.26802663613446,114.57561992337466,115.13139025857326,116.01916377351426,116.68724673689324,117.38172269320049,118.07065798901986,118.7603810464535,119.40523551623107,120.00846757581705
1405705,1499351,72.124446427969,72.22376104611578,72.2708034463967,72.28434832216624,72.25840054287883,72.05912566887943,71.30889805606454,70.69712057040503,70.79081447954007,70.83339729826254,70.54247391471448,70.21913581260648,70.05766211775558,69.9505847198999,69.73031377573385,69.4078229780101,69.66667491495193,70.08015846985595,70.39132039800506,70.71477495299749,71.0356489263928,71.35688980245779,71.6572329801624,71.93819037777779
1499351,1499032,49.614526255507755,50.43825338248978,50.82842858481976,50.940771377967124,50.725557443877456,49.072748194823646,42.85027211206469,37.77611767218303,38.55322597736191,38.90641288558932,36.49346011616129,33.81165585750084,32.4723740355023,31.584261500346276,29.75730837520436,27.082531758789802,29.229480176954254,32.65896142645237,35.239775065806775,37.92254519839094,40.58391168361095,43.248321302738205,45.73940295311183,48.06969666274529
1499351,1543821,58.846279935327026,59.11793462614025,59.24660942690865,59.28365864592533,59.21268383787448,58.66760844722908,56.615515271000056,54.942123913166746,55.198404311683184,55.314880845247544,54.51911982554255,53.63469501683539,53.19301696915501,52.90012879266739,52.29762297480144,51.415515792792384,52.12355197325087,53.25455110872366,54.10567050042564,54.99041384202255,55.868098533956804,56.74678681260515,57.56831373985603,58.33681485686281
1499351,1512898,57.88693539694493,58.25206266954334,58.42501267057614,58.47481000796415,58.37941376058398,57.64678554735091,54.88859579435491,52.639413861783254,52.98387676301503,53.14043124361229,52.070859980567946,50.88211695811208,50.2884636682191,49.89479676433788,49.0849771166686,47.89934918386073,48.85101071673504,50.37117084505867,51.51514852207747,52.70431968013783,53.88400340585592,55.065036038447786,56.16923889765595,57.202170506536035
1499032,1512898,0.8308681666523383,1.7568309299619222,2.1954321325810797,2.321718180197088,2.079793296840972,0.22184814808190279,-6.772921065515932,-12.476846446517659,-11.60328852899388,-11.206266366199234,-13.918699089279682,-16.933351394227774,-18.438856137396357,-19.437195405639116,-21.490898032128435,-24.497650469729194,-22.084236822359934,-18.229110736931197,-15.32798334801153,-12.312245291170463,-9.320567362749387,-6.325468606496415,-3.5252101555445017,-0.9056955954246191
1499032,1543821,19.1044732055508,20.544535168678955,21.22664997275228,21.423050671410614,21.046807871743216,18.157322198751984,7.27902181293579,-1.5917517291268304,-0.2331900466687138,0.3842608248068693,-3.8341282366400087,-8.52253071720597,-10.863899292543856,-12.416521561451368,-15.610450251859042,-20.286566818853288,-16.533213733196995,-10.537702187088577,-6.025854228926448,-1.3357631815363966,3.3169094326957484,7.974902135638068,12.329878212355082,16.403760477778118
