u,v,diff_hour_00_jan,diff_hour_01_jan,diff_hour_02_jan,diff_hour_03_jan,diff_hour_04_jan,diff_hour_05_jan,diff_hour_06_jan,diff_hour_07_jan,diff_hour_08_jan,diff_hour_09_jan,diff_hour_10_jan,diff_hour_11_jan,diff_hour_12_jan,diff_hour_13_jan,diff_hour_14_jan,diff_hour_15_jan,diff_hour_16_jan,diff_hour_17_jan,diff_hour_18_jan,diff_hour_19_jan,diff_hour_20_jan,diff_hour_21_jan,diff_hour_22_jan,diff_hour_23_jan
794436,735703,226.76067331333905,227.74797745844518,228.21563426123785,228.35028626153505,228.09233480861906,226.11130812003682,218.65316302793568,212.5713750822619,213.5028027671926,213.9261260827276,211.0340053874557,207.819644254735,206.21440575886442,205.14993045076963,202.96017812347185,199.75424019315938,202.32753297805152,206.43804596503864,209.53136160369746,212.74688041509268,215.93674520943438,219.13025744796278,222.11602197926166,224.9090690496734
794436,1394577,135.33268382228914,135.53715509494424,135.6340070955226,135.6618936044599,135.608471705927,135.1981999065165,133.65361364483874,132.3940717625986,132.5869709872884,132.67464149642285,132.07568158911803,131.40998549654273,131.07753965420267,130.8570861880292,130.4035871853344,129.739635542962,130.27256600137162,131.12385567323284,131.76448317236336,132.43041902087717,133.0910419072793,133.75242018153074,134.3707737826873,134.94921548366017
794436,1613461,49.24185135907918,50.30802299506656,50.8130369980823,50.95844522325531,50.67988818090521,48.54061379826464,40.486699719516345,33.9190884764071,34.92492014800388,35.382059231347874,32.2589111432584,28.78778151768725,27.054313911199767,25.904806551866624,23.5401331806723,20.078099616873317,22.856951292866313,27.295818867571324,30.63623368446621,34.10861346600245,37.55328994509927,41.001905232267525,44.226177581155376,47.242337879085206
794436,1337200,103.56408349892429,105.12682822564551,105.86705423006585,106.08018683408656,105.67189089529943,102.53624214266188,90.73118999983903,81.10469132843234,82.57899254570432,83.24904572266058,78.67128071683081,73.58346058071967,71.04262449997775,69.35773015136616,65.8917020593416,60.81721450692391,64.89032586762598,71.39661121685113,76.29283567449157,81.3824882309899,86.43153457706333,91.48635424455651,96.21234248196747,100.63328976797422
794436,492484,76.36837919767642,77.02852930653435,77.34122290840165,77.43125649439918,77.25878007913582,75.93418826961043,70.94738119619367,66.88086026210412,67.50364918753117,67.78669968845101,65.85291484486685,63.70366746026662,62.63034231214013,61.91859254992289,60.45443862693682,58.310823324420184,60.03142737585695,62.779876887866074,64.84818852791607,66.99820998168919,69.1310781577875,71.26638515751358,73.26278392696196,75.13032427581713
1394577,1492778,71.45217016402755,72.11816230924705,72.43362311113087,72.52445345452661,72.35045069930517,71.01413683836806,65.98319872890336,61.88069088389266,62.508991215739414,62.79454658834881,60.84364860455594,58.67538133159643,57.59255773083164,56.874509298152304,55.39739826080353,53.23481291136197,54.97064354732471,57.74341562138702,59.83003090426931,61.9990790965714,64.1508222122812,66.30502573412876,68.31909174932446,70.20315900392173
1394577,1337200,17.227192226075733,17.361559062391947,17.425204662772014,17.443530082930806,17.4084242638949,17.13881708142513,16.123803252322606,15.296104301136236,15.42286664878953,15.480478697649321,15.086876472849003,14.649419040585242,14.430954629904628,14.28608520927634,13.988071578934044,13.551760499660746,13.901971943758493,14.46139087098159,14.882374656124508,15.31998964229072,15.754113253354976,16.188733262148784,16.59507991433739,16.97519874640526
1492778,1757353,158.21660766613596,158.53499864784177,158.68581104874235,158.72923432694472,158.6460487992292,158.00719699728995,155.60205553267744,153.64076888747496,153.94114053734907,154.0776560444299,153.1449899030552,152.1084059874737,151.590740318687,151.2474627785026,150.541300045735,149.50743248832651,150.33728134499293,151.66286097689112,152.66040951125152,153.69736676108016,154.72605096990634,155.75591142552645,156.71877631875597,157.6194926816994
1492778,1337200,65.40327730808951,65.87064021701548,66.09201621833746,66.15575681019412,66.0336496135475,65.09588550060917,61.56540261677429,58.686449743082576,59.12736225665924,59.32775199182373,57.95870077512698,56.43710970638346,55.67723349532045,55.1733398583525,54.136770709335806,52.61916695534174,53.837293717420856,55.783098681675106,57.24739010825917,58.76952919057643,60.27952435949558,61.79124612921317,63.20462578899962,64.52677824836613
1492778,344649,63.27072636329604,63.641695672256034,63.81741287330535,63.86800696809158,63.77108438075332,63.02673411610852,60.22441332706459,57.939244483571784,58.28921879122327,58.44827814351008,57.361593740257035,56.153830829441866,55.550679086910606,55.15071351256729,54.327936750535294,53.1233387708025,54.0902268882028,55.63470957857961,56.79699089843071,58.00518879502003,59.20374746034961,60.40367661506295,61.52554672001845,62.57500523464061
1492778,892553,58.61399474552496,59.00541118175047,59.19081358285762,59.244196328537576,59.141931551346026,58.35655410676018,55.39977469154847,52.98865165983165,53.35791588995212,53.525742293152376,52.37916189916884,51.104829379096145,50.46843305233088,50.04642213137022,49.17829546906874,47.907302325098705,48.927483488339966,50.557095145902906,51.78343921566705,53.05823069710776,54.32285165107755,55.588918633216025,56.77262409828718,57.87992678300663
1613461,1405705,64.77059348580035,65.03348512207121,65.15800912281482,65.19386320573419,65.12517790762047,64.59768559409265,62.61178897193554,60.992377980483944,61.240391269370825,61.35311049540085,60.583019186008926,59.727124209840696,59.29969384111775,59.01625367032328,58.43318352400139,57.57953141237972,58.26472771604923,59.35924300844225,60.18290693589578,61.039110169699235,61.88848245221626,62.73882594768241,63.53385200631229,64.27756276470595
