u,v,diff_hour_00_apr,diff_hour_01_apr,diff_hour_02_apr,diff_hour_03_apr,diff_hour_04_apr,diff_hour_05_apr,diff_hour_06_apr,diff_hour_07_apr,diff_hour_08_apr,diff_hour_09_apr,diff_hour_10_apr,diff_hour_11_apr,diff_hour_12_apr,diff_hour_13_apr,diff_hour_14_apr,diff_hour_15_apr,diff_hour_16_apr,diff_hour_17_apr,diff_hour_18_apr,diff_hour_19_apr,diff_hour_20_apr,diff_hour_21_apr,diff_hour_22_apr,diff_hour_23_apr
794436,735703,226.78498686381238,227.76352795437614,228.22703395714402,228.3604908213439,228.10482887836503,226.14138526690041,218.74943672887116,212.7216291495791,213.64478972488024,214.0643557328809,211.19790474792208,208.01207344774033,206.42108263082716,205.36605532842552,203.1957386726718,200.01825581274673,202.56870872084988,206.64273786475724,209.7085980391676,212.89557674276935,216.05712912769383,219.22229658304005,222.18156024571792,224.94981695751653
794436,1394577,135.348892855938,135.54752209223156,135.6416068927934,135.66869664433247,135.61680108575766,135.21825133775886,133.71779611212907,132.49424114081006,132.68162895908014,132.76679459652507,132.18494782942895,131.53827162521296,131.21532423551116,131.00116943979978,130.5606275514677,129.91564595602023,130.43334982990385,131.26031693971188,131.88264079601012,132.52954990599497,133.17129785278559,133.81377960491557,134.4144659603248,134.97638075555557
794436,1613461,49.27426942637694,50.32875698964117,50.82823659262387,50.972051303000455,50.69654694056652,48.58071666074941,40.61506465409698,34.119427232830034,35.1142360915874,35.566365431552285,32.47744362388022,29.044353775027666,27.329883073816756,26.192973055407812,23.854213912938903,20.43012044298977,23.17851894993079,27.568741400529447,30.87254893175973,34.30687523623804,37.713801836111884,41.12462407903719,44.31356193643038,47.29666842287605
794436,1337200,103.61271059987092,105.15792921750743,105.8898536218782,106.10059595370429,105.6968790347914,102.59639643638903,90.92373740171,81.40519946306674,82.86296646107961,83.5255050229672,78.99907943776356,73.9683189667303,71.45597824390323,69.78997990667793,66.3628231577415,61.34524574609859,65.37267735322268,71.8059950162883,76.64730854543186,81.67988088634328,86.67230241358224,91.67043251471102,96.34341901487998,100.71478558366049
794436,492484,76.42511081544751,77.06481379703993,77.36782219884938,77.45506713395318,77.28793290854313,76.00436827895878,71.1720198317098,67.23145308584425,67.83495208880232,68.10923553880872,66.23534668595504,64.15266891061235,63.11258834671986,62.42288393111997,61.00407990840337,58.92685977012398,60.59417077571978,63.25749132054279,65.26174021067972,67.34516807960146,69.41197396705957,71.48114313936051,73.41570654869322,75.22540272745113
1394577,1492778,71.50890178179863,72.15444679975263,72.4602224015786,72.54826409408062,72.37960352871248,71.08431684771641,66.20783736441949,62.2312837076328,62.84029411701057,63.117082438706525,61.22608044564413,59.124382781942145,58.074803765411374,57.37880067934938,55.947039542270076,53.85084935706577,55.53338694718755,58.22103005406374,60.24358258703297,62.34603719448368,64.43171802155327,66.51978371597568,68.47201437105572,70.29823745555571
1394577,1337200,17.23529674290017,17.3667425610356,17.429004561407407,17.446931602867092,17.412588953810232,17.148842797046324,16.155894485967767,15.34618899024197,15.470195634685409,15.526555247700422,15.141509593004459,14.713562104920346,14.499846920558875,14.358126835161638,14.066591762000694,13.63976570618986,13.982363858024613,14.529621504221122,14.941453467947888,15.369555084849617,15.794241226108129,16.2194129738412,16.61692600315614,16.98878138235297
1492778,1757353,158.19229411566263,158.5194481519108,158.6744113528362,158.71902976713585,158.63355472948322,157.9771198504264,155.50578183174198,153.49051482015776,153.79915357966144,153.93942639427658,152.98109054258884,151.91597679446838,151.38406344672427,151.03133790084672,150.30573949653504,149.2434168687392,150.09610560219457,151.45816907717253,152.4831730757814,153.54867043340346,154.60566705164686,155.66387229044918,156.6532380522997,157.57874477385624
1492778,1337200,65.37085924079175,65.84990622244086,66.07681662379589,66.14215073044898,66.01699085388618,65.0557826381244,61.437037682193655,58.48611098665964,58.93804631307572,59.14344579161933,57.74016829450515,56.180537449043044,55.40166433270346,54.885173354811315,53.8226899770692,52.26714612922528,53.51572606035638,55.51017614871699,57.01107486096565,58.57126742034084,60.11901246848297,61.6685272824435,63.117241433724615,64.47244770457527
1492778,344649,63.246412812822726,63.626145176325075,63.80601317739918,63.857802408282716,63.75859031100734,62.99665696924494,60.12813962612911,57.788990416254585,58.14723183353563,58.310048493356774,57.19769437979066,55.961401636436555,55.344002214947864,54.9345886349114,54.09237620133534,52.85932315121515,53.849051145404445,55.43001767886102,56.61975446296057,57.856492467343344,59.083363542090154,60.31163747998569,61.46000845356219,62.53425732679747
