u,v,diff_hour_00_dec,diff_hour_01_dec,diff_hour_02_dec,diff_hour_03_dec,diff_hour_04_dec,diff_hour_05_dec,diff_hour_06_dec,diff_hour_07_dec,diff_hour_08_dec,diff_hour_09_dec,diff_hour_10_dec,diff_hour_11_dec,diff_hour_12_dec,diff_hour_13_dec,diff_hour_14_dec,diff_hour_15_dec,diff_hour_16_dec,diff_hour_17_dec,diff_hour_18_dec,diff_hour_19_dec,diff_hour_20_dec,diff_hour_21_dec,diff_hour_22_dec,diff_hour_23_dec
794436,735703,232.99309138063686,233.96871145301984,234.43083385577944,234.56389234128022,234.3089935682804,232.35141098252166,224.98152796251634,218.97171383868488,219.89211871077617,220.31043228293206,217.45253786807757,214.27621651207548,212.68997492148145,211.63809695431087,209.47425885573853,206.3062610192759,208.84910063511606,212.9109684979968,215.967676850991,219.1451421853283,222.29725710044704,225.4529762947325,228.40340633453673,231.1633995934643
794436,1394577,138.8569973727625,139.05270559087523,139.14540679142883,139.1720981642688,139.12096577567303,138.72827705338008,137.24988734577425,136.04432582991583,136.22895794497606,136.31287114657619,135.73958094958442,135.10241468954808,134.78421652616544,134.57321106568511,134.13914773453436,133.50365116254935,134.01374174416998,134.82854757295146,135.44171960783353,136.07911534855387,136.71142582553878,137.344459316608,137.9363120491436,138.48996339150332
794436,1613461,50.682373943201384,51.73394048828482,52.23203649125926,52.375452822936744,52.10071163048185,49.990742376370605,42.04715588774214,35.56951192193577,36.56156507748328,37.01244198160338,33.93207674403568,30.508496839362767,28.798775364471002,27.66501468129311,25.332734096005552,21.918125649518885,24.65891086419691,29.036972033768976,32.33162774358311,35.756440678796935,39.15392980886504,42.55530379072961,45.735408025249136,48.710251058823765
794436,1337200,106.82891963351982,108.36829621479474,109.09745341914898,109.30739899357685,108.90520841462205,105.81644786763142,94.18791986900032,84.70536884127822,86.15762443287136,86.8176581230694,82.30834567807446,77.29660509540051,74.79376282521173,73.13406315844853,69.7198635238748,64.72125615915682,68.73346118175493,75.14245628276737,79.96546616907861,84.97901177146109,89.95255835908856,94.93179193809586,99.5871111925175,103.94195085555592
794436,492484,78.42511081544751,79.06481379703995,79.3678221988494,79.4550671339532,79.28793290854314,78.0043682789588,73.17201983170982,69.23145308584427,69.83495208880234,70.10923553880873,68.23534668595505,66.15266891061236,65.11258834671987,64.42288393111998,63.004079908403384,60.926859770124,62.594170775719796,65.25749132054281,67.26174021067973,69.34516807960148,71.41197396705957,73.48114313936053,75.41570654869324,77.22540272745114
1394577,1492778,74.07648371450087,74.73371280517802,75.04502280703703,75.13465801433546,74.96294476905115,73.64421398523163,68.67947242983884,64.63094495120986,65.25097817342704,65.53277623850211,63.6075479650223,61.46781052460173,60.39923460279438,59.69063417580819,58.23295881000347,56.098828530949305,57.81181929012307,60.54810752110561,62.607267339739444,64.74777542424809,66.87120613054064,68.997064869206,70.98463001578071,72.84390691176485
1394577,1337200,17.643401259724616,17.771926059679256,17.832804460042798,17.85033312280338,17.816753643725562,17.55886851266752,16.58798571961293,15.796273679347706,15.917524620581291,15.972631797751525,15.596142713159917,15.17770516925545,14.968739211213125,14.830168461046938,14.545111945067347,14.127770912718976,14.462755772290734,14.997852137460654,15.40053227977127,15.819120527408517,16.234369198861284,16.65009268553362,17.038772091974895,17.402364018300684
1492778,1757353,164.62745798106712,164.9779801627616,165.14401216375308,165.1918176076456,165.10023721016063,164.39691412545687,161.74905196258072,159.5898373073119,159.92052169249442,160.0708139938678,159.04402558134524,157.9028322797876,157.33292512149035,156.95500489376437,156.17757803200186,155.0393752165063,155.95297028806564,157.41232401125632,158.51054258119436,159.6521468929323,160.78464326962168,161.91843459690986,162.9784693417497,163.9700836862746
1492778,1337200,68.07360503889846,68.58770423871702,68.83121784017119,68.90133249121352,68.76701457490225,67.73547405067008,63.85194287845172,60.685094717390825,61.170098482325166,61.3905271910061,59.88457085263967,58.2108206770218,57.3749568448525,56.82067384418775,55.68044778026939,54.011083650875904,55.351023089162936,57.49140854984262,59.10212911908508,60.77648210963407,62.437476795445136,64.10037074213449,65.65508836789958,67.10945607320274
1492778,344649,65.2653676445783,65.67431018988854,65.86801419104526,65.92378720891985,65.81694341185406,64.99639981303301,61.9072272896775,59.388143525197236,59.77394197457683,59.94928299284575,58.75136317823609,57.419970993085514,56.755079308405385,56.31417237605842,55.40717437066883,54.079271085924006,55.14513200274324,56.84771134646571,58.12896634472676,59.46083804175436,60.78208381455862,62.10484036306151,63.34154756537466,64.49843096732035
