u,v,diff_hour_00_apr,diff_hour_01_apr,diff_hour_02_apr,diff_hour_03_apr,diff_hour_04_apr,diff_hour_05_apr,diff_hour_06_apr,diff_hour_07_apr,diff_hour_08_apr,diff_hour_09_apr,diff_hour_10_apr,diff_hour_11_apr,diff_hour_12_apr,diff_hour_13_apr,diff_hour_14_apr,diff_hour_15_apr,diff_hour_16_apr,diff_hour_17_apr,diff_hour_18_apr,diff_hour_19_apr,diff_hour_20_apr,diff_hour_21_apr,diff_hour_22_apr,diff_hour_23_apr
794436,735703,232.98498686381242,233.9635279543762,234.42703395714406,234.56049082134393,234.30482887836507,232.34138526690046,224.9494367288712,218.92162914957913,219.8447897248803,220.26435573288094,217.39790474792213,214.21207344774038,212.6210826308272,211.56605532842556,209.39573867267185,206.21825581274678,208.76870872084993,212.84273786475728,215.90859803916766,219.0955767427694,222.25712912769387,225.4222965830401,228.38156024571796,231.14981695751658
794436,1394577,138.84889285593803,139.0475220922316,139.14160689279342,139.1686966443325,139.1168010857577,138.7182513377589,137.2177961121291,135.9942411408101,136.18162895908017,136.2667945965251,135.68494782942898,135.03827162521299,134.7153242355112,134.5011694397998,134.06062755146772,133.41564595602023,133.93334982990388,134.7603169397119,135.38264079601015,136.029549905995,136.6712978527856,137.3137796049156,137.91446596032483,138.4763807555556
794436,1613461,50.67426942637694,51.72875698964117,52.228236592623865,52.372051303000454,52.09654694056652,49.98071666074941,42.01506465409699,35.51942723283004,36.5142360915874,36.966365431552276,33.877443623880225,30.444353775027665,28.729883073816755,27.59297305540781,25.2542139129389,21.83012044298977,24.57851894993079,28.968741400529446,32.27254893175973,35.70687523623804,39.11380183611188,42.524624079037196,45.71356193643038,48.69666842287605
794436,1337200,106.81271059987093,108.35792921750743,109.0898536218782,109.30059595370429,108.8968790347914,105.79639643638903,94.12373740171,84.60519946306674,86.06296646107961,86.7255050229672,82.19907943776354,77.16831896673031,74.65597824390323,72.98997990667795,69.5628231577415,64.5452457460986,68.5726773532227,75.00599501628831,79.84730854543186,84.87988088634329,89.87230241358225,94.87043251471103,99.54341901487999,103.91478558366049
794436,492484,78.42511081544751,79.06481379703995,79.3678221988494,79.4550671339532,79.28793290854314,78.0043682789588,73.17201983170982,69.23145308584427,69.83495208880234,70.10923553880873,68.23534668595505,66.15266891061236,65.11258834671987,64.42288393111998,63.004079908403384,60.926859770124,62.594170775719796,65.25749132054281,67.26174021067973,69.34516807960148,71.41197396705957,73.48114313936053,75.41570654869324,77.22540272745114
1394577,1492778,74.10890178179862,74.75444679975263,75.0602224015786,75.14826409408062,74.97960352871247,73.6843168477164,68.80783736441948,64.83128370763279,65.44029411701057,65.71708243870651,63.82608044564412,61.72438278194214,60.67480376541137,59.978800679349376,58.54703954227007,56.45084935706576,58.133386947187546,60.82103005406373,62.84358258703296,64.94603719448368,67.03171802155326,69.11978371597567,71.07201437105572,72.8982374555557
1394577,1337200,17.635296742900174,17.766742561035603,17.82900456140741,17.846931602867095,17.812588953810234,17.548842797046326,16.55589448596777,15.746188990241972,15.87019563468541,15.926555247700424,15.541509593004461,15.113562104920348,14.899846920558877,14.75812683516164,14.466591762000697,14.039765706189861,14.382363858024615,14.929621504221124,15.34145346794789,15.76955508484962,16.19424122610813,16.619412973841204,17.016926003156144,17.38878138235297
1492778,1757353,164.69229411566266,165.01944815191084,165.17441135283622,165.21902976713588,165.13355472948325,164.47711985042642,162.005781831742,159.99051482015778,160.29915357966146,160.4394263942766,159.48109054258887,158.4159767944684,157.8840634467243,157.53133790084675,156.80573949653507,155.74341686873922,156.5961056021946,157.95816907717256,158.98317307578142,160.0486704334035,161.1056670516469,162.1638722904492,163.15323805229974,164.07874477385627
1492778,1337200,68.17085924079174,68.64990622244086,68.87681662379589,68.94215073044897,68.81699085388618,67.8557826381244,64.23703768219364,61.28611098665964,61.73804631307572,61.943445791619325,60.54016829450515,58.98053744904304,58.20166433270346,57.68517335481131,56.6226899770692,55.06714612922528,56.315726060356376,58.310176148716984,59.81107486096565,61.371267420340835,62.91901246848297,64.46852728244349,65.91724143372461,67.27244770457527
1492778,344649,65.34641281282272,65.72614517632508,65.90601317739917,65.9578024082827,65.85859031100733,65.09665696924493,62.228139626129106,59.88899041625458,60.24723183353562,60.41004849335677,59.297694379790656,58.06140163643655,57.44400221494786,57.034588634911394,56.192376201335335,54.959323151215145,55.94905114540444,57.530017678861014,58.719754462960566,59.95649246734334,61.18336354209015,62.411637479985686,63.56000845356218,64.63425732679747
1492778,892553,61.08968119505165,61.48986068581951,61.679413886951444,61.733991768728714,61.62943748160004,60.826476959896596,57.80350099061299,55.338397592514454,55.715928932264475,55.88751264299907,54.715262538702476,53.412400186090835,52.76175618036814,52.33029725371433,51.44273491986878,50.14328670551136,51.18630774554161,52.85240324618431,54.10620278019691,55.409534369431064,56.70246773281809,57.996879498138775,59.20708583183093,60.3391788751635
1613461,1405705,65.9624889689759,66.22830162342756,66.35420922417943,66.3904616857979,66.32101321770514,65.78765987847146,63.77969773829038,62.142293291378216,62.39306228347495,62.50703394534975,61.72838606585347,60.86298114550559,60.43080155046351,60.144212044437985,59.554663340934745,58.691526205850614,59.384335801783116,60.49101237520272,61.323828124072406,62.189544727140344,63.048354479463114,63.90814623598999,64.71200591749354,65.46398012875824
1613461,735703,122.78680251944924,123.04385211935853,123.16560892008562,123.20066624560678,123.13350728745114,122.61773702533506,120.67597143922588,119.09254735869543,119.3350492411626,119.44526359550306,118.69228542631986,117.85541033851092,117.43747842242627,117.16033692209389,116.59022389013471,115.75554182543797,116.42551154458148,117.49570427492132,118.30106455954255,119.13824105481704,119.96873839772257,120.80018537106726,121.57754418394981,122.30472803660138
1405705,1499351,73.75961029337348,73.88229305696656,73.94040425731357,73.95713616267595,73.92508302355621,73.6789199439099,72.75216818690325,71.99644305755916,72.11218259237305,72.16478489785372,71.80540895347083,71.40599129792565,71.20652379252161,71.07425171281753,70.80215231120064,70.4037813257772,70.72353960082297,71.23431340393971,71.61868990341803,72.01825141252631,72.41462514436758,72.81145210891844,73.1824642696124,73.5295292901961
