u,v,diff_hour_00_may,diff_hour_01_may,diff_hour_02_may,diff_hour_03_may,diff_hour_04_may,diff_hour_05_may,diff_hour_06_may,diff_hour_07_may,diff_hour_08_may,diff_hour_09_may,diff_hour_10_may,diff_hour_11_may,diff_hour_12_may,diff_hour_13_may,diff_hour_14_may,diff_hour_15_may,diff_hour_16_may,diff_hour_17_may,diff_hour_18_may,diff_hour_19_may,diff_hour_20_may,diff_hour_21_may,diff_hour_22_may,diff_hour_23_may
794436,735703,233.27674946949227,234.1501339055477,234.56383030801814,234.68294553905028,234.4547577153169,232.7023110292634,226.10472114009698,220.72467795738558,221.54863321713196,221.92311153472062,219.36469707351856,216.5212237638041,215.1012050943801,214.15955386029626,212.2224652630713,209.3864432477949,211.66281763443024,215.29904066138036,218.03543526480934,220.87993267488972,223.70173614680738,226.52676620396713,229.16801944319306,231.6387918516342
794436,1394577,138.86510188958692,139.05788908951888,139.1492066900642,139.17549968420508,139.12513046558834,138.73830276900128,137.2819785794194,136.09441051902158,136.27628693087195,136.3589476966273,135.7942140697399,135.16655775388318,134.85310881681968,134.64525269157042,134.21766791760103,133.59165636907846,134.0941336584361,134.896778206191,135.50079841965692,136.12868079111277,136.75155379829192,137.37513902830042,137.95815813796236,138.50354602745102
794436,1613461,50.990345582530125,51.930913436743644,52.376432639404115,52.50471058051564,52.25896984726432,50.37171956997592,43.26662276625825,37.47273010795366,38.360066541526706,38.76335088354524,36.00813530994302,32.9459332840967,31.416682409332395,30.40259646493439,28.3165010525383,25.262323497625225,27.713803606309455,31.629736096871138,34.57662259287156,37.639927496035035,40.67879277348484,43.72113283504148,46.56555940036172,49.22639122483681
794436,1337200,107.27466805886405,108.65338864019566,109.30644784409549,109.49448259007264,109.1342663599651,106.36786222679703,95.95293771948415,87.46002674209358,88.76071865714475,89.35186837588,85.31316728662458,80.82447363383119,78.58283881119533,77.09635258213987,74.03847359254063,69.56154251825811,73.15501646639152,78.89514111094155,83.21480081936453,87.70511111220044,92.15959686051195,96.61917608117884,100.78864607754888,104.68899583268006
794436,492484,78.6196192192341,79.18921776448762,79.45901976609878,79.53670361242408,79.38788546651101,78.24498545386741,73.94220943919368,70.43348562438189,70.97084775030345,71.21507274003517,69.546541569686,67.69210245465484,66.7660033224218,66.15188295236712,64.88856430200302,63.03898472682274,64.52357671810667,66.89502651829153,68.67963169444086,70.53473870101502,72.37504531313523,74.21745621997854,75.94001268034329,77.55138599019621
1394577,1492778,74.26288760146299,74.85293327398203,75.13242047565103,75.21289297287007,75.0587326371037,73.87480544451905,69.41757080367753,65.78289280064173,66.33954484903228,66.59253688967745,64.8641097285978,62.943101004309106,61.98375728784206,61.34759157117002,60.038923020536444,58.12294828111893,59.66083331824382,62.117412085614816,63.966080011677185,65.88778060310273,67.79414950386315,69.70269823813162,71.48709005861201,73.15630753856222
1394577,1337200,17.651505776549055,17.77710955832291,17.83660435867819,17.853734642739667,17.82091833364089,17.568894228288713,16.620076953258092,15.84635836845344,15.96485360647717,16.018708347802626,15.650775833315375,15.241848233590554,15.037631501867372,14.902210086932234,14.623632128133998,14.21577611924809,14.543147686556853,15.066082770700184,15.45961109159465,15.868685969967414,16.274497171614435,16.68077239722604,17.060618180793647,17.415946654248394
1492778,1757353,164.74902573343374,165.05573264241642,165.20101064328395,165.24284040668988,165.16270755889053,164.54729985977477,162.2304204672581,160.34110764389794,160.63045648093262,160.7619622446343,159.86352238367706,158.86497824481413,158.36630948130403,158.03562928204383,157.35538077800163,156.35945331444302,157.15884900205742,158.43578350984927,159.39672475854508,160.39562853131577,161.38656286091896,162.37863027229614,163.306160674031,164.17382322549025
1492778,1337200,68.25190440903616,68.7017412088774,68.9148156101498,68.97616592981184,68.85863775303946,67.95603979433632,64.55795001864526,61.78695787771697,62.21133617203452,62.40421129213034,61.086499496059716,59.62196809239408,58.89058723924593,58.405589613664276,57.407891807735716,55.94719819451642,57.11964520301757,58.99248248111229,60.40186297919945,61.86692184592981,63.32029219601449,64.77532439936768,66.13570232191213,67.40827406405239
1492778,344649,65.4031444305938,65.76242966683064,65.93261246784691,65.98161304783672,65.88774314041463,65.16683697859328,62.45277826164523,60.239583239994715,60.57853473480678,60.732584343714485,59.680126220878854,58.510403086782276,57.92624824952759,57.53888001610847,56.74201748280189,55.57535959691895,56.51179454526727,58.00763211153773,59.13330614572423,60.303450565255616,61.464259351362216,62.626395461832615,63.71293107529345,64.72933577843145
