u,v,diff_hour_00_oct,diff_hour_01_oct,diff_hour_02_oct,diff_hour_03_oct,diff_hour_04_oct,diff_hour_05_oct,diff_hour_06_oct,diff_hour_07_oct,diff_hour_08_oct,diff_hour_09_oct,diff_hour_10_oct,diff_hour_11_oct,diff_hour_12_oct,diff_hour_13_oct,diff_hour_14_oct,diff_hour_15_oct,diff_hour_16_oct,diff_hour_17_oct,diff_hour_18_oct,diff_hour_19_oct,diff_hour_20_oct,diff_hour_21_oct,diff_hour_22_oct,diff_hour_23_oct
794436,735703,232.976882346988,233.95834445573252,234.42323405850868,234.55708930140764,234.30066418844976,232.33135955127926,224.91734549522604,218.87154446047342,219.79746073898443,220.21827918282986,217.34327162776665,214.14793038340528,212.55219034017296,211.49401370254026,209.3172184896052,206.13025060621766,208.6883168065838,212.77450723151773,215.84951922734427,219.0460113002105,222.21700115494073,225.39161687134765,228.35971415689923,231.13623432156888
794436,1394577,138.84889285593803,139.0475220922316,139.14160689279342,139.1686966443325,139.1168010857577,138.7182513377589,137.2177961121291,135.9942411408101,136.18162895908017,136.2667945965251,135.68494782942898,135.03827162521299,134.7153242355112,134.5011694397998,134.06062755146772,133.41564595602023,133.93334982990388,134.7603169397119,135.38264079601015,136.029549905995,136.6712978527856,137.3137796049156,137.91446596032483,138.4763807555556
794436,1613461,50.6661649095525,51.723573490997516,52.22443669398847,52.36864978306417,52.09238225065119,49.97069094512822,41.98297342045183,35.4693425437243,36.46690710569152,36.92028888150118,33.82281050372477,30.38021071069256,28.660990783162507,27.520931429522513,25.17569372987225,21.742115236460656,24.49812703566467,28.900510767289916,32.213470119936346,35.65730979367915,39.073673863358735,42.493944367344774,45.69171584761163,48.68308578692834
794436,1337200,106.79650156622205,108.34756222022013,109.08225382460742,109.29379291383171,108.88854965496074,105.77634500514665,94.05955493441968,84.50503008485528,85.96830848928785,86.633351922865,82.08981319745264,77.04003283806009,74.51819366259474,72.84589665490735,69.4057827916082,64.36923533304036,68.41189352469046,74.86953374980925,79.7291509217851,84.7807500012255,89.79204646807594,94.80907309132618,99.49972683724249,103.88762031176506
794436,492484,78.59530566876077,79.17366726855666,79.4476200701926,79.52649905261522,79.37539139676502,78.21490830700384,73.84593573825819,70.28323155706468,70.82886079261581,71.07684308988186,69.38264220921963,67.49967326164953,66.55932645045905,65.93575807471122,64.65300375280306,62.77496910723539,64.2824009753083,66.69033461857295,68.50239525897072,70.38604237333833,72.25466139487578,74.1254170849013,75.87447441388703,77.51063808235308
1394577,1492778,74.13321533227194,74.76999729568358,75.07162209748478,75.15846865388947,74.99209759845846,73.71439399457998,68.90411106535497,64.98153777495,65.5822810746982,65.85531208885982,63.9899798061105,61.91681197494745,60.88148063737411,60.19492555700527,58.78260009147003,56.714864976653104,58.37456268998591,61.02572195378232,63.020819022503105,65.09473352216037,67.15210193981271,69.21182285105293,71.13755263751197,72.93898536339883
1394577,1337200,17.635296742900174,17.766742561035603,17.82900456140741,17.846931602867095,17.812588953810234,17.548842797046326,16.55589448596777,15.746188990241972,15.87019563468541,15.926555247700424,15.541509593004461,15.113562104920348,14.899846920558877,14.75812683516164,14.466591762000697,14.039765706189861,14.382363858024615,14.929621504221124,15.34145346794789,15.76955508484962,16.19424122610813,16.619412973841204,17.016926003156144,17.38878138235297
1492778,1757353,164.75713025025817,165.06091614106006,165.20481054191933,165.24624192662617,165.16687224880587,164.55732557539594,162.26251170090327,160.39119233300366,160.6777854668285,160.80803879468542,159.91815550383254,158.92912130914925,158.43520177195828,158.1076709079291,157.43390096106828,156.44745852097213,157.23924091632355,158.50401414308882,159.45580357036846,160.44519397387467,161.42669083367213,162.40930998398855,163.32800676284975,164.18740586143798
1492778,1337200,68.26000892586059,68.70692470752105,68.9186155087852,68.97956744974812,68.86280244295479,67.96606550995752,64.59004125229042,61.83704256682271,62.258665157930395,62.45028784218144,61.14113261621517,59.68611115672918,58.95947952990018,58.477631239549574,57.48641199080237,56.035203401045536,57.20003711728369,59.06071311435182,60.460941791022826,61.9164872884887,63.36042016876765,64.80600411106009,66.15754841073088,67.4218567000001
1492778,344649,65.41124894741824,65.7676131654743,65.9364123664823,65.985014567773,65.89190783032996,65.17686269421448,62.48486949529039,60.28966792910045,60.62586372070266,60.77866089376558,59.73475934103431,58.574546151117374,57.995140540181836,57.61092164199377,56.82053766586854,55.66336480344806,56.592186459533394,58.07586274477726,59.1923849575476,60.35301600781452,61.50438732411537,62.65707517352503,63.7347771641122,64.74291841437916
