u,v,diff_hour_00_jan,diff_hour_01_jan,diff_hour_02_jan,diff_hour_03_jan,diff_hour_04_jan,diff_hour_05_jan,diff_hour_06_jan,diff_hour_07_jan,diff_hour_08_jan,diff_hour_09_jan,diff_hour_10_jan,diff_hour_11_jan,diff_hour_12_jan,diff_hour_13_jan,diff_hour_14_jan,diff_hour_15_jan,diff_hour_16_jan,diff_hour_17_jan,diff_hour_18_jan,diff_hour_19_jan,diff_hour_20_jan,diff_hour_21_jan,diff_hour_22_jan,diff_hour_23_jan
794436,735703,232.9606733133391,233.94797745844522,234.4156342612379,234.5502862615351,234.2923348086191,232.31130812003687,224.85316302793572,218.77137508226195,219.70280276719265,220.12612608272764,217.23400538745574,214.01964425473506,212.41440575886446,211.34993045076968,209.1601781234719,205.95424019315942,208.52753297805157,212.63804596503869,215.7313616036975,218.94688041509272,222.13674520943442,225.33025744796282,228.3160219792617,231.10906904967345
794436,1394577,138.83268382228917,139.03715509494427,139.13400709552263,139.16189360445992,139.10847170592703,138.69819990651652,137.15361364483877,135.89407176259863,136.08697098728842,136.17464149642288,135.57568158911806,134.90998549654276,134.5775396542027,134.35708618802923,133.90358718533443,133.23963554296202,133.77256600137162,134.62385567323287,135.26448317236338,135.9304190208772,136.59104190727933,137.25242018153077,137.87077378268734,138.4492154836602
794436,1613461,50.641851359079176,51.70802299506656,52.2130369980823,52.35844522325531,52.07988818090521,49.940613798264636,41.88669971951634,35.3190884764071,36.32492014800388,36.78205923134787,33.65891114325839,30.18778151768725,28.454313911199765,27.304806551866623,24.940133180672298,21.478099616873315,24.25695129286631,28.695818867571322,32.03623368446621,35.50861346600245,38.95328994509927,42.401905232267524,45.626177581155375,48.642337879085204
794436,1337200,106.7640834989243,108.32682822564551,109.06705423006585,109.28018683408656,108.87189089529943,105.73624214266188,93.93118999983903,84.30469132843234,85.77899254570433,86.4490457226606,81.87128071683081,76.78346058071969,74.24262449997775,72.55773015136616,69.0917020593416,64.01721450692392,68.09032586762598,74.59661121685113,79.49283567449157,84.58248823098991,89.63153457706333,94.68635424455651,99.41234248196747,103.83328976797422
794436,492484,78.36837919767643,79.02852930653437,79.34122290840166,79.4312564943992,79.25878007913583,77.93418826961044,72.94738119619369,68.88086026210414,69.50364918753118,69.78669968845102,67.85291484486686,65.70366746026664,64.63034231214014,63.918592549922906,62.454438626936835,60.3108233244202,62.031427375856964,64.7798768878661,66.84818852791608,68.9982099816892,71.1310781577875,73.2663851575136,75.26278392696197,77.13032427581715
1394577,1492778,74.05217016402754,74.71816230924705,75.03362311113086,75.1244534545266,74.95045069930516,73.61413683836805,68.58319872890335,64.48069088389265,65.10899121573941,65.3945465883488,63.44364860455593,61.27538133159642,60.19255773083164,59.4745092981523,57.99739826080352,55.834812911361965,57.57064354732471,60.34341562138702,62.4300309042693,64.59907909657139,66.7508222122812,68.90502573412876,70.91909174932445,72.80315900392172
1394577,1337200,17.627192226075735,17.76155906239195,17.825204662772016,17.84353008293081,17.808424263894903,17.538817081425133,16.523803252322608,15.696104301136238,15.822866648789532,15.880478697649323,15.486876472849005,15.049419040585244,14.83095462990463,14.686085209276342,14.388071578934046,13.951760499660748,14.301971943758495,14.861390870981593,15.28237465612451,15.719989642290722,16.15411325335498,16.588733262148786,16.995079914337392,17.37519874640526
1492778,1757353,164.71660766613599,165.0349986478418,165.18581104874238,165.22923432694475,165.14604879922922,164.50719699728998,162.10205553267747,160.140768887475,160.4411405373491,160.57765604442992,159.64498990305523,158.60840598747373,158.09074031868704,157.74746277850264,157.041300045735,156.00743248832654,156.83728134499296,158.16286097689115,159.16040951125154,160.1973667610802,161.22605096990637,162.25591142552645,163.218776318756,164.11949268169943
1492778,1337200,68.20327730808951,68.67064021701547,68.89201621833746,68.95575681019412,68.8336496135475,67.89588550060917,64.36540261677429,61.486449743082574,61.92736225665924,62.12775199182373,60.758700775126975,59.23710970638346,58.47723349532045,57.973339858352496,56.9367707093358,55.41916695534174,56.63729371742085,58.583098681675104,60.047390108259165,61.569529190576425,63.07952435949558,64.59124612921316,66.00462578899962,67.32677824836613
1492778,344649,65.37072636329604,65.74169567225603,65.91741287330535,65.96800696809157,65.87108438075332,65.12673411610851,62.32441332706458,60.03924448357178,60.389218791223264,60.548278143510075,59.46159374025703,58.25383082944186,57.6506790869106,57.25071351256729,56.42793675053529,55.22333877080249,56.190226888202794,57.734709578579604,58.8969908984307,60.10518879502003,61.303747460349605,62.50367661506294,63.62554672001844,64.67500523464061
1492778,892553,61.11399474552496,61.50541118175047,61.69081358285762,61.744196328537576,61.641931551346026,60.85655410676018,57.89977469154847,55.48865165983165,55.85791588995212,56.025742293152376,54.87916189916884,53.604829379096145,52.96843305233088,52.54642213137022,51.67829546906874,50.407302325098705,51.427483488339966,53.057095145902906,54.28343921566705,55.55823069710776,56.82285165107755,58.088918633216025,59.27262409828718,60.37992678300663
1613461,1405705,65.97059348580035,66.23348512207122,66.35800912281482,66.39386320573419,66.32517790762047,65.79768559409266,63.81178897193554,62.19237798048395,62.44039126937083,62.55311049540085,61.78301918600893,60.9271242098407,60.499693841117754,60.21625367032328,59.633183524001396,58.779531412379725,59.46472771604923,60.55924300844225,61.38290693589578,62.23911016969924,63.08848245221626,63.93882594768241,64.73385200631229,65.47756276470595
