u,v,diff_hour_00_feb,diff_hour_01_feb,diff_hour_02_feb,diff_hour_03_feb,diff_hour_04_feb,diff_hour_05_feb,diff_hour_06_feb,diff_hour_07_feb,diff_hour_08_feb,diff_hour_09_feb,diff_hour_10_feb,diff_hour_11_feb,diff_hour_12_feb,diff_hour_13_feb,diff_hour_14_feb,diff_hour_15_feb,diff_hour_16_feb,diff_hour_17_feb,diff_hour_18_feb,diff_hour_19_feb,diff_hour_20_feb,diff_hour_21_feb,diff_hour_22_feb,diff_hour_23_feb
1013767,673183,1.3675819327022376,1.379266005425387,1.3848004054584362,1.3863939202548528,1.3833412403386873,1.359897137515229,1.2716350654193573,1.1996612435770642,1.210684056416481,1.2156937997955932,1.1814675193781743,1.1434277426595862,1.1244308373830112,1.1118334964588124,1.085919267733395,1.0479791738835433,1.0784323429355211,1.1270774670418775,1.163684752706479,1.2017382297644104,1.2394881089873893,1.277281153230329,1.3126156447249904,1.345669456209153
904019,1118608,20.64366701471601,20.98834716004891,21.151611961023868,21.198620647518155,21.10856658999127,20.416965556699253,17.813234429871034,15.69000668552339,16.015179664286183,16.162967093969996,15.153291821656138,14.031118408457793,13.470709702798827,13.099088145534962,12.334618398135152,11.215385629564523,12.113754116597875,13.548785277735385,14.628700204841127,15.751277778050106,16.864899215127984,17.979794020294705,19.022161519387215,19.99724895817001
913304,914390,6.951505776549055,7.077109558322911,7.13660435867819,7.153734642739668,7.120918333640889,6.868894228288712,5.920076953258091,5.14635836845344,5.264853606477171,5.318708347802628,4.950775833315374,4.541848233590554,4.337631501867371,4.202210086932233,3.923632128133998,3.5157761192480903,3.843147686556854,4.366082770700185,4.759611091594651,5.168685969967413,5.5744971716144365,5.980772397226038,6.360618180793648,6.715946654248396
1016438,1015421,2.735163865404475,2.758532010850774,2.7696008109168724,2.7727878405097055,2.7666824806773747,2.719794275030458,2.5432701308387147,2.3993224871541283,2.421368112832962,2.4313875995911864,2.3629350387563486,2.2868554853191725,2.2488616747660224,2.2236669929176247,2.17183853546679,2.0959583477670867,2.1568646858710423,2.254154934083755,2.327369505412958,2.4034764595288207,2.4789762179747785,2.554562306460658,2.6252312894499807,2.691338912418306
1023769,1034676,1.5351638654044755,1.558532010850774,1.5696008109168729,1.5727878405097058,1.5666824806773747,1.5197942750304583,1.3432701308387147,1.1993224871541286,1.221368112832962,1.2313875995911867,1.1629350387563488,1.086855485319173,1.0488616747660227,1.023666992917625,0.9718385354667904,0.8959583477670867,0.9568646858710428,1.0541549340837553,1.1273695054129584,1.2034764595288212,1.278976217974779,1.3545623064606584,1.425231289449981,1.4913389124183063
1034676,679566,6.210850314931155,6.242981514919815,6.2582011150107,6.262583280700846,6.254188410931391,6.189717128166881,5.946996429903233,5.749068419836927,5.779381155145323,5.793157949437882,5.69903567828998,5.594426292313863,5.542184802803281,5.507542115261735,5.436277986266838,5.331942728179745,5.415688943072684,5.549463034365164,5.650133069942818,5.754780131852129,5.858592299715322,5.962523171383406,6.0596930229937245,6.150591004575172
679566,207535,4.667581932702238,4.679266005425387,4.684800405458437,4.6863939202548535,4.683341240338687,4.659897137515229,4.571635065419358,4.499661243577064,4.510684056416482,4.515693799795593,4.481467519378175,4.443427742659587,4.424430837383012,4.411833496458812,4.385919267733396,4.347979173883544,4.378432342935522,4.427077467041878,4.463684752706479,4.501738229764411,4.539488108987389,4.577281153230329,4.612615644724991,4.645669456209153
679566,1008680,7.410850314931154,7.442981514919814,7.4582011150106995,7.462583280700845,7.4541884109313905,7.38971712816688,7.146996429903233,6.949068419836927,6.979381155145322,6.993157949437881,6.899035678289979,6.7944262923138625,6.742184802803281,6.7075421152617345,6.636277986266837,6.531942728179744,6.6156889430726835,6.749463034365164,6.850133069942817,6.954780131852129,7.058592299715321,7.162523171383405,7.259693022993724,7.350591004575171
1809046,999186,6.2594774158777975,6.274082506781735,6.281000506823046,6.282992400318567,6.27917655042336,6.249871421894037,6.139543831774198,6.049576554471331,6.063355070520602,6.069617249744493,6.026834399222719,5.9792846783244835,5.955538546728765,5.939791870573516,5.907399084666745,5.8599739673544295,5.898040428669402,5.9588468338023475,6.004605940883099,6.052172787205514,6.099360136234237,6.146601441537912,6.190769555906239,6.232086820261442
908831,909385,4.667581932702238,4.679266005425387,4.684800405458437,4.6863939202548535,4.683341240338687,4.659897137515229,4.571635065419358,4.499661243577064,4.510684056416482,4.515693799795593,4.481467519378175,4.443427742659587,4.424430837383012,4.411833496458812,4.385919267733396,4.347979173883544,4.378432342935522,4.427077467041878,4.463684752706479,4.501738229764411,4.539488108987389,4.577281153230329,4.612615644724991,4.645669456209153
909385,983071,4.659477415877797,4.674082506781734,4.681000506823046,4.682992400318566,4.679176550423359,4.649871421894036,4.539543831774197,4.449576554471331,4.463355070520602,4.469617249744492,4.426834399222718,4.379284678324483,4.355538546728765,4.3397918705735155,4.307399084666744,4.259973967354429,4.298040428669402,4.358846833802347,4.4046059408830995,4.452172787205513,4.499360136234237,4.546601441537912,4.590769555906238,4.632086820261441
983071,963886,4.618954831755595,4.648165013563467,4.662001013646091,4.6659848006371325,4.6583531008467185,4.599742843788073,4.379087663548393,4.199153108942661,4.2267101410412025,4.239234499488983,4.153668798445436,4.058569356648967,4.011077093457528,3.979583741147031,3.914798169333488,3.8199479347088587,3.8960808573388035,4.017693667604695,4.109211881766198,4.204345574411026,4.298720272468474,4.393202883075823,4.481539111812476,4.564173640522883
1824928,972696,7.129805146686749,7.191146528483283,7.2202021286567915,7.228568081337978,7.2125415117781095,7.089459971954954,6.6260840934516265,6.248221528779588,6.306091296186526,6.332392448926865,6.1527044767354155,5.95299564896283,5.853261896260809,5.787125856408766,5.651076155600325,5.451890662888603,5.611769800411488,5.867156701969858,6.059344951709016,6.2591257062631565,6.457312572183795,6.655726054459229,6.841232134806201,7.0147646450980545
972185,1100491,4.667581932702238,4.679266005425387,4.684800405458437,4.6863939202548535,4.683341240338687,4.659897137515229,4.571635065419358,4.499661243577064,4.510684056416482,4.515693799795593,4.481467519378175,4.443427742659587,4.424430837383012,4.411833496458812,4.385919267733396,4.347979173883544,4.378432342935522,4.427077467041878,4.463684752706479,4.501738229764411,4.539488108987389,4.577281153230329,4.612615644724991,4.645669456209153
