u,v,diff_hour_00_sep,diff_hour_01_sep,diff_hour_02_sep,diff_hour_03_sep,diff_hour_04_sep,diff_hour_05_sep,diff_hour_06_sep,diff_hour_07_sep,diff_hour_08_sep,diff_hour_09_sep,diff_hour_10_sep,diff_hour_11_sep,diff_hour_12_sep,diff_hour_13_sep,diff_hour_14_sep,diff_hour_15_sep,diff_hour_16_sep,diff_hour_17_sep,diff_hour_18_sep,diff_hour_19_sep,diff_hour_20_sep,diff_hour_21_sep,diff_hour_22_sep,diff_hour_23_sep
794436,735703,233.30916753679006,234.17086790012232,234.5790299025597,234.6965516187954,234.4714164749782,232.74241389174816,226.23308607467763,220.9250167138085,221.7379491607155,222.107417734925,219.58322955414036,216.77779602114452,215.3767742569971,214.44772036383745,212.53654599533792,209.73846407391133,211.98438529149473,215.57196319433848,218.27175051210284,221.0781944451253,223.86224803782,226.64948505073679,229.25540379846808,231.69312239542506
794436,1394577,138.89751995688468,139.0786230840935,139.16440628460577,139.18910576395024,139.14178922524965,138.77840563148607,137.41034351400003,136.2947492754445,136.46560287445547,136.54325389683171,136.0127465503617,135.4231300112236,135.12867797943667,134.9334191951116,134.53174864986764,133.94367719519494,134.4157013155006,135.1697007391491,135.73711366695042,136.32694256134837,136.91206568930454,137.4978578750701,138.04554249323735,138.55787657124188
794436,1613461,51.02276364982789,51.95164743131826,52.39163223394568,52.51831666026079,52.27562860692563,50.411822432460696,43.3949877008389,37.673068864376596,38.54938248511023,38.94765708374965,36.226667790564846,33.202505541437105,31.692251571949384,30.690762968475575,28.630581784804903,25.61434432374168,28.035371263373936,31.90265862982926,34.81293784016508,37.838189266270625,40.83930466449745,43.84385168181115,46.652943755636734,49.28072176862766
794436,1337200,107.32329515981068,108.68448963205758,109.32924723590783,109.51489170969035,109.15925449945706,106.42801652052418,96.14548512135512,87.76053487672797,89.04469257252003,89.62832767618661,85.64096600755731,81.20933201984181,78.99619255512081,77.52860233745164,74.50959469094053,70.08957375743279,73.63736795198824,79.30452491037875,83.56927369030481,88.00250376755383,92.40036469703087,96.80325435133334,100.91972261046139,104.77049164836633
794436,492484,78.7006643874785,79.24105275092415,79.49701875245269,79.57071881178695,79.42953236566429,78.34524261007935,74.26312177564527,70.93433251543922,71.44413760926224,71.6758382405462,70.09287277124056,68.33353309800587,67.45492622896427,66.87229921122008,65.67376613266953,63.919036792113886,65.32749586076787,67.57733285068684,69.27041981267466,71.030393126604,72.77632504066676,74.52425333690273,76.15847356853081,77.68721234967333
1394577,1492778,74.3034101855852,74.8788507672003,75.15141996882798,75.2299005725515,75.07955608668034,73.92493402262502,69.57802697190334,66.0333162461704,66.57618977851168,66.82291963993296,65.13727532937509,63.26381632598462,62.3282187411133,61.7077997005965,60.431523935869706,58.5629743137645,60.06279288957442,62.458565251812466,64.2614740707941,66.13560781589722,67.99478936762893,69.8560967965937,71.59632050270578,73.22422071830078
1394577,1337200,17.667714810197936,17.787476555610215,17.844204155948972,17.860537682612243,17.829247713471545,17.5889456595311,16.68425942054841,15.94652774666491,16.059511578268932,16.11086144790483,15.760042073626288,15.37013436226076,15.175416083175865,15.046293338702828,14.7806724942673,14.39178653230632,14.703931515089094,15.202544037179246,15.577768715241412,15.967816855085209,16.35475311712074,16.742131820610872,17.104310358431153,17.443111926143818
1492778,1757353,164.80575735120482,165.09201713292197,165.22760993373169,165.26665104624388,165.19186038829784,164.61747986912312,162.45505910277424,160.69170046763807,160.96175938220378,161.08449809499203,160.24595422476526,159.31397969515987,158.84855551588376,158.5399206632409,157.90502205946817,156.97548976014681,157.72159240192028,158.913397942526,159.81027644130873,160.74258662922804,161.66745867019102,162.59338825414306,163.45908329576227,164.26890167712423
1492778,1337200,68.32484506045611,68.74839269667028,68.94901469786832,69.00677960923842,68.89611996227741,68.04627123492705,64.8467711214517,62.23772007966858,62.637297045097434,62.81890024259025,61.57819757745882,60.19925567141001,59.51061785513416,59.05396424663195,58.114573455335574,56.739245053278445,57.84317243141265,59.60655818026807,60.93357228560987,62.31301082895988,63.68144395079287,65.05144180459943,66.33231712128091,67.5305177875818
1492778,344649,65.46798056518932,65.80389765597987,65.96301165693004,66.008825207327,65.92106065973725,65.24704270356283,62.70950813080651,60.64026075284059,60.95716662197382,61.1011967441233,60.117191182122504,59.0235476014631,58.47738657476157,58.11521302319085,57.370178947335106,56.27940124915186,57.15492985939623,58.55347717745397,59.60593664031126,60.699974105726795,61.78528313338744,62.87183315537195,63.887699785843466,64.83799686601314
1492778,892553,61.219353464242694,61.57279666411796,61.740212265117705,61.7884160877093,61.696072520245295,60.98688840983568,58.31696072893556,56.139752618206195,56.47319270659855,56.6247374438167,55.589392461189775,54.43868921545249,53.864032830836095,53.48296326787908,52.699057848935205,51.55137000997719,52.47257837379952,53.9440933780168,55.051463769371,56.20258145037342,57.344515296868536,58.487754885217456,59.55662325293097,60.55650105032689
1613461,1405705,66.03542962039587,66.27495311122044,66.38840831189795,66.42107536522448,66.3584954269431,65.8778913190622,64.06851884109683,62.59305549332982,62.81902315653787,62.921722895809665,62.22008414725258,61.44026872452152,61.05083216635173,60.79258667740566,60.2613449885346,59.48357306461264,60.107863030178194,61.10508807435849,61.855537430482826,62.63563371017042,63.40950623424148,64.18426364122175,64.9086207168623,65.58622385228765
1613461,735703,122.85163865404476,123.08532010850776,123.19600810916874,123.22787840509707,123.16682480677376,122.69794275030459,120.93270130838717,119.4932248715413,119.71368112832964,119.81387599591189,119.1293503875635,118.36855485319174,117.98861674766025,117.73666992917626,117.21838535466792,116.45958347767088,117.06864685871044,118.04154934083756,118.7736950541296,119.53476459528822,120.2897621797478,121.0456230646066,121.75231289449982,122.41338912418307
1405705,1499351,73.8001328774957,73.90821055018482,73.95940375049054,73.97414376235739,73.94590647313285,73.72904852201586,72.91262435512905,72.24686650308784,72.34882752185244,72.39516764810924,72.0785745542481,71.72670661960117,71.55098524579284,71.43445984224401,71.1947532265339,70.84380735842277,71.12549917215357,71.57546657013737,71.91408396253493,72.26607862532079,72.61526500813335,72.96485066738055,73.29169471370615,73.59744246993466
1499351,1499032,51.13883980598108,51.95380387842074,52.33982828072593,52.450975937775986,52.23805151362344,50.60282534168722,44.44654581300017,39.426371739500226,40.19521293504955,40.544642535742625,38.15735947662766,35.50408505050615,34.17905090746504,33.300386378002166,31.492868924404313,28.846547378377146,30.970655919752613,34.36365332617096,36.91701150127692,39.57124152606764,42.20429560187041,44.840360437815455,47.304941219568086,49.61044457058843
