u,v,diff_hour_00_nov,diff_hour_01_nov,diff_hour_02_nov,diff_hour_03_nov,diff_hour_04_nov,diff_hour_05_nov,diff_hour_06_nov,diff_hour_07_nov,diff_hour_08_nov,diff_hour_09_nov,diff_hour_10_nov,diff_hour_11_nov,diff_hour_12_nov,diff_hour_13_nov,diff_hour_14_nov,diff_hour_15_nov,diff_hour_16_nov,diff_hour_17_nov,diff_hour_18_nov,diff_hour_19_nov,diff_hour_20_nov,diff_hour_21_nov,diff_hour_22_nov,diff_hour_23_nov
616516,616905,2.1244464279690205,2.2237610461157895,2.270803446396709,2.2843483221662493,2.2584005428788423,2.059125668879447,1.3088980560645371,0.697120570405046,0.7908144795400884,0.8333972982625426,0.5424739147144819,0.21913581260648485,0.0576621177555956,-0.04941528010009444,-0.2696862242661413,-0.5921770219898819,-0.33332508504806846,0.08015846985595987,0.39132039800507235,0.7147749529974896,1.0356489263928101,1.3568898024577976,1.6572329801624193,1.9381903777778011
616905,248951,14.04601418033563,14.101513525770589,14.127801925927574,14.135371121210552,14.120870891608766,14.009511403197338,13.590266560741949,13.248390906991057,13.300749267978286,13.32454554902907,13.16197071704633,12.981281777633036,12.891046477569304,12.83120910817936,12.70811652173363,12.527901075946833,12.672553628943728,12.90361796844892,13.077502575355776,13.25825659138095,13.437568517690101,13.617085477844064,13.784924312443707,13.941929916993478
248951,249980,3.156864495266783,3.2444950406904027,3.2860030409382723,3.2979544019113964,3.275059302540155,3.0992285313642176,2.4372629906451797,1.8974593268279818,1.9801304231236074,2.0177034984669495,1.7610063953363075,1.4757080699468983,1.3332312803725848,1.2387512234410933,1.044394508000464,0.7598438041265747,0.9882425720164099,1.3530810028140823,1.6276356452985934,1.9130367232330792,2.1961608174054206,2.4796086492274685,2.744617335437429,2.992520921568648
1514307,1514769,6.737909663511189,6.796330027126936,6.824002027292182,6.831969601274265,6.816706201693437,6.6994856875761455,6.258175327096787,5.898306217885322,5.953420282082405,5.9784689989779665,5.807337596890872,5.6171387132979325,5.522154186915056,5.459167482294062,5.329596338666976,5.1398958694177175,5.292161714677607,5.535387335209388,5.718423763532396,5.9086911488220535,6.097440544936948,6.286405766151646,6.463078223624953,6.628347281045766
1514769,1481196,1.1001328774956987,1.20821055018483,1.259403750490536,1.2741437623573888,1.2459064731328577,1.0290485220158687,0.21262435512905498,-0.45313349691215565,-0.3511724781475509,-0.3048323518907625,-0.6214254457518873,-0.9732933803988253,-1.1490147542071458,-1.2655401577559848,-1.5052467734660948,-1.8561926415772243,-1.5745008278464274,-1.1245334298626317,-0.7859160374650682,-0.43392137467920233,-0.08473499186664779,0.2648506673805444,0.5916947137061622,0.8974424699346658
1380911,1352939,2.6541186971600697,2.7066970244142414,2.731601824562963,2.738772641146838,2.725035581524093,2.6195371188185304,2.222357794387108,1.898475596096789,1.9480782538741643,1.9706220990801695,1.8166038372017845,1.6454248419681388,1.5599387682235506,1.5032507340646557,1.3866367048002781,1.2159062824759448,1.3529455432098458,1.5718486016884492,1.7365813871791558,1.9078220339398473,2.077696490443252,2.247765189536481,2.406770401262457,2.5555125529411886
45147,190652,2.535429620395873,2.7749531112204338,2.888408311897945,2.921075365224483,2.8584954269430902,2.3778913190621953,0.5685188410968247,-0.9069445066701829,-0.6809768434621399,-0.5782771041903385,-1.279915852747426,-2.059731275478478,-2.449167833648269,-2.7074133225943453,-3.2386550114653994,-4.016426935387363,-3.3921369698218125,-2.3949119256415083,-1.6444625695171786,-0.8643662898295834,-0.09049376575851698,0.6842636412217469,1.4086207168623053,2.0862238522876377
359812,360325,22.965234767082617,23.266099639703715,23.40861044055473,23.449643446562458,23.371036938721197,22.767351291017146,20.494602934548446,18.641277022109403,18.925114452724383,19.054115344736523,18.172788623987987,17.193264373484347,16.704094062612537,16.379712533814416,15.712421144134924,14.735463727501237,15.519632830589671,16.772244776328346,17.714882382191835,18.69475941643357,19.666818806425276,20.639989695680974,21.549852851668504,22.40098849738569
360325,974920,80.3490703627367,82.89035618002167,84.09408818720989,84.44067765543049,83.77671977366448,78.67762740956232,59.480626728710206,43.82632047801147,46.22378227058461,47.31340145554152,39.86918546475291,31.595534028460044,27.46370713080495,24.7237854797917,19.087440732013448,10.835470319670662,17.459034588475888,28.03934908160838,36.0014337136592,44.278064973759285,52.488663704757194,60.70865082759658,68.39390272768543,75.58310672549078
1062891,1551524,14.775819327022377,14.89266005425387,14.948004054584363,14.963939202548529,14.933412403386873,14.69897137515229,13.816350654193572,13.096612435770641,13.20684056416481,13.256937997955932,12.914675193781743,12.534277426595864,12.344308373830113,12.218334964588124,11.959192677333952,11.579791738835432,11.884323429355213,12.370774670418776,12.736847527064791,13.117382297644106,13.494881089873894,13.872811532303292,14.226156447249904,14.556694562091531
1551524,627368,7.635296742900175,7.7667425610356045,7.829004561407409,7.846931602867095,7.812588953810232,7.548842797046327,6.5558944859677695,5.746188990241973,5.870195634685411,5.926555247700424,5.541509593004461,5.113562104920348,4.899846920558877,4.75812683516164,4.466591762000696,4.039765706189862,4.382363858024615,4.9296215042211236,5.34145346794789,5.769555084849619,6.194241226108131,6.619412973841203,7.016926003156144,7.388781382352972
355581,357850,167.29490703627366,167.54903561800216,167.669408818721,167.70406776554304,167.63767197736644,167.12776274095623,165.20806267287102,163.64263204780116,163.88237822705847,163.99134014555415,163.24691854647529,162.419553402846,162.00637071308049,161.73237854797918,161.16874407320134,160.34354703196706,161.0059034588476,162.06393490816083,162.86014337136592,163.68780649737593,164.50886637047572,165.33086508275966,166.09939027276855,166.81831067254907
40898,68908,5.559477415877796,5.574082506781734,5.581000506823045,5.582992400318566,5.579176550423359,5.549871421894036,5.439543831774197,5.34957655447133,5.363355070520601,5.369617249744492,5.326834399222718,5.2792846783244824,5.255538546728764,5.239791870573515,5.2073990846667435,5.1599739673544285,5.198040428669401,5.258846833802346,5.304605940883098,5.352172787205513,5.399360136234236,5.446601441537911,5.490769555906238,5.532086820261441
68908,198845,5.527059348580035,5.553348512207121,5.565800912281482,5.569386320573418,5.562517790762046,5.509768559409265,5.311178897193553,5.149237798048394,5.174039126937082,5.1853110495400845,5.108301918600892,5.022712420984069,4.979969384111775,4.951625367032328,4.893318352400139,4.807953141237972,4.876472771604923,4.985924300844224,5.068290693589578,5.153911016969923,5.238848245221626,5.32388259476824,5.403385200631228,5.477756276470594
