u,v,diff_hour_00_mar,diff_hour_01_mar,diff_hour_02_mar,diff_hour_03_mar,diff_hour_04_mar,diff_hour_05_mar,diff_hour_06_mar,diff_hour_07_mar,diff_hour_08_mar,diff_hour_09_mar,diff_hour_10_mar,diff_hour_11_mar,diff_hour_12_mar,diff_hour_13_mar,diff_hour_14_mar,diff_hour_15_mar,diff_hour_16_mar,diff_hour_17_mar,diff_hour_18_mar,diff_hour_19_mar,diff_hour_20_mar,diff_hour_21_mar,diff_hour_22_mar,diff_hour_23_mar
628016,627368,3.6109831924268523,3.7511920651046444,3.8176048655012362,3.836727043058234,3.800094884064248,3.5187656501827487,2.4596207850322878,1.595934922924771,1.728208676997772,1.7883255975471188,1.3776102325380921,0.9211329119150373,0.6931700485961354,0.5420019575057493,0.23103121280074213,-0.22424991339748068,0.14118811522625618,0.724929604502532,1.1642170324777492,1.6208587571729267,2.073857307848673,2.5273738387639497,2.9513877366998864,3.348033474509837
629000,1064296,16.800265754991397,17.01642110036966,17.11880750098107,17.148287524714775,17.091812946265716,16.658097044031734,15.025248710258108,13.693733006175687,13.897655043704898,13.990335296218474,13.357149108496223,12.653413239202347,12.301970491585706,12.06891968448803,11.58950645306781,10.887614716845551,11.450998344307145,12.350933140274735,13.028167925069862,13.732157250641594,14.430530016266703,15.129701334761087,15.783389427412324,16.394884939869332
1064296,1832624,16.77046060830465,16.925274571886376,16.99860537232428,17.0197194433768,16.979271434487607,16.668637072076784,15.499164616806484,14.5455114773961,14.691563747518373,14.75794284729161,14.30444463176081,13.800417590239519,13.548708595324898,13.381793828079264,13.038430297467485,12.535724053956947,12.939228543895657,13.583776438304877,14.068822973360847,14.57303154437844,15.073217444082909,15.57397528030186,16.042157292606124,16.48012029477128
1832624,630218,23.775952204518077,24.000870604438703,24.107407805074903,24.13808296490592,24.079318876519732,23.628019897168162,21.92897500932263,20.543478938858488,20.755668086017263,20.852105646065173,20.193249748029857,19.46098404619704,19.09529361962297,18.852794806832144,18.35394590386786,17.62359909725821,18.20982260150879,19.146241240556147,19.850931489599724,20.583460922964907,21.310146098007248,22.037662199683837,22.71785116095607,23.3541370320262
630218,253056,6.697519956884686,6.8786230840935,6.964406284605764,6.98910576395022,6.9417892252496545,6.578405631486051,5.210343514000039,4.094749275444497,4.265602874455457,4.343253896831697,3.8127465503617035,3.2231300112235908,2.928677979436676,2.733419195111594,2.3317486498676265,1.7436771951949224,2.2157013155005822,2.969700739149104,3.5371136669504275,4.126942561348365,4.712065689304538,5.297857875070102,5.845542493237354,6.357876571241873
630218,227045,23.76235609148021,23.920091073242727,23.994805473688892,24.016317923440518,23.975106744572283,23.658611356455594,22.467073383161328,21.49542678829037,21.644234761622496,21.711866297240512,21.24981151160536,20.73627452590442,20.479816304670656,20.30975220219397,19.959910114400838,19.447718847427836,19.85883662962954,20.51554580506535,21.00974416153747,21.523466101819544,22.03308947132976,22.543295568609445,23.020311203787376,23.46653765882357
630218,771454,23.494907036273673,23.74903561800217,23.86940881872099,23.90406776554305,23.83767197736645,23.327762740956235,21.408062672871026,19.84263204780115,20.082378227058463,20.191340145554157,19.446918546475295,18.61955340284601,18.2063707130805,17.932378547979173,17.36874407320135,16.54354703196707,17.205903458847594,18.26393490816084,19.060143371365925,19.887806497375934,20.70886637047572,21.53086508275966,22.299390272768548,23.01831067254908
227045,631488,13.56235609148021,13.720091073242726,13.794805473688891,13.816317923440513,13.775106744572279,13.458611356455592,12.267073383161323,11.295426788290367,11.444234761622493,11.511866297240509,11.049811511605354,10.536274525904417,10.279816304670653,10.109752202193969,9.759910114400835,9.247718847427834,9.658836629629537,10.315545805065348,10.809744161537468,11.323466101819543,11.833089471329757,12.343295568609443,12.820311203787371,13.266537658823566
631488,632383,8.57843224763339,8.622247520345201,8.643001520469136,8.648977200955697,8.637529651270077,8.549614265682107,8.218631495322589,7.948729663413991,7.990065211561803,8.008851749233473,7.880503197668153,7.737854034973449,7.666615640186292,7.619375611720546,7.522197254000231,7.379921902063287,7.4941212860082045,7.6765405014070405,7.8138178226492965,7.9565183616165385,8.09808040870271,8.239804324613733,8.372308667718714,8.496260460784324
632383,633349,8.57032773080895,8.617064021701548,8.639201621833745,8.64557568101941,8.633364961354749,8.539588550060916,8.186540261677429,7.898644974308256,7.942736225665923,7.9627751991823725,7.825870077512697,7.673710970638345,7.597723349532044,7.547333985835249,7.44367707093358,7.291916695534173,7.413729371742084,7.60830986816751,7.754739010825916,7.906952919057641,8.057952435949558,8.209124612921316,8.350462578899961,8.482677824836612
632383,237223,8.610850314931152,8.642981514919814,8.6582011150107,8.662583280700845,8.65418841093139,8.58971712816688,8.346996429903232,8.149068419836926,8.179381155145322,8.19315794943788,8.09903567828998,7.994426292313862,7.94218480280328,7.907542115261734,7.836277986266836,7.731942728179743,7.815688943072683,7.949463034365163,8.050133069942817,8.154780131852128,8.25859229971532,8.362523171383405,8.459693022993724,8.55059100457517
632383,1264979,8.618954831755593,8.648165013563467,8.66200101364609,8.665984800637132,8.658353100846718,8.599742843788071,8.379087663548393,8.19915310894266,8.226710141041202,8.239234499488983,8.153668798445436,8.058569356648965,8.011077093457528,7.979583741147031,7.914798169333487,7.819947934708858,7.896080857338802,8.017693667604693,8.109211881766196,8.204345574411025,8.298720272468472,8.393202883075823,8.481539111812475,8.564173640522881
471754,1763120,12.327059348580034,12.353348512207122,12.365800912281482,12.369386320573419,12.362517790762046,12.309768559409266,12.111178897193554,11.949237798048395,11.974039126937083,11.985311049540085,11.908301918600893,11.82271242098407,11.779969384111777,11.751625367032329,11.693318352400139,11.607953141237973,11.676472771604923,11.785924300844226,11.868290693589579,11.953911016969924,12.038848245221626,12.12388259476824,12.20338520063123,12.277756276470594
1763120,1763310,1.486536764457832,1.5274310189888547,1.5468014191045272,1.552378720891985,1.5416943411854058,1.4596399813033019,1.1507227289677506,0.898814352519725,0.9373941974576836,0.9549282992845765,0.8351363178236103,0.7019970993085527,0.6355079308405396,0.5914172376058437,0.5007174370668832,0.36792710859240163,0.47451320027432486,0.6447711346465719,0.772896634472677,0.9060838041754371,1.0382083814558631,1.170484036306152,1.294154756537467,1.409843096732036
